,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-34.370336193499995,0.0,-34.370336193499995,-34.159526,-6.985908499999999e-07,-34.159526
0.0006244,2,-34.3703532209,0.00042286190378049994,-34.3699304748,-34.159542,0.00025232252999999997,-34.159289
0.0008759,3,-34.3703603728,0.0005601605677180001,-34.369800174299996,-34.159548,0.00034899773,-34.159199
0.0012286,4,-34.3703693983,0.0007348719523068,-34.369634484,-34.159557,0.00048061695999999997,-34.159076
0.0017234,5,-34.37038105560001,0.0009536364153490001,-34.36942753380001,-34.159568,0.00065735122,-34.15891
0.0024174,6,-34.3703959983,0.001223192061301,-34.3691729917,-34.159582,0.0008901111300000001,-34.158691999999995
0.0033909,7,-34.370415156199996,0.0015508059415140002,-34.36886474478,-34.1596,0.0011891095,-34.158411
0.0047565,8,-34.3704401549,0.0019443344438950004,-34.36849645113,-34.159625,0.0015613737,-34.158064
0.006672,9,-34.3704727282,0.002412123776987,-34.368061468280004,-34.159657,0.0020083252,-34.157649
0.0093589,10,-34.3705156333,0.002962536825898,-34.36755340368,-34.1597,0.0025259648,-34.157174
0.0131278,11,-34.370574050399995,0.003603321403306,-34.36697048812,-34.159757,0.0031116909999999998,-34.156645000000005
0.0184145,12,-34.370652557,0.00434179634256,-34.36631014237,-34.159835,0.0037778312,-34.156057000000004
0.0258302,13,-34.3707637415,0.0051856312489200005,-34.36557860853,-34.159946999999995,0.004559115999999999,-34.155387
0.0362323,14,-34.370931993,0.00614460781255,-34.364787407563,-34.160114,0.0055037789,-34.15461
0.0508234,15,-34.3712257747,0.007241804952459999,-34.363983934217,-34.160399,0.0066542173,-34.153744
0.0712906,16,-34.3716920998,0.008613849978559998,-34.363078413939995,-34.160844,0.0081072462,-34.152737
0.1,17,-34.3723016051,0.010485840221399999,-34.3618158062,-34.161417,0.0099977362,-34.151419
0.140271,18,-34.37303284079999,0.013016059573299998,-34.36001717202,-34.162094,0.012399987,-34.149694000000004
0.19676,19,-34.3738956991,0.016388807848799997,-34.357506818030004,-34.162874,0.01547016,-34.147403999999995
0.275997,20,-34.3748801455,0.020932477473699997,-34.35394769131,-34.163739,0.019604005,-34.144135
0.3871,21,-34.375919228499995,0.0271776675445,-34.34874094853,-34.164601,0.025434147,-34.139167
0.5431,22,-34.3767268541,0.03598926433599999,-34.340737702080006,-34.165151,0.033759256,-34.131392
0.7617,23,-34.3763335945,0.04850281547000001,-34.327831432397,-34.164434,0.045491931,-34.118942
1.0685,24,-34.3742505823,0.06520245832699999,-34.309047386836994,-34.161955999999996,0.061459321,-34.100497
1.4988,25,-34.3706663685,0.08692825174399998,-34.283737826716006,-34.157872,0.083630501,-34.074241
2.1024,26,-34.3651950503,0.11575374940500001,-34.249440947829,-34.151767,0.11505563,-34.036711
2.949,27,-34.3577988444,0.15372836443000004,-34.204070153703995,-34.143628,0.1565189,-33.987109000000004
4.1366,28,-34.348116838,0.20420310004999997,-34.14391398045,-34.133052,0.21044109,-33.922610999999996
5.8025,29,-34.3354495452,0.27158183938,-34.063867385262995,-34.119448,0.27853241,-33.840916
8.1392,30,-34.3189458162,0.36135054378,-33.957595510777,-34.10187,0.36356063,-33.738309
11.417,31,-34.2976221868,0.48058313853,-33.817039240284004,-34.079423999999996,0.47638015,-33.603044
16.0147,32,-34.270434460400004,0.63835444078,-33.63207936532,-34.051051,0.63023594,-33.420815000000005
22.464,33,-34.236402955299994,0.846023686,-33.390378620056,-34.015881,0.83075945,-33.185121
31.5105,34,-34.1943182316,1.1173046383999998,-33.077014309384,-33.972691999999995,1.0962555,-32.876436
44.2001,35,-34.1386276067,1.4675631026,-32.671063980309995,-33.916546999999994,1.4448758,-32.471671
