,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-65.454986,0.0,-65.454986,,,
1e-08,1,,,,-65.45862199999999,1.2120972e-07,-65.45862199999999
0.0006244,2,-65.454986,5.260137900000001e-10,-65.454986,-65.45862199999999,1.2144876e-07,-65.45862199999999
0.0008759,3,-65.454986,7.4145547e-10,-65.454986,-65.45862199999999,1.2251886e-07,-65.45862199999999
0.0012286,4,-65.454986,1.0540596e-09,-65.454986,-65.45862199999999,1.2467032000000001e-07,-65.45862199999999
0.0017234,5,-65.454986,1.5080186e-09,-65.454986,-65.45862199999999,1.269307e-07,-65.45862199999999
0.0024174,6,-65.454986,2.1671348e-09,-65.454986,-65.45862199999999,1.293161e-07,-65.45862199999999
0.0033909,7,-65.454986,3.1241588e-09,-65.454986,-65.45862199999999,1.3186443e-07,-65.45862199999999
0.0047565,8,-65.454986,4.5136373e-09,-65.454986,-65.45862199999999,1.3462779e-07,-65.45862199999999
0.006672,9,-65.454986,6.5307595e-09,-65.454986,-65.45862199999999,1.3771525e-07,-65.45862199999999
0.0093589,10,-65.454986,9.4589243e-09,-65.454986,-65.45862199999999,1.412284e-07,-65.45862199999999
0.0131278,11,-65.454986,1.3709303e-08,-65.454986,-65.45862199999999,1.4537470000000001e-07,-65.45862199999999
0.0184145,12,-65.454986,1.9878689e-08,-65.454986,-65.45862199999999,1.5042112e-07,-65.45862199999999
0.0258302,13,-65.454986,2.8832984000000002e-08,-65.454986,-65.45862199999999,1.5676106e-07,-65.45862199999999
0.0362323,14,-65.454986,4.1830252000000006e-08,-65.454986,-65.45862199999999,1.6498967999999997e-07,-65.45862199999999
0.0508234,15,-65.454986,6.0872546e-08,-65.454986,-65.45862199999999,1.7663777e-07,-65.45862199999999
0.0712906,16,-65.454986,9.196098699999999e-08,-65.454986,-65.45862199999999,2.0166481e-07,-65.45862199999999
0.1,17,-65.454986,1.5069781e-07,-65.454986,-65.45862199999999,2.5183578e-07,-65.45862199999999
0.140271,18,-65.454986,2.6694295e-07,-65.454986,-65.458623,3.3534782e-07,-65.45862199999999
0.19676,19,-65.454986,4.9642036e-07,-65.454986,-65.458623,4.7360034999999995e-07,-65.45862199999999
0.275997,20,-65.454986,9.476689e-07,-65.454985,-65.458623,7.1407946e-07,-65.45862199999999
0.3871,21,-65.454986,1.8311547e-06,-65.454985,-65.458623,1.1474054e-06,-65.45862199999999
0.5431,22,-65.454986,3.5558904e-06,-65.454983,-65.458623,1.9579449e-06,-65.458621
0.7617,23,-65.454986,6.7988594999999994e-06,-65.45498,-65.458624,3.4767820000000002e-06,-65.45862
1.0685,24,-65.454986,1.181466e-05,-65.45497399999999,-65.458624,5.7931975e-06,-65.458618
1.4988,25,-65.454986,1.8217504e-05,-65.45496700000001,-65.458624,8.7208269e-06,-65.458616
2.1024,26,-65.454986,2.5783789000000002e-05,-65.45496,-65.458625,1.2180363e-05,-65.458613
2.949,27,-65.454987,3.4137946e-05,-65.454952,-65.458627,1.6016592e-05,-65.458611
4.1366,28,-65.454989,4.3182137e-05,-65.45494599999999,-65.458629,2.0200433e-05,-65.458609
5.8025,29,-65.454993,5.2942628999999996e-05,-65.45494000000001,-65.458632,2.4774018e-05,-65.458607
8.1392,30,-65.454998,6.3451001e-05,-65.45493499999999,-65.458637,2.9770441999999997e-05,-65.458607
11.417,31,-65.455007,7.4740264e-05,-65.454932,-65.45864300000001,3.5235768e-05,-65.458608
16.0147,32,-65.455019,8.6843493e-05,-65.454932,-65.458652,4.121541e-05,-65.458611
22.464,33,-65.455035,9.9811353e-05,-65.45493499999999,-65.458664,4.7767257e-05,-65.458616
31.5105,34,-65.455056,0.00011368604,-65.454942,-65.458679,5.4933006999999996e-05,-65.458624
