,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-3.0624566e-06,,
0.000312205,,,1.0,4.7560609e-06
0.00075015,2.0,-3.0746929e-06,2.0,1.6292973e-05
0.00105225,3.0,-3.0966556000000002e-06,3.0,-1.5806221000000003e-06
0.001476,4.0,-3.1175772e-06,4.0,-1.8522781e-06
0.0020704,5.0,-3.1368712999999996e-06,5.0,-2.0029178e-06
0.00290415,6.0,-3.1547102e-06,6.0,-2.1321839e-06
0.0040737,7.0,-3.1709936e-06,7.0,-2.0924283e-06
0.00571425,8.0,-3.1843146999999997e-06,8.0,-2.2281477999999996e-06
0.00801545,9.0,-3.1957631000000004e-06,9.0,-2.2115719e-06
0.01124335,10.0,-3.2053892e-06,10.0,-2.2679162999999998e-06
0.01577115,11.0,-3.2120332e-06,11.0,-2.3054473e-06
0.02212235,12.0,-3.2162248e-06,12.0,-2.3186673e-06
0.03103125,13.0,-3.2179723999999998e-06,13.0,-2.0719627e-06
0.04352785,14.0,-3.2155787999999995e-06,14.0,1.2635307e-07
0.061057,15.0,-3.1648325e-06,15.0,5.175423299999999e-07
0.0856453,16.0,-2.8119605000000002e-06,16.0,-1.0673899e-06
0.1201355,17.0,-1.7740181e-06,17.0,-1.5291097e-06
0.1685155,18.0,3.1746958e-07,18.0,-9.8193574e-07
0.2363785,19.0,4.0120508e-06,19.0,2.3560979999999997e-07
0.3315485,20.0,1.0080796000000001e-05,20.0,2.3953619000000003e-06
0.4651,21.0,1.9580118e-05,21.0,5.761290299999999e-06
0.6524,22.0,3.2292614e-05,22.0,1.0110445e-05
0.9151,23.0,3.7635629e-05,23.0,1.2572393e-05
1.28365,24.0,3.2443202e-05,24.0,1.0980425e-05
1.8006,25.0,2.4419875e-05,25.0,7.833520900000001e-06
2.5257,26.0,1.5788919e-05,26.0,4.472190700000001e-06
3.5428,27.0,9.0678179e-06,27.0,1.8290057999999998e-06
4.96955,28.0,4.3655802e-06,28.0,-7.2750313e-09
6.97085,29.0,1.158907e-06,29.0,-1.2339766000000002e-06
9.7781,30.0,-9.564875e-07,30.0,-2.0161375e-06
13.71585,31.0,-2.2661436e-06,31.0,-2.4766916e-06
19.23935,32.0,-3.003623e-06,32.0,-2.7105649e-06
26.98725,33.0,-3.3423797e-06,33.0,-2.7760500000000003e-06
37.8553,34.0,-3.4214785e-06,34.0,-2.7067914000000002e-06
53.10005,35.0,-3.2311834e-06,35.0,-2.5775036e-06
73.8875,36.0,-2.7708226e-06,36.0,-2.3606064e-06
97.6625,37.0,-2.4780244e-06,37.0,-2.2153362999999997e-06
121.4375,38.0,-2.7699833999999997e-06,38.0,-2.4902452000000004e-06
145.2125,39.0,-3.4864526e-06,39.0,-3.0798552e-06
168.9875,40.0,-4.530766700000001e-06,40.0,-3.976397100000001e-06
192.7625,41.0,-7.396833900000001e-06,41.0,-6.6734559e-06
216.5375,42.0,-1.759436e-05,42.0,-1.6923878e-05
240.3125,43.0,-3.4328047e-05,43.0,-3.564118e-05
264.0875,44.0,-5.5781362e-05,44.0,-6.3877804e-05
287.8625,45.0,-7.422476800000001e-05,45.0,-9.907408499999999e-05
311.6375,46.0,-7.3661357e-05,46.0,-0.00013217167
335.4125,47.0,-2.8594221999999998e-05,47.0,-0.00014355907
359.1875,48.0,9.4274365e-05,48.0,-0.00010451697
382.9625,49.0,0.00031555461,49.0,2.130092e-05
406.7375,50.0,0.0006666359200000001,50.0,0.00025798317999999997
430.5125,51.0,0.0011819499000000002,51.0,0.00064002781
454.2875,52.0,0.0018971151999999999,52.0,0.0012125418
478.0625,53.0,0.0028491519,53.0,0.0020208172
501.8375,54.0,0.0040698135,54.0,0.0031030675
525.6125,55.0,0.0056030018,55.0,0.0044536812
549.3875,56.0,0.0074799039,56.0,0.0061293248
573.1625,57.0,0.0097391761,57.0,0.0081570299
596.9375,58.0,0.012426503,58.0,0.010569965
620.7125,59.0,0.015568726000000001,59.0,0.013392906999999999
644.4875,60.0,0.019210221,60.0,0.016627845
668.2625,61.0,0.023332451,61.0,0.020306723
692.0375,62.0,0.027801747,62.0,0.024431701
715.8125,63.0,0.032473694,63.0,0.028974565
739.5875,64.0,0.039615572,64.0,0.036162985
763.3625,65.0,0.046335522999999997,65.0,0.043599504000000004
787.1375,66.0,0.052838965999999994,66.0,0.05149331099999999
810.9125,67.0,0.059463039,67.0,0.060004833
834.6875,68.0,0.063868811,68.0,0.066473774
858.4625,69.0,0.06853006,69.0,0.073116563
882.2375,70.0,0.074214221,70.0,0.080733842
906.0125,71.0,0.080927105,71.0,0.089368622
929.7875,72.0,0.08868079300000001,72.0,0.09906428
953.5625,73.0,0.09760993400000001,73.0,0.11000204
977.3375,74.0,0.10799796,74.0,0.1224358
1001.1125,75.0,0.12133081,75.0,0.13729216
