,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-16.203643,0.0,-16.203643,-15.792515,-1.3112555e-07,-15.792515
0.0006244,2,-16.204010999999998,0.0060557467000000005,-16.197955,-15.792912,0.0044379562,-15.788473999999999
0.0008759,3,-16.204178,0.0074452875,-16.196733,-15.793078,0.005844328100000001,-15.787232999999999
0.0012286,4,-16.204387,0.0090442117,-16.195342999999998,-15.793291,0.0075640301,-15.785727
0.0017234,5,-16.20465,0.010853864,-16.193796,-15.793564000000002,0.0095686436,-15.783995
0.0024174,6,-16.20498,0.0128833,-16.192097,-15.793916000000001,0.011785005,-15.782131
0.0033909,7,-16.2054,0.01515735,-16.190242,-15.794371,0.01412992,-15.780241
0.0047565,8,-16.205937,0.017721643000000002,-16.188215,-15.794963000000001,0.016590666,-15.778373
0.006672,9,-16.206633,0.02064716,-16.185986,-15.795739000000001,0.019293805,-15.776445
0.0093589,10,-16.207546,0.02403378,-16.183512,-15.796767000000001,0.022486289,-15.77428
0.0131278,11,-16.208765,0.028012416000000002,-16.180753,-15.798142000000002,0.02642082,-15.771721
0.0184145,12,-16.210427,0.03274602,-16.177681,-15.800025,0.031255282,-15.768769
0.0258302,13,-16.212760999999997,0.038426926,-16.174333999999998,-15.802655,0.037056316,-15.765599
0.0362323,14,-16.216229000000002,0.045278049,-16.170951000000002,-15.80652,0.04387021,-15.76265
0.0508234,15,-16.222219,0.053688167,-16.16853,-15.812953,0.05202005,-15.760932999999998
0.0712906,16,-16.231908999999998,0.065753693,-16.166155,-15.823078,0.063685079,-15.759393
0.1,17,-16.245093,0.084902329,-16.16019,-15.836716000000001,0.082634721,-15.754082
0.140271,18,-16.261776,0.11378218,-16.147993,-15.853825,0.1119615,-15.741863
0.19676,19,-16.282481,0.15575593,-16.126726,-15.874789000000002,0.1553736,-15.719416
0.275997,20,-16.307307,0.21656844,-16.090738,-15.899516,0.21810487,-15.681410999999999
0.3871,21,-16.334835,0.30505803,-16.029777,-15.926423999999999,0.3065338,-15.61989
0.5431,22,-16.357654999999998,0.43479179,-15.922863000000001,-15.948274,0.43136933,-15.516905
0.7617,23,-16.349459,0.62027746,-15.729181,-15.940060999999998,0.60869584,-15.331365
1.0685,24,-16.297891,0.84529746,-15.452594,-15.889997,0.82994922,-15.060047
1.4988,25,-16.213209,1.0898048999999999,-15.123404,-15.808235,1.0751456,-14.733089999999999
2.1024,26,-16.092153,1.36059,-14.731563000000001,-15.691145,1.3373859,-14.353759
2.949,27,-15.942196,1.6550566999999998,-14.287139999999999,-15.545460999999998,1.6095819,-13.935879000000002
4.1366,28,-15.763453,1.9883171999999998,-13.775135999999998,-15.369435999999999,1.9394128000000002,-13.430023
5.8025,29,-15.550326,2.3793203,-13.171005,-15.158251000000002,2.3587006,-12.79955
8.1392,30,-15.296744,2.8434889,-12.453255,-14.903642999999999,2.8502781,-12.053365
11.417,31,-14.996463,3.3900361000000006,-11.606427,-14.599129000000001,3.3996447999999995,-11.199485000000001
16.0147,32,-14.643555,4.0174191,-10.626136,-14.237535000000001,4.033104499999999,-10.20443
22.464,33,-14.232244,4.7089791,-9.5232645,-13.816084,4.6935101999999995,-9.1225741
31.5105,34,-13.747878,5.4268691,-8.3210089,-13.318283,5.3657178,-7.9525654999999995
44.2001,35,-13.101428,6.0949351,-7.0064924,-12.655611,6.1067871,-6.5488235999999995
62.0,36,-12.383769000000001,6.4471819,-5.9365873,-11.923561,6.5730261,-5.3505345
85.775,37,-12.145667,6.3078384000000005,-5.8378284,-11.679615,6.388668,-5.2909474
109.55,38,-12.808542999999998,6.156874,-6.6516687,-12.384116,6.1837349,-6.2003807
