,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,76.90593100000001,,
0.000312205,,,1.0,38.962839
0.00075015,2.0,41.034808,2.0,33.984013
0.00105225,3.0,33.260413,3.0,31.877952
0.001476,4.0,26.397651,4.0,28.876599
0.0020704,5.0,20.664476999999998,5.0,24.962142
0.00290415,6.0,16.081574,6.0,20.318844
0.0040737,7.0,12.530567999999999,7.0,15.387115
0.00571425,8.0,9.8273222,8.0,10.842066
0.00801545,9.0,7.7712202999999995,9.0,7.3345868
0.01124335,10.0,6.1811537,10.0,5.1717202
0.01577115,11.0,4.904022599999999,11.0,4.0873197999999995
0.02212235,12.0,3.8104940000000003,12.0,3.4881830000000003
0.03103125,13.0,2.7456433,13.0,2.8611864
0.04352785,14.0,1.4004299,14.0,1.7688808
0.061057,15.0,0.97971705,15.0,1.3690797
0.0856453,16.0,1.753881,16.0,1.9731313999999998
0.1201355,17.0,2.5568468999999996,17.0,2.5335959999999997
0.1685155,18.0,3.1783201,18.0,2.8763659
0.2363785,19.0,3.834086,19.0,3.3647983
0.3315485,20.0,4.6319862,20.0,4.2805425999999995
0.4651,21.0,5.7855793,21.0,5.7800025999999995
0.6524,22.0,7.4795909,22.0,7.7377136
0.9151,23.0,7.610555199999999,23.0,7.8425587
1.28365,24.0,6.4582234000000005,24.0,6.3011481
1.8006,25.0,5.4802412,25.0,5.054802099999999
2.5257,26.0,4.431571099999999,26.0,4.2486398
3.5428,27.0,3.639498,27.0,3.8836949
4.96955,28.0,3.0614061,28.0,3.3357805
6.97085,29.0,2.5930416000000003,29.0,2.6366336
9.7781,30.0,2.1809786,30.0,2.1454692000000004
13.71585,31.0,1.7999207999999998,31.0,2.0047493999999997
19.23935,32.0,1.443614,32.0,1.7650694
26.98725,33.0,1.1219023000000001,33.0,1.295048
37.8553,34.0,0.87449422,34.0,0.88968729
53.10005,35.0,0.50741876,35.0,0.56791053
73.8875,36.0,0.035066683,36.0,0.13035551
97.6625,37.0,-0.28897314,37.0,-0.2783449
121.4375,38.0,-0.21894963,38.0,-0.25548167
145.2125,39.0,0.021281299,39.0,-0.0030822296000000003
168.9875,40.0,0.076194938,40.0,0.054180566
192.7625,41.0,0.10085213,41.0,0.071651513
216.5375,42.0,0.1132164,42.0,0.076330019
240.3125,43.0,0.11904026,43.0,0.079498388
264.0875,44.0,0.1209254,44.0,0.08393031699999999
287.8625,45.0,0.12022257,45.0,0.089308064
311.6375,46.0,0.11767992,46.0,0.094348747
335.4125,47.0,0.11384249,47.0,0.098073285
359.1875,48.0,0.10899395,48.0,0.099476173
382.9625,49.0,0.10321612,49.0,0.098147665
406.7375,50.0,0.097257435,50.0,0.09504999199999999
430.5125,51.0,0.091235969,51.0,0.090202586
454.2875,52.0,0.08532380699999999,52.0,0.083808117
478.0625,53.0,0.079578896,53.0,0.07630962
501.8375,54.0,0.074098282,54.0,0.069191897
525.6125,55.0,0.069002756,55.0,0.06169564
549.3875,56.0,0.064263426,56.0,0.054803120999999996
573.1625,57.0,0.060032304,57.0,0.04849296
596.9375,58.0,0.056680145999999994,58.0,0.043411128
620.7125,59.0,0.054813302,59.0,0.040363496
644.4875,60.0,0.056110451,60.0,0.040996796
668.2625,61.0,0.061918988,61.0,0.046638797999999995
692.0375,62.0,0.069189145,62.0,0.054289445
715.8125,63.0,0.06758868400000001,63.0,0.053141874000000006
739.5875,64.0,0.051827387999999995,64.0,0.038159412000000004
763.3625,65.0,0.029183808999999998,65.0,0.016458496
787.1375,66.0,0.011030295,66.0,-0.0007535095200000001
810.9125,67.0,0.0030530478000000004,67.0,-0.007381150699999999
834.6875,68.0,0.0043220764,68.0,-0.004846929099999999
858.4625,69.0,0.008751579,69.0,0.00034327612999999997
882.2375,70.0,0.012023829,70.0,0.004619791099999999
906.0125,71.0,0.013629487,71.0,0.0069173609999999995
929.7875,72.0,0.01463525,72.0,0.0081349752
953.5625,73.0,0.016166932,73.0,0.010346916999999999
977.3375,74.0,0.021490508999999998,74.0,0.015375132
1001.1125,75.0,0.13092395,75.0,0.12630568
