,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.25356547,1,0.099300819
0.00075015,2,0.25374127,2,0.10317322
0.00105225,3,0.26452128,3,0.11296841
0.001476,4,0.27432044,4,0.12276139
0.0020704,5,0.28219578,5,0.13245042
0.00290415,6,0.28774732,6,0.141552
0.0040737,7,0.28999966,7,0.15002923
0.00571425,8,0.28812454,8,0.15721284
0.00801545,9,0.28096949,9,0.16239082
0.01124335,10,0.26729071,10,0.16482247
0.01577115,11,0.24577899,11,0.16295011
0.02212235,12,0.2149173,12,0.15513476
0.03103125,13,0.17281632,13,0.13854687
0.04352785,14,0.12039991,14,0.11366241
0.061057,15,0.10143533,15,0.11601986
0.0856453,16,0.13905316,16,0.16700411
0.1201355,17,0.18944017,17,0.22796418
0.1685155,18,0.22688957,18,0.2638293
0.2363785,19,0.25818578,19,0.27112211
0.3315485,20,0.2955256,20,0.2710448
0.4651,21,0.36177262,21,0.31190579
0.6524,22,0.47633257,22,0.43236687
0.9151,23,0.48361621,23,0.46496087
1.28365,24,0.40382094,24,0.40764247
1.8006,25,0.3387843,25,0.35021285
2.5257,26,0.26829894,26,0.27979764
3.5428,27,0.21322336,27,0.22859264
4.96955,28,0.17128095,28,0.1912343
6.97085,29,0.13691942,29,0.15896629
9.7781,30,0.10762811,30,0.12412561
13.71585,31,0.082373054,31,0.090047085
19.23935,32,0.060831879000000005,32,0.05992505099999999
26.98725,33,0.043207345999999994,33,0.036588481
37.8553,34,0.030233028999999998,34,0.023142451
53.10005,35,0.012332609,35,0.0086232028
73.8875,36,-0.0085617513,36,-0.010217771
97.6625,37,-0.02192122,37,-0.02388781
121.4375,38,-0.020842501,38,-0.02339321
145.2125,39,-0.010451263,39,-0.01372514
168.9875,40,-0.0041423053,40,-0.0075417504
192.7625,41,0.0020866351,41,-0.0008871714699999999
216.5375,42,0.0086264639,42,0.0057897917000000005
240.3125,43,0.01556823,43,0.01246521
264.0875,44,0.023000915,44,0.019116549
287.8625,45,0.031047236000000002,45,0.026036443
311.6375,46,0.039816466,46,0.033520361
335.4125,47,0.049340217,47,0.041788253
359.1875,48,0.059395917,48,0.051137235
382.9625,49,0.06909900599999999,49,0.060656213
406.7375,50,0.078963009,50,0.070653513
430.5125,51,0.08891397699999999,51,0.080907548
454.2875,52,0.09889439,52,0.091281516
478.0625,53,0.10886525,53,0.10198781
501.8375,54,0.1187587,54,0.11271696
525.6125,55,0.12864288,55,0.12398018
549.3875,56,0.13846834,56,0.13564546
573.1625,57,0.14829858,57,0.14785305
596.9375,58,0.15827356,58,0.16004904
620.7125,59,0.16847096,59,0.17208696
644.4875,60,0.17915742,60,0.18406759
668.2625,61,0.19009649,61,0.19601452
692.0375,62,0.199786,62,0.2067791
715.8125,63,0.2057153,63,0.21396228
739.5875,64,0.21260006,64,0.22286648
763.3625,65,0.213038,65,0.22563398
787.1375,66,0.2114062,66,0.22616498
810.9125,67,0.21105868,67,0.22727426
834.6875,68,0.20849334,68,0.22505334
858.4625,69,0.20865514,69,0.22455245
882.2375,70,0.21151705,70,0.22647538
906.0125,71,0.21629376,71,0.23087988
929.7875,72,0.22301966,72,0.23747716
953.5625,73,0.23253293,73,0.24748187
977.3375,74,0.24738264,74,0.26402148
1001.1125,75,0.28450073,75,0.30093824
