,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-26.007355,0.0,-26.007355,,,
1e-08,1,,,,-25.691664000000003,1.2295565e-06,-25.691663000000002
0.0006244,2,-26.00737,3.4205607e-05,-26.007336,-25.691681,2.5390564e-05,-25.691656
0.0008759,3,-26.007376,4.7965646e-05,-26.007328,-25.691688,3.5222301e-05,-25.691653
0.0012286,4,-26.007385,6.7584499e-05,-26.007317,-25.691697,4.9342015000000004e-05,-25.691648
0.0017234,5,-26.007397,9.5502211e-05,-26.007301000000002,-25.691710999999998,6.961725e-05,-25.691641
0.0024174,6,-26.007413,0.00013506127,-26.007278,-25.691729000000002,9.869552e-05,-25.69163
0.0033909,7,-26.007436,0.0001908702,-26.007245,-25.691754,0.00014034415,-25.691614
0.0047565,8,-26.007467000000002,0.00026912286,-26.007198000000002,-25.691789,0.00019987956000000001,-25.691589
0.006672,9,-26.007510999999997,0.00037801107000000003,-26.007133,-25.691838,0.00028475454,-25.691554
0.0093589,10,-26.007571,0.00052808225,-26.007043,-25.691907,0.00040529477,-25.691502
0.0131278,11,-26.007656,0.0007324441499999999,-26.006923999999998,-25.692004,0.0005756574500000001,-25.691428
0.0184145,12,-26.007776999999997,0.0010066705,-26.00677,-25.692141,0.00081481992,-25.691326
0.0258302,13,-26.007949,0.0013681015,-26.006581,-25.692337,0.0011470703,-25.69119
0.0362323,14,-26.008202999999998,0.0018344841,-26.006368,-25.692621,0.0016021432999999998,-25.691019
0.0508234,15,-26.008587,0.0024270611,-26.00616,-25.69304,0.0022177474,-25.690823
0.0712906,16,-26.009159,0.0032447693,-26.005914,-25.693645999999998,0.0031045582,-25.690541
0.1,17,-26.009951,0.0045099761,-26.005441,-25.694471,0.0044979603,-25.689973000000002
0.140271,18,-26.010993,0.006455284300000001,-26.004538,-25.695541,0.006655199499999999,-25.688886
0.19676,19,-26.012318,0.009298480500000001,-26.003019000000002,-25.696879,0.0097583949,-25.687120999999998
0.275997,20,-26.013922,0.013326012,-26.000595999999998,-25.69847,0.013894536,-25.684575
0.3871,21,-26.015682,0.018975455,-25.996707,-25.700183,0.019177065,-25.681006
0.5431,22,-26.017045,0.027023638,-25.990021,-25.701473999999997,0.026231322999999997,-25.675243
0.7617,23,-26.016161,0.038474102999999996,-25.977687,-25.700401,0.03635997,-25.664041
1.0685,24,-26.012293,0.052182224000000006,-25.960110999999998,-25.696187,0.04904714599999999,-25.64714
1.4988,25,-26.006452,0.066924821,-25.939527,-25.68983,0.063474501,-25.626355
2.1024,26,-25.998775,0.083470893,-25.915304000000003,-25.681399,0.08009002400000001,-25.601309
2.949,27,-25.990002,0.1016044,-25.888397,-25.671571,0.098331734,-25.573239
4.1366,28,-25.980342999999998,0.12194181,-25.858401,-25.660391,0.11931617,-25.541074
5.8025,29,-25.969744,0.14514258,-25.824601,-25.647662,0.14433425,-25.503328
8.1392,30,-25.958264,0.17156198,-25.786702,-25.633182,0.17386033,-25.459322
11.417,31,-25.946157,0.20124484,-25.744912,-25.617138,0.20603484,-25.411103
16.0147,32,-25.933976,0.23392698,-25.700049,-25.600116,0.23806725,-25.362049
22.464,33,-25.922707,0.26913071,-25.653576,-25.583485999999997,0.26722642,-25.31626
31.5105,34,-25.913667999999998,0.30639409,-25.607274,-25.569181,0.29214657,-25.277034
44.2001,35,-25.906755,0.34492687,-25.561828,-25.557318,0.31511256,-25.242206
62.0,36,-25.911626000000002,0.37580126,-25.535825,-25.559956,0.33592047,-25.224035
85.775,37,-25.95273,0.39279247,-25.559936999999998,-25.606474,0.35363224,-25.252841
109.55,38,-26.03155,0.40987562,-25.621675,-25.696781,0.3767293,-25.320052
