,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.15374,0.0,-25.15374,,,
1e-08,1,,,,-25.45488,1.8182493e-06,-25.454878
0.0006244,2,-25.153758,4.8001418e-05,-25.15371,-25.454897,3.7980505e-05,-25.454859
0.0008759,3,-25.153766,6.731319499999999e-05,-25.153699,-25.454904,5.2672203e-05,-25.454852
0.0012286,4,-25.153776,9.4817975e-05,-25.153682,-25.454914000000002,7.370431300000001e-05,-25.454841000000002
0.0017234,5,-25.153791000000002,0.00013390648999999998,-25.153657,-25.454928,0.00010380758,-25.454824
0.0024174,6,-25.153810999999997,0.00018927451,-25.153622,-25.454947,0.00014683870000000001,-25.4548
0.0033909,7,-25.153839,0.00026734765,-25.153571,-25.454973000000003,0.00020826449000000002,-25.454765
0.0047565,8,-25.153876999999998,0.00037684888,-25.1535,-25.455009,0.0002957683,-25.454713
0.006672,9,-25.15393,0.00052933683,-25.153401000000002,-25.45506,0.00042006364,-25.454639999999998
0.0093589,10,-25.154004,0.0007398230900000001,-25.153264,-25.45513,0.0005959185400000001,-25.454535
0.0131278,11,-25.154107,0.0010271937,-25.15308,-25.455229,0.0008434331,-25.454386
0.0184145,12,-25.154254,0.0014142883,-25.152839,-25.455369,0.0011893242,-25.454179999999997
0.0258302,13,-25.154462,0.0019272701999999999,-25.152535,-25.455569,0.0016674222,-25.453901000000002
0.0362323,14,-25.154767,0.0025942249,-25.152173,-25.455858,0.0023185532999999998,-25.453539000000003
0.0508234,15,-25.155225,0.0034493540999999996,-25.151776,-25.456282,0.0031930460999999998,-25.453089000000002
0.0712906,16,-25.155898,0.004627318,-25.151270999999998,-25.456889999999998,0.0044280954,-25.452462
0.1,17,-25.156814999999998,0.0064204377,-25.150395,-25.457701999999998,0.006297332199999999,-25.451404
0.140271,18,-25.157998000000003,0.0091385071,-25.148858999999998,-25.458725,0.0090716311,-25.449653
0.19676,19,-25.159464,0.01308764,-25.146376,-25.459957,0.012923943,-25.447032999999998
0.275997,20,-25.161175,0.018692926000000002,-25.142482,-25.461342000000002,0.017989072,-25.443353
0.3871,21,-25.162935,0.026634316,-25.136301,-25.462685,0.024637281,-25.438047
0.5431,22,-25.164042000000002,0.038096153,-25.125946,-25.463359,0.034047426,-25.429312
0.7617,23,-25.162384,0.054560134,-25.107824,-25.461474,0.048178517000000004,-25.413296
1.0685,24,-25.157088,0.074864727,-25.082223000000003,-25.456246,0.06688421900000001,-25.389362
1.4988,25,-25.149188,0.097494859,-25.051693,-25.448496,0.08902908699999999,-25.359467000000002
2.1024,26,-25.138748,0.12337547,-25.015373,-25.438185,0.11483682,-25.323348
2.949,27,-25.126572,0.15258438,-24.973987,-25.425916,0.14419084,-25.281725
4.1366,28,-25.112872,0.18626569,-24.926607,-25.411673,0.17933888,-25.232333999999998
5.8025,29,-25.097565,0.22558942,-24.871976,-25.395214000000003,0.22284206,-25.172372
8.1392,30,-25.080739,0.27137906,-24.809359,-25.376343,0.27613453,-25.100209
11.417,31,-25.06279,0.32425274,-24.738538000000002,-25.355383,0.33737873,-25.018004
16.0147,32,-25.044626,0.38464206,-24.659983999999998,-25.333267000000003,0.40337431,-24.929893
22.464,33,-25.027922,0.45290008,-24.575022,-25.312064000000003,0.47109837,-24.840965
31.5105,34,-25.015168,0.52946683,-24.485701000000002,-25.294832,0.53960984,-24.755222
44.2001,35,-25.007926,0.61412496,-24.393801,-25.283199,0.61228812,-24.670911
62.0,36,-25.023453,0.6939248,-24.329529,-25.295982000000002,0.68779256,-24.608189000000003
85.775,37,-25.101329,0.7554485,-24.345879999999998,-25.378093,0.75942533,-24.618668
109.55,38,-25.236454000000002,0.80967199,-24.426782,-25.524617000000003,0.82926214,-24.695355
