,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.387581724235,1,0.25158706
0.00075015,2,0.38754591491900003,2,0.25658685
0.00105225,3,0.40092785183900004,3,0.26926352
0.001476,4,0.41275729695100005,4,0.28187911
0.0020704,5,0.4224962668015,5,0.29418473
0.00290415,6,0.42896383032280005,6,0.30567095
0.0040737,7,0.43144058095050003,7,0.31610491
0.00571425,8,0.428594167014,8,0.32470306
0.00801545,9,0.419079742625,9,0.33052958
0.01124335,10,0.401382353842,10,0.33253475
0.01577115,11,0.37388925481099994,11,0.32883812
0.02212235,12,0.334802305758,12,0.31710626
0.03103125,13,0.28205044191900003,13,0.29406209
0.04352785,14,0.217211910883,14,0.26026895
0.061057,15,0.193478025307,15,0.25868706
0.0856453,16,0.237149160768,16,0.31088196
0.1201355,17,0.294388182456,17,0.3671019
0.1685155,18,0.33550234801600004,18,0.39152417
0.2363785,19,0.3703577799,19,0.39201412
0.3315485,20,0.41512076276,20,0.40298718
0.4651,21,0.49458253669,21,0.47266266
0.6524,22,0.6228514633,22,0.61824316
0.9151,23,0.6242676712000002,23,0.65838557
1.28365,24,0.5242198603000001,24,0.58634174
1.8006,25,0.44141154617,25,0.50502668
2.5257,26,0.35584209205699996,26,0.41491035
3.5428,27,0.28891594380999996,27,0.35100224
4.96955,28,0.23656417051,28,0.30377442
6.97085,29,0.19236829601700003,29,0.26065577
9.7781,30,0.15405058281399997,30,0.21163992
13.71585,31,0.12074332742400001,31,0.16174064
19.23935,32,0.09220031590100002,32,0.11637656
26.98725,33,0.06863262804,33,0.07998530400000001
37.8553,34,0.050725979508,34,0.056054028
53.10005,35,0.025755052155000003,35,0.029744267
73.8875,36,-0.0038957780560000006,36,-0.0037130034999999996
97.6625,37,-0.022583998373000003,37,-0.027251845
121.4375,38,-0.019632963242,38,-0.023353983
145.2125,39,-0.0031415815129999997,39,-0.0026998141999999997
168.9875,40,0.0075412043580000004,40,0.011679947
192.7625,41,0.017182227504,41,0.025635512000000003
216.5375,42,0.026291319438799997,42,0.041438413
240.3125,43,0.03493320401200001,43,0.059988115999999994
264.0875,44,0.04311970830622999,44,0.080988319
287.8625,45,0.050839959556,45,0.10271465
311.6375,46,0.058081053207,46,0.12532532
335.4125,47,0.06483959249770001,47,0.15013255
359.1875,48,0.0711197301418,48,0.17286541
382.9625,49,0.07692159075989999,49,0.18664789
406.7375,50,0.0822694241914,50,0.20306964
430.5125,51,0.08721260280909998,51,0.22473696
454.2875,52,0.0917862826569,52,0.24880647
478.0625,53,0.0960220221838,53,0.27177283
501.8375,54,0.09996875354640002,54,0.29154488
525.6125,55,0.103683894872,55,0.31088826
549.3875,56,0.10722365870440001,56,0.32941343
573.1625,57,0.1106726388823,57,0.34759729
596.9375,58,0.1141442645783,58,0.36374993
620.7125,59,0.11774658829160001,59,0.37622293
644.4875,60,0.1216242327483,60,0.38563205
668.2625,61,0.12560878848,61,0.39207587
692.0375,62,0.128635230009,62,0.39403962
715.8125,63,0.128750816894,63,0.38865223
739.5875,64,0.125153094713,64,0.39135985
763.3625,65,0.11955917534789998,65,0.3719153
787.1375,66,0.11463229615630001,66,0.33898223
810.9125,67,0.11222038563380002,67,0.30028351
834.6875,68,0.1126556670699,68,0.25341671
858.4625,69,0.11497860049117,69,0.21447309
882.2375,70,0.11825067641576001,70,0.1844066
906.0125,71,0.1221568095711,71,0.16186614
929.7875,72,0.12688957191640002,72,0.14521303
953.5625,73,0.1330027803962,73,0.13521421
977.3375,74,0.14190745965999998,74,0.13631062
1001.1125,75,0.160813648495,75,0.18861005
