,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-30.870337170999996,0.0,-30.870337170999996,-25.455289999999998,4.4389554999999996e-08,-25.455289999999998
0.0006244,2,-30.870355002000004,4.64584258159e-05,-30.870308486999996,-25.455308,3.6202681e-05,-25.455272
0.0008759,3,-30.870362224000004,6.51425490344e-05,-30.870296935,-25.455315,5.0892699000000005e-05,-25.455264
0.0012286,4,-30.870372064,9.175814481899998e-05,-30.870280281,-25.455325,7.1922466e-05,-25.455253
0.0017234,5,-30.870385646000003,0.00012958318487400002,-30.870256067,-25.455338,0.00010202129000000001,-25.455236
0.0024174,6,-30.870404418999996,0.000183156256451,-30.870221321000002,-25.455357,0.00014504752,-25.455212
0.0033909,7,-30.870430589,0.000258679173638,-30.870171845999998,-25.455382999999998,0.00020646226999999998,-25.455177
0.0047565,8,-30.870466553999997,0.00036455714532,-30.870102011,-25.45542,0.00029395609,-25.455126
0.006672,9,-30.870516664999997,0.0005118977159020001,-30.870004707,-25.455470000000002,0.00041823732000000004,-25.455052
0.0093589,10,-30.870586402999997,0.000715071390113,-30.869871372,-25.455541,0.0005940685500000001,-25.454947
0.0131278,11,-30.870684009999998,0.0009920537587449999,-30.869692114000003,-25.45564,0.0008415560400000001,-25.454798
0.0184145,12,-30.870822286999996,0.0013644036127799998,-30.869457955,-25.455779999999997,0.0011873922,-25.454592
0.0258302,13,-30.871020115999997,0.0018564701697899998,-30.869163741,-25.455979,0.001665445,-25.454314
0.0362323,14,-30.871309613,0.0024937913312199998,-30.868816243999994,-25.456267999999998,0.0023164584,-25.453951
0.0508234,15,-30.871747990000003,0.00330682497613,-30.868440637,-25.456692,0.0031908496,-25.453502
0.0712906,16,-30.872394350999997,0.0044225816609,-30.867971454299997,-25.4573,0.004425838499999999,-25.452873999999998
0.1,17,-30.873284234000003,0.006118741376499999,-30.8671647654,-25.458112,0.0062948561,-25.451817000000002
0.140271,18,-30.874444340000004,0.0086833413251,-30.865761243099996,-25.459135,0.009069079399999999,-25.450066
0.19676,19,-30.875906010999998,0.012390220350400003,-30.863515268999997,-25.460367,0.012921301999999999,-25.447445000000002
0.275997,20,-30.877654391999997,0.0176144442916,-30.860039063500004,-25.461751,0.017985848999999998,-25.443765
0.3871,21,-30.879535717000003,0.024959234100999997,-30.8545765307,-25.463094,0.024633131000000003,-25.438461
0.5431,22,-30.880927115,0.035490679445,-30.845436816600003,-25.463767999999998,0.034042359,-25.429726000000002
0.7617,23,-30.879840035,0.05053253906099999,-30.8293082467,-25.461885000000002,0.048169949000000004,-25.413715
1.0685,24,-30.875456690000004,0.06883604283,-30.80662079063,-25.456657999999997,0.066872553,-25.389785
1.4988,25,-30.868779675000003,0.08887995684,-30.77990038661,-25.448908,0.089013395,-25.359895
2.1024,26,-30.859878755,0.11154003732000001,-30.748338453500004,-25.438598000000002,0.11481681,-25.323781
2.949,27,-30.849518740999997,0.13686584173,-30.712652912089997,-25.426332000000002,0.14416487,-25.282167
4.1366,28,-30.837908507,0.16590016765,-30.672008319599996,-25.412091,0.17930719,-25.232782999999998
5.8025,29,-30.824962251000002,0.19963687481,-30.625324717300003,-25.395634,0.22280246,-25.172831
8.1392,30,-30.810725743999996,0.23864842850999998,-30.57207806,-25.376762,0.27608741,-25.100673999999998
11.417,31,-30.795473996000002,0.28321099250000004,-30.512263589600003,-25.355808,0.33731754,-25.018491
16.0147,32,-30.779838854000005,0.33333559631000004,-30.446503283330003,-25.333698000000002,0.40330498,-24.930393
22.464,33,-30.7649715085,0.38890618849999997,-30.3760648242,-25.312497,0.47102097,-24.841476
31.5105,34,-30.7524267368,0.4499103765,-30.30251649046,-25.295271,0.53951839,-24.755753
