,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.15374,0.0,-25.15374,,,
1e-08,1,,,,-21.302854999999997,2.119235e-07,-21.302854999999997
0.0006244,2,-25.153758,4.8001418e-05,-25.15371,-21.304741,0.010367897,-21.294373
0.0008759,3,-25.153766,6.731319499999999e-05,-25.153699,-21.309185999999997,0.034432895,-21.274753
0.0012286,4,-25.153776,9.4817975e-05,-25.153682,-21.315144,0.06649119,-21.248653
0.0017234,5,-25.153791000000002,0.00013390648999999998,-25.153657,-21.323126000000002,0.10849382,-21.214632
0.0024174,6,-25.153810999999997,0.00018927451,-25.153622,-21.333832,0.16255819,-21.171274
0.0033909,7,-25.153839,0.00026734765,-25.153571,-21.348216,0.23100419,-21.117212
0.0047565,8,-25.153876999999998,0.00037684888,-25.1535,-21.367598,0.31656123,-21.051037
0.006672,9,-25.15393,0.00052933683,-25.153401000000002,-21.393808,0.42278691,-20.971021
0.0093589,10,-25.154004,0.0007398230900000001,-25.153264,-21.429451,0.55451903,-20.874932
0.0131278,11,-25.154107,0.0010271937,-25.15308,-21.478279999999998,0.71801932,-20.76026
0.0184145,12,-25.154254,0.0014142883,-25.152839,-21.545916000000002,0.92011095,-20.625805
0.0258302,13,-25.154462,0.0019272701999999999,-25.152535,-21.641239000000002,1.1664961999999999,-20.474743
0.0362323,14,-25.154767,0.0025942249,-25.152173,-21.779984,1.4611944,-20.31879
0.0508234,15,-25.155225,0.0034493540999999996,-25.151776,-21.995317,1.8115533,-20.183764
0.0712906,16,-25.155898,0.004627318,-25.151270999999998,-22.311301,2.2672374,-20.044064000000002
0.1,17,-25.156814999999998,0.0064204377,-25.150395,-22.715513,2.9183987,-19.797114999999998
0.140271,18,-25.157998000000003,0.0091385071,-25.148858999999998,-23.198051,3.8259381,-19.372113
0.19676,19,-25.159464,0.01308764,-25.146376,-23.758307000000002,5.0319254,-18.726382
0.275997,20,-25.161175,0.018692926000000002,-25.142482,-24.383087,6.5877545,-17.795332000000002
0.3871,21,-25.162935,0.026634316,-25.136301,-25.030908,8.556616,-16.474292000000002
0.5431,22,-25.164042000000002,0.038096153,-25.125946,-25.561075,11.032615,-14.52846
0.7617,23,-25.162384,0.054560134,-25.107824,-25.543446,14.03154,-11.511906
1.0685,24,-25.157088,0.074864727,-25.082223000000003,-24.892426,16.977995999999997,-7.914430499999999
1.4988,25,-25.149188,0.097494859,-25.051693,-23.902438,19.321899,-4.5805389000000005
2.1024,26,-25.138748,0.12337547,-25.015373,-22.635804,20.94954,-1.6862637999999999
2.949,27,-25.126572,0.15258438,-24.973987,-21.289839,21.633814,0.34397575
4.1366,28,-25.112872,0.18626569,-24.926607,-19.945686,21.439638000000002,1.4939516000000002
5.8025,29,-25.097565,0.22558942,-24.871976,-18.613383,20.537667000000003,1.9242843999999997
8.1392,30,-25.080739,0.27137906,-24.809359,-17.304126999999998,19.183796,1.8796688999999998
11.417,31,-25.06279,0.32425274,-24.738538000000002,-16.02936,17.674347,1.6449873
16.0147,32,-25.044626,0.38464206,-24.659983999999998,-14.799209,16.213008,1.4137984
22.464,33,-25.027922,0.45290008,-24.575022,-13.622776000000002,14.871172,1.2483954
31.5105,34,-25.015168,0.52946683,-24.485701000000002,-12.475913,13.645010000000001,1.1690966999999999
44.2001,35,-25.007926,0.61412496,-24.393801,-11.035318,12.481753,1.4464351
62.0,36,-25.023453,0.6939248,-24.329529,-9.420279800000001,11.036448,1.6161678999999998
85.775,37,-25.101329,0.7554485,-24.345879999999998,-8.5631248,9.4203773,0.85725251
109.55,38,-25.236454000000002,0.80967199,-24.426782,-9.1735922,8.5631255,-0.61046669
133.325,39,-25.410049,0.91276193,-24.497287,-10.62342,9.173591900000002,-1.4498278
