,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.15374,0.0,-25.15374,,,
1e-08,1,,,,-25.454878,1.8182503e-06,-25.454877
0.0006244,2,-25.153758,4.8001418e-05,-25.15371,-25.454895999999998,3.7980527e-05,-25.454857999999998
0.0008759,3,-25.153766,6.731319499999999e-05,-25.153699,-25.454903,5.2672233e-05,-25.45485
0.0012286,4,-25.153776,9.4817975e-05,-25.153682,-25.454913,7.3704356e-05,-25.454839
0.0017234,5,-25.153791000000002,0.00013390648999999998,-25.153657,-25.454926,0.00010380764000000001,-25.454823
0.0024174,6,-25.153810999999997,0.00018927451,-25.153622,-25.454945000000002,0.00014683878,-25.454798
0.0033909,7,-25.153839,0.00026734765,-25.153571,-25.454971,0.00020826461,-25.454763
0.0047565,8,-25.153876999999998,0.00037684888,-25.1535,-25.455008,0.00029576846,-25.454712
0.006672,9,-25.15393,0.00052933683,-25.153401000000002,-25.455057999999998,0.00042006387,-25.454638
0.0093589,10,-25.154004,0.0007398230900000001,-25.153264,-25.455129,0.00059591886,-25.454532999999998
0.0131278,11,-25.154107,0.0010271937,-25.15308,-25.455227999999998,0.00084343338,-25.454385000000002
0.0184145,12,-25.154254,0.0014142883,-25.152839,-25.455368,0.001189325,-25.454179
0.0258302,13,-25.154462,0.0019272701999999999,-25.152535,-25.455567000000002,0.0016674232999999998,-25.4539
0.0362323,14,-25.154767,0.0025942249,-25.152173,-25.455856,0.0023185545,-25.453538
0.0508234,15,-25.155225,0.0034493540999999996,-25.151776,-25.456281,0.0031930473999999998,-25.453088
0.0712906,16,-25.155898,0.004627318,-25.151270999999998,-25.456889,0.0044280962,-25.452460000000002
0.1,17,-25.156814999999998,0.0064204377,-25.150395,-25.4577,0.0062973321,-25.451403
0.140271,18,-25.157998000000003,0.0091385071,-25.148858999999998,-25.458723000000003,0.0090716325,-25.449652
0.19676,19,-25.159464,0.01308764,-25.146376,-25.459956,0.012923945,-25.447032
0.275997,20,-25.161175,0.018692926000000002,-25.142482,-25.46134,0.017989074,-25.443351
0.3871,21,-25.162935,0.026634316,-25.136301,-25.462683,0.024637281,-25.438046
0.5431,22,-25.164042000000002,0.038096153,-25.125946,-25.463358,0.034047426,-25.42931
0.7617,23,-25.162384,0.054560134,-25.107824,-25.461473,0.048178519,-25.413295
1.0685,24,-25.157088,0.074864727,-25.082223000000003,-25.456245000000003,0.066884224,-25.389360999999997
1.4988,25,-25.149188,0.097494859,-25.051693,-25.448495,0.08902909699999999,-25.359466
2.1024,26,-25.138748,0.12337547,-25.015373,-25.438184,0.11483682,-25.323347000000002
2.949,27,-25.126572,0.15258438,-24.973987,-25.425915,0.14419083,-25.281724
4.1366,28,-25.112872,0.18626569,-24.926607,-25.411672,0.17933886,-25.232332999999997
5.8025,29,-25.097565,0.22558942,-24.871976,-25.395213000000002,0.22284204,-25.172371
8.1392,30,-25.080739,0.27137906,-24.809359,-25.376342,0.27613453,-25.100207
11.417,31,-25.06279,0.32425274,-24.738538000000002,-25.355381,0.33737873,-25.018002
16.0147,32,-25.044626,0.38464206,-24.659983999999998,-25.333266000000002,0.40337433,-24.929891
22.464,33,-25.027922,0.45290008,-24.575022,-25.312062,0.47109837,-24.840964000000003
31.5105,34,-25.015168,0.52946683,-24.485701000000002,-25.294829999999997,0.53960985,-24.755221
44.2001,35,-25.007926,0.61412496,-24.393801,-25.283198000000002,0.61228822,-24.67091
62.0,36,-25.023453,0.6939248,-24.329529,-25.295981,0.68779258,-24.608188000000002
85.775,37,-25.101329,0.7554485,-24.345879999999998,-25.378092000000002,0.75942533,-24.618667000000002
109.55,38,-25.236454000000002,0.80967199,-24.426782,-25.524616,0.82926212,-24.695354000000002
