,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.15374,0.0,-25.15374,,,
1e-08,1,,,,-14.808413,1.8182503e-06,-14.808410999999998
0.0006244,2,-25.153758,4.8001418e-05,-25.15371,-14.808503,3.9798771e-05,-14.808463
0.0008759,3,-25.153766,6.731319499999999e-05,-25.153699,-14.808534,9.2470818e-05,-14.808442000000001
0.0012286,4,-25.153776,9.4817975e-05,-25.153682,-14.808573,0.00016617457,-14.808407
0.0017234,5,-25.153791000000002,0.00013390648999999998,-25.153657,-14.808619,0.0002699807,-14.808349
0.0024174,6,-25.153810999999997,0.00018927451,-25.153622,-14.808672,0.00041681602999999996,-14.808254999999999
0.0033909,7,-25.153839,0.00026734765,-25.153571,-14.808731,0.00062507315,-14.808106
0.0047565,8,-25.153876999999998,0.00037684888,-25.1535,-14.808794,0.00092082584,-14.807873
0.006672,9,-25.15393,0.00052933683,-25.153401000000002,-14.808854,0.0013408570000000002,-14.807513
0.0093589,10,-25.154004,0.0007398230900000001,-25.153264,-14.8089,0.0019367092,-14.806963
0.0131278,11,-25.154107,0.0010271937,-25.15308,-14.808913,0.0027800076,-14.806132999999999
0.0184145,12,-25.154254,0.0014142883,-25.152839,-14.808860999999998,0.0039690624,-14.804892
0.0258302,13,-25.154462,0.0019272701999999999,-25.152535,-14.808694000000001,0.0056359509,-14.803057999999998
0.0362323,14,-25.154767,0.0025942249,-25.152173,-14.808329999999998,0.007953461,-14.800376000000002
0.0508234,15,-25.155225,0.0034493540999999996,-25.151776,-14.807631,0.011144503,-14.796486999999999
0.0712906,16,-25.155898,0.004627318,-25.151270999999998,-14.806332999999999,0.015568803,-14.790764000000001
0.1,17,-25.156814999999998,0.0064204377,-25.150395,-14.803954000000001,0.021859012999999997,-14.782095000000002
0.140271,18,-25.157998000000003,0.0091385071,-25.148858999999998,-14.799838000000001,0.030917471000000002,-14.768920999999999
0.19676,19,-25.159464,0.01308764,-25.146376,-14.793128,0.043817589000000004,-14.749310999999999
0.275997,20,-25.161175,0.018692926000000002,-25.142482,-14.782651999999999,0.061764717000000004,-14.720887
0.3871,21,-25.162935,0.026634316,-25.136301,-14.76684,0.086329436,-14.68051
0.5431,22,-25.164042000000002,0.038096153,-25.125946,-14.743559,0.12025012,-14.623308999999999
0.7617,23,-25.162384,0.054560134,-25.107824,-14.710749,0.16819948,-14.542549
1.0685,24,-25.157088,0.074864727,-25.082223000000003,-14.669918,0.23465862,-14.435259
1.4988,25,-25.149188,0.097494859,-25.051693,-14.624583,0.32290191,-14.301681
2.1024,26,-25.138748,0.12337547,-25.015373,-14.576857,0.43631351,-14.140543
2.949,27,-25.126572,0.15258438,-24.973987,-14.529585999999998,0.57797862,-13.951607000000001
4.1366,28,-25.112872,0.18626569,-24.926607,-14.484952999999999,0.75290972,-13.732042999999999
5.8025,29,-25.097565,0.22558942,-24.871976,-14.446275,0.96812883,-13.478145999999999
8.1392,30,-25.080739,0.27137906,-24.809359,-14.418844,1.2311972,-13.187645999999999
11.417,31,-25.06279,0.32425274,-24.738538000000002,-14.411415,1.5466153999999999,-12.864799
16.0147,32,-25.044626,0.38464206,-24.659983999999998,-14.437005,1.9141795,-12.522826
22.464,33,-25.027922,0.45290008,-24.575022,-14.514084,2.3289984,-12.185086
31.5105,34,-25.015168,0.52946683,-24.485701000000002,-14.668776999999999,2.7833177000000004,-11.885458999999999
44.2001,35,-25.007926,0.61412496,-24.393801,-14.9383,3.2697789,-11.668521
62.0,36,-25.023453,0.6939248,-24.329529,-15.377185999999998,3.7740398999999996,-11.603146
85.775,37,-25.101329,0.7554485,-24.345879999999998,-16.017117000000002,4.2701257,-11.746991
