,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.39354409,1,0.25158706
0.00075015,2,0.39382619,2,0.25658685
0.00105225,3,0.40765174,3,0.26926352
0.001476,4,0.41998927,4,0.28187911
0.0020704,5,0.4302448,5,0.29418473
0.00290415,6,0.43723218,6,0.30567095
0.0040737,7,0.44023397,7,0.31610491
0.00571425,8,0.43791542,8,0.32470306
0.00801545,9,0.42893261,9,0.33052958
0.01124335,10,0.41177147,10,0.33253475
0.01577115,11,0.38479376,11,0.32883812
0.02212235,12,0.34620533,12,0.31710626
0.03103125,13,0.29392174,13,0.29406209
0.04352785,14,0.22968683,14,0.26026895
0.061057,15,0.2084382,15,0.25868706
0.0856453,16,0.25756288,16,0.31088196
0.1201355,17,0.32192342,17,0.3671019
0.1685155,18,0.37104586,18,0.39152417
0.2363785,19,0.41487536,19,0.39201412
0.3315485,20,0.46967429,20,0.40298718
0.4651,21,0.5603509,21,0.47266266
0.6524,22,0.69983603,22,0.61824316
0.9151,23,0.70442804,23,0.65838557
1.28365,24,0.5989483,24,0.58634174
1.8006,25,0.5079718,25,0.50502668
2.5257,26,0.41267778,26,0.41491035
3.5428,27,0.33679824,27,0.35100224
4.96955,28,0.27684024,28,0.30377442
6.97085,29,0.22621543,29,0.26065577
9.7781,30,0.18239976,30,0.21163992
13.71585,31,0.14423341,31,0.16174064
19.23935,32,0.11121126,32,0.11637656
26.98725,33,0.083351037,33,0.07998530400000001
37.8553,34,0.061137687999999996,34,0.056054028
53.10005,35,0.03048205,35,0.029744267
73.8875,36,-0.0058061064,36,-0.0037130034999999996
97.6625,37,-0.028725975,37,-0.027251845
121.4375,38,-0.025034671,38,-0.023353983
145.2125,39,-0.0048896221,39,-0.0026998141999999997
168.9875,40,0.0092532346,40,0.011679947
192.7625,41,0.023001272000000003,41,0.025635512000000003
216.5375,42,0.039930528,42,0.041438413
240.3125,43,0.060556818,43,0.059988115999999994
264.0875,44,0.084200426,44,0.080988319
287.8625,45,0.10939415,45,0.10271465
311.6375,46,0.13522764,46,0.12532532
335.4125,47,0.16130785,47,0.15013255
359.1875,48,0.18620293,48,0.17286541
382.9625,49,0.20496254,49,0.18664789
406.7375,50,0.22541303,50,0.20306964
430.5125,51,0.24686011,51,0.22473696
454.2875,52,0.26881643,52,0.24880647
478.0625,53,0.29074353,53,0.27177283
501.8375,54,0.31166035,54,0.29154488
525.6125,55,0.33126957,55,0.31088826
549.3875,56,0.34854775,56,0.32941343
573.1625,57,0.36304556,57,0.34759729
596.9375,58,0.37458774,58,0.36374993
620.7125,59,0.38280295,59,0.37622293
644.4875,60,0.38829722,60,0.38563205
668.2625,61,0.39086837,61,0.39207587
692.0375,62,0.38842347,62,0.39403962
715.8125,63,0.37753243,63,0.38865223
739.5875,64,0.37222947,64,0.39135985
763.3625,65,0.34510745,65,0.3719153
787.1375,66,0.3076998,66,0.33898223
810.9125,67,0.26894737,67,0.30028351
834.6875,68,0.22684462,68,0.25341671
858.4625,69,0.19408593,69,0.21447309
882.2375,70,0.16905691,70,0.1844066
906.0125,71,0.14904164,71,0.16186614
929.7875,72,0.13337277,72,0.14521303
953.5625,73,0.12286761,73,0.13521421
977.3375,74,0.1218029,74,0.13631062
1001.1125,75,0.17510992,75,0.18861005
