,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.15374,0.0,-25.15374,-25.455289999999998,4.4389554999999996e-08,-25.455289999999998
0.0006244,2,-25.153758,4.8001418e-05,-25.15371,-25.455308,3.6202681e-05,-25.455272
0.0008759,3,-25.153766,6.731319499999999e-05,-25.153699,-25.455315,5.0892699000000005e-05,-25.455264
0.0012286,4,-25.153776,9.4817975e-05,-25.153682,-25.455325,7.1922466e-05,-25.455253
0.0017234,5,-25.153791000000002,0.00013390648999999998,-25.153657,-25.455338,0.00010202129000000001,-25.455236
0.0024174,6,-25.153810999999997,0.00018927451,-25.153622,-25.455357,0.00014504752,-25.455212
0.0033909,7,-25.153839,0.00026734765,-25.153571,-25.455382999999998,0.00020646226999999998,-25.455177
0.0047565,8,-25.153876999999998,0.00037684888,-25.1535,-25.45542,0.00029395609,-25.455126
0.006672,9,-25.15393,0.00052933683,-25.153401000000002,-25.455470000000002,0.00041823732000000004,-25.455052
0.0093589,10,-25.154004,0.0007398230900000001,-25.153264,-25.455541,0.0005940685500000001,-25.454947
0.0131278,11,-25.154107,0.0010271937,-25.15308,-25.45564,0.0008415560400000001,-25.454798
0.0184145,12,-25.154254,0.0014142883,-25.152839,-25.455779999999997,0.0011873922,-25.454592
0.0258302,13,-25.154462,0.0019272701999999999,-25.152535,-25.455979,0.001665445,-25.454314
0.0362323,14,-25.154767,0.0025942249,-25.152173,-25.456267999999998,0.0023164584,-25.453951
0.0508234,15,-25.155225,0.0034493540999999996,-25.151776,-25.456692,0.0031908496,-25.453502
0.0712906,16,-25.155898,0.004627318,-25.151270999999998,-25.4573,0.004425838499999999,-25.452873999999998
0.1,17,-25.156814999999998,0.0064204377,-25.150395,-25.458112,0.0062948561,-25.451817000000002
0.140271,18,-25.157998000000003,0.0091385071,-25.148858999999998,-25.459135,0.009069079399999999,-25.450066
0.19676,19,-25.159464,0.01308764,-25.146376,-25.460367,0.012921301999999999,-25.447445000000002
0.275997,20,-25.161175,0.018692926000000002,-25.142482,-25.461751,0.017985848999999998,-25.443765
0.3871,21,-25.162935,0.026634316,-25.136301,-25.463094,0.024633131000000003,-25.438461
0.5431,22,-25.164042000000002,0.038096153,-25.125946,-25.463767999999998,0.034042359,-25.429726000000002
0.7617,23,-25.162384,0.054560134,-25.107824,-25.461885000000002,0.048169949000000004,-25.413715
1.0685,24,-25.157088,0.074864727,-25.082223000000003,-25.456657999999997,0.066872553,-25.389785
1.4988,25,-25.149188,0.097494859,-25.051693,-25.448908,0.089013395,-25.359895
2.1024,26,-25.138748,0.12337547,-25.015373,-25.438598000000002,0.11481681,-25.323781
2.949,27,-25.126572,0.15258438,-24.973987,-25.426332000000002,0.14416487,-25.282167
4.1366,28,-25.112872,0.18626569,-24.926607,-25.412091,0.17930719,-25.232782999999998
5.8025,29,-25.097565,0.22558942,-24.871976,-25.395634,0.22280246,-25.172831
8.1392,30,-25.080739,0.27137906,-24.809359,-25.376762,0.27608741,-25.100673999999998
11.417,31,-25.06279,0.32425274,-24.738538000000002,-25.355808,0.33731754,-25.018491
16.0147,32,-25.044626,0.38464206,-24.659983999999998,-25.333698000000002,0.40330498,-24.930393
22.464,33,-25.027922,0.45290008,-24.575022,-25.312497,0.47102097,-24.841476
31.5105,34,-25.015168,0.52946683,-24.485701000000002,-25.295271,0.53951839,-24.755753
44.2001,35,-25.007926,0.61412496,-24.393801,-25.283661,0.61217575,-24.671485
62.0,36,-25.023453,0.6939248,-24.329529,-25.296441,0.68767844,-24.608762
85.775,37,-25.101329,0.7554485,-24.345879999999998,-25.378518,0.75929797,-24.619220000000002
109.55,38,-25.236454000000002,0.80967199,-24.426782,-25.525063,0.82908468,-24.695978
