,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.39354409,,
0.000312205,,,1.0,0.0
0.00075015,2.0,0.39382619,2.0,0.0
0.00105225,3.0,0.40765174,3.0,0.0
0.001476,4.0,0.41998927,4.0,0.0
0.0020704,5.0,0.4302448,5.0,0.0
0.00290415,6.0,0.43723218,6.0,0.0
0.0040737,7.0,0.44023397,7.0,0.0
0.00571425,8.0,0.43791542,8.0,0.0
0.00801545,9.0,0.42893261,9.0,0.0
0.01124335,10.0,0.41177147,10.0,0.0
0.01577115,11.0,0.38479376,11.0,0.0
0.02212235,12.0,0.34620533,12.0,0.0
0.03103125,13.0,0.29392174,13.0,0.0
0.04352785,14.0,0.22968683,14.0,0.0
0.061057,15.0,0.2084382,15.0,0.0
0.0856453,16.0,0.25756288,16.0,0.0
0.1201355,17.0,0.32192342,17.0,0.0
0.1685155,18.0,0.37104586,18.0,0.0
0.2363785,19.0,0.41487536,19.0,0.0
0.3315485,20.0,0.46967429,20.0,0.0
0.4651,21.0,0.5603509,21.0,0.0
0.6524,22.0,0.69983603,22.0,0.0
0.9151,23.0,0.70442804,23.0,0.0
1.28365,24.0,0.5989483,24.0,0.0
1.8006,25.0,0.5079718,25.0,0.0
2.5257,26.0,0.41267778,26.0,0.0
3.5428,27.0,0.33679824,27.0,0.0
4.96955,28.0,0.27684024,28.0,0.0
6.97085,29.0,0.22621543,29.0,0.0
9.7781,30.0,0.18239976,30.0,0.0
13.71585,31.0,0.14423341,31.0,0.0
19.23935,32.0,0.11121126,32.0,0.0
26.98725,33.0,0.083351037,33.0,0.0
37.8553,34.0,0.061137687999999996,34.0,0.0
53.10005,35.0,0.03048205,35.0,0.0
73.8875,36.0,-0.0058061064,36.0,0.0
97.6625,37.0,-0.028725975,37.0,0.0
121.4375,38.0,-0.025034671,38.0,0.0
145.2125,39.0,-0.0048896221,39.0,0.0
168.9875,40.0,0.0092532346,40.0,0.0
192.7625,41.0,0.023001272000000003,41.0,0.0
216.5375,42.0,0.039930528,42.0,0.0
240.3125,43.0,0.060556818,43.0,0.0
264.0875,44.0,0.084200426,44.0,0.0
287.8625,45.0,0.10939415,45.0,0.0
311.6375,46.0,0.13522764,46.0,0.0
335.4125,47.0,0.16130785,47.0,0.0
359.1875,48.0,0.18620293,48.0,0.0
382.9625,49.0,0.20496254,49.0,0.0
406.7375,50.0,0.22541303,50.0,0.0
430.5125,51.0,0.24686011,51.0,0.0
454.2875,52.0,0.26881643,52.0,0.0
478.0625,53.0,0.29074353,53.0,0.0
501.8375,54.0,0.31166035,54.0,0.0
525.6125,55.0,0.33126957,55.0,0.0
549.3875,56.0,0.34854775,56.0,0.0
573.1625,57.0,0.36304556,57.0,0.0
596.9375,58.0,0.37458774,58.0,0.0
620.7125,59.0,0.38280295,59.0,0.0
644.4875,60.0,0.38829722,60.0,0.0
668.2625,61.0,0.39086837,61.0,0.0
692.0375,62.0,0.38842347,62.0,0.0
715.8125,63.0,0.37753243,63.0,0.0
739.5875,64.0,0.37222947,64.0,0.0
763.3625,65.0,0.34510745,65.0,0.0
787.1375,66.0,0.3076998,66.0,0.0
810.9125,67.0,0.26894737,67.0,0.0
834.6875,68.0,0.22684462,68.0,0.0
858.4625,69.0,0.19408593,69.0,0.0
882.2375,70.0,0.16905691,70.0,0.0
906.0125,71.0,0.14904164,71.0,0.0
929.7875,72.0,0.13337277,72.0,0.0
953.5625,73.0,0.12286761,73.0,0.0
977.3375,74.0,0.1218029,74.0,0.0
1001.1125,75.0,0.17510992,75.0,0.0
