,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.39354409,1,-0.71877588
0.00075015,2,0.39382619,2,0.64621824
0.00105225,3,0.40765174,3,0.80090044
0.001476,4,0.41998927,4,0.95859691
0.0020704,5,0.4302448,5,1.1177083
0.00290415,6,0.43723218,6,1.2755379999999998
0.0040737,7,0.44023397,7,1.4302052
0.00571425,8,0.43791542,8,1.5798632
0.00801545,9,0.42893261,9,1.7221768
0.01124335,10,0.41177147,10,1.8554956999999999
0.01577115,11,0.38479376,11,1.9779993999999999
0.02212235,12,0.34620533,12,2.0857495999999998
0.03103125,13,0.29392174,13,2.1755251
0.04352785,14,0.22968683,14,2.2492628
0.061057,15,0.2084382,15,2.3596109
0.0856453,16,0.25756288,16,2.5486214
0.1201355,17,0.32192342,17,2.7612761000000003
0.1685155,18,0.37104586,18,2.9301651
0.2363785,19,0.41487536,19,3.0279367
0.3315485,20,0.46967429,20,3.0675807
0.4651,21,0.5603509,21,3.0950757
0.6524,22,0.69983603,22,3.1184611
0.9151,23,0.70442804,23,2.9518701000000003
1.28365,24,0.5989483,24,2.6203444
1.8006,25,0.5079718,25,2.2534214
2.5257,26,0.41267778,26,1.8837846
3.5428,27,0.33679824,27,1.5605751
4.96955,28,0.27684024,28,1.2864786
6.97085,29,0.22621543,29,1.0493916
9.7781,30,0.18239976,30,0.83139843
13.71585,31,0.14423341,31,0.62783601
19.23935,32,0.11121126,32,0.44204307
26.98725,33,0.083351037,33,0.27957294
37.8553,34,0.061137687999999996,34,0.14430612
53.10005,35,0.03048205,35,0.031002259
73.8875,36,-0.0058061064,36,-0.051069650999999994
97.6625,37,-0.028725975,37,-0.071472638
121.4375,38,-0.025034671,38,-0.072626065
145.2125,39,-0.0048896221,39,-0.052586139000000004
168.9875,40,0.0092532346,40,-0.017607046
192.7625,41,0.023001272000000003,41,0.026137412999999998
216.5375,42,0.039930528,42,0.072684284
240.3125,43,0.060556818,43,0.12173838
264.0875,44,0.084200426,44,0.16984324
287.8625,45,0.10939415,45,0.21285629
311.6375,46,0.13522764,46,0.24740805
335.4125,47,0.16130785,47,0.27150829
359.1875,48,0.18620293,48,0.28274011
382.9625,49,0.20496254,49,0.28196132
406.7375,50,0.22541303,50,0.26966762
430.5125,51,0.24686011,51,0.25014106
454.2875,52,0.26881643,52,0.22666006
478.0625,53,0.29074353,53,0.20162777
501.8375,54,0.31166035,54,0.17718643
525.6125,55,0.33126957,55,0.15463223
549.3875,56,0.34854775,56,0.13519316
573.1625,57,0.36304556,57,0.11940236
596.9375,58,0.37458774,58,0.10771278
620.7125,59,0.38280295,59,0.1007762
644.4875,60,0.38829722,60,0.098890596
668.2625,61,0.39086837,61,0.1009663
692.0375,62,0.38842347,62,0.10258004
715.8125,63,0.37753243,63,0.096900425
739.5875,64,0.37222947,64,0.077405443
763.3625,65,0.34510745,65,0.049084458
787.1375,66,0.3076998,66,0.022989489
810.9125,67,0.26894737,67,0.0070606128
834.6875,68,0.22684462,68,0.0038371902000000004
858.4625,69,0.19408593,69,0.0075931806999999995
882.2375,70,0.16905691,70,0.012365744
906.0125,71,0.14904164,71,0.015280647
929.7875,72,0.13337277,72,0.016889772
953.5625,73,0.12286761,73,0.021981458
977.3375,74,0.1218029,74,0.046599536
1001.1125,75,0.17510992,75,0.11995071
