,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.037772473,,
0.000312205,,,1.0,-0.030198914
0.00075015,2.0,-0.04221464,2.0,-0.033779457
0.00105225,3.0,-0.050754202000000005,3.0,-0.040741191
0.001476,4.0,-0.058852849000000006,4.0,-0.04739347
0.0020704,5.0,-0.066510307,5.0,-0.053744034
0.00290415,6.0,-0.073718265,6.0,-0.05978445
0.0040737,7.0,-0.0804665,7.0,-0.06551291
0.00571425,8.0,-0.086742766,8.0,-0.070901714
0.00801545,9.0,-0.09254325699999999,9.0,-0.075957368
0.01124335,10.0,-0.09797211800000001,10.0,-0.08068192
0.01577115,11.0,-0.10311103,11.0,-0.085072563
0.02212235,12.0,-0.10804507,12.0,-0.089135323
0.03103125,13.0,-0.11293708,13.0,-0.092892801
0.04352785,14.0,-0.11686639,14.0,-0.095594156
0.061057,15.0,-0.11359961,15.0,-0.093669738
0.0856453,16.0,-0.081902155,16.0,-0.071034192
0.1201355,17.0,-0.00028845187,17.0,-0.0079156575
0.1685155,18.0,0.1386435,18.0,0.10613828
0.2363785,19.0,0.3449539,19.0,0.28388387
0.3315485,20.0,0.62964838,20.0,0.53956518
0.4651,21.0,1.0069242,21.0,0.88814188
0.6524,22.0,1.4478951999999998,22.0,1.3018723
0.9151,23.0,1.7228876,23.0,1.5999287
1.28365,24.0,1.7091785,24.0,1.6528619999999998
1.8006,25.0,1.5397865,25.0,1.512629
2.5257,26.0,1.2248729,26.0,1.1857503999999999
3.5428,27.0,0.87364058,27.0,0.83418891
4.96955,28.0,0.58937953,28.0,0.56749905
6.97085,29.0,0.38376635,29.0,0.38570595
9.7781,30.0,0.18819585,30.0,0.20772585
13.71585,31.0,-0.046761462999999996,31.0,-0.030244525
19.23935,32.0,-0.2671632,32.0,-0.26600127
26.98725,33.0,-0.44555366,33.0,-0.46624027
37.8553,34.0,-0.54022038,34.0,-0.59310431
53.10005,35.0,-0.50881272,35.0,-0.57751031
73.8875,36.0,-0.3420071,36.0,-0.37734693
97.6625,37.0,-0.17136938,37.0,-0.17932389
121.4375,38.0,-0.10836286,38.0,-0.11039729
145.2125,39.0,-0.089489988,39.0,-0.090322023
168.9875,40.0,-0.075971363,40.0,-0.07599388900000001
192.7625,41.0,-0.065306322,41.0,-0.06482726
216.5375,42.0,-0.05530007,42.0,-0.054603574
240.3125,43.0,-0.046670415,43.0,-0.045937734
264.0875,44.0,-0.03938257,44.0,-0.038701439
287.8625,45.0,-0.033341901,45.0,-0.032764625
311.6375,46.0,-0.028375877999999997,46.0,-0.027936302000000003
335.4125,47.0,-0.024002618,47.0,-0.02370566
359.1875,48.0,-0.01989122,48.0,-0.019780438
382.9625,49.0,-0.016056979,49.0,-0.01615435
406.7375,50.0,-0.012424097,50.0,-0.012728544
430.5125,51.0,-0.0087582881,51.0,-0.009265278
454.2875,52.0,-0.0049683527,52.0,-0.005678736
478.0625,53.0,-0.0010121203,53.0,-0.0019109291
501.8375,54.0,0.0031428291,54.0,0.0020894076
525.6125,55.0,0.0075408511,55.0,0.0063072389000000005
549.3875,56.0,0.012212678999999999,56.0,0.010809245
573.1625,57.0,0.017198256999999998,57.0,0.015626525
596.9375,58.0,0.022541764,58.0,0.020795295
620.7125,59.0,0.02825585,59.0,0.026331628
644.4875,60.0,0.034434829,60.0,0.032268574
668.2625,61.0,0.041033409,61.0,0.038610938
692.0375,62.0,0.047715005,62.0,0.04518288
715.8125,63.0,0.054102578,63.0,0.051738994
739.5875,64.0,0.061927908,64.0,0.06008068
763.3625,65.0,0.06894251700000001,65.0,0.068256981
787.1375,66.0,0.075675166,66.0,0.07673614299999999
810.9125,67.0,0.08267780400000001,67.0,0.085846462
834.6875,68.0,0.088155132,68.0,0.093406412
858.4625,69.0,0.09415945,69.0,0.10134413
882.2375,70.0,0.10121175,70.0,0.11026872
906.0125,71.0,0.10921174,71.0,0.12011427
929.7875,72.0,0.11811838,72.0,0.13086045
953.5625,73.0,0.12810231,73.0,0.14271826
977.3375,74.0,0.1395073,74.0,0.15596949
1001.1125,75.0,0.15383174,75.0,0.17149869
