,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-26.145960000000002,0.0,-26.145960000000002,,,
1e-08,1,,,,-25.906921,1.8651952e-06,-25.906919
0.0006244,2,-26.145964000000003,1.6368014999999999e-06,-26.145963000000002,-25.906925,3.0226441e-06,-25.906922
0.0008759,3,-26.145966,2.3892296e-06,-26.145964000000003,-25.906926000000002,3.5542845e-06,-25.906923000000003
0.0012286,4,-26.145970000000002,3.7137540000000003e-06,-26.145966,-25.906929,4.4905934000000005e-06,-25.906924
0.0017234,5,-26.145976,5.9664585e-06,-26.145970000000002,-25.906933,6.084712e-06,-25.906927
0.0024174,6,-26.145985,9.7029647e-06,-26.145975,-25.90694,8.731343199999998e-06,-25.906932
0.0033909,7,-26.145999,1.578742e-05,-26.145984,-25.906951,1.304477e-05,-25.906938
0.0047565,8,-26.146022,2.5554065999999997e-05,-26.145997,-25.906969,1.9973465000000002e-05,-25.906948999999997
0.006672,9,-26.146057,4.1051524e-05,-26.146016,-25.906996,3.0976247e-05,-25.906965
0.0093589,10,-26.146110999999998,6.5409203e-05,-26.146046,-25.907038,4.8279579e-05,-25.906989000000003
0.0131278,11,-26.146193,0.00010337124,-26.146089,-25.907101,7.5284546e-05,-25.907025
0.0184145,12,-26.146316,0.0001620708,-26.146154,-25.907196,0.00011714543,-25.907079
0.0258302,13,-26.146501,0.0002521923,-26.146248999999997,-25.907339,0.00018164415,-25.907157
0.0362323,14,-26.146778,0.00038969714,-26.146388,-25.907552,0.00028054066000000004,-25.907270999999998
0.0508234,15,-26.14719,0.0005994199,-26.14659,-25.907869,0.0004323885,-25.907436999999998
0.0712906,16,-26.147831,0.0009657076800000001,-26.146866,-25.908364000000002,0.0007002616000000001,-25.907664
0.1,17,-26.148867000000003,0.0017232024,-26.147144,-25.909167999999998,0.0012623553999999999,-25.907905
0.140271,18,-26.150451,0.0033057973999999998,-26.147145000000002,-25.910403,0.0024599548,-25.907943
0.19676,19,-26.152678,0.006460554300000001,-26.146218,-25.912139,0.0049065885,-25.907232999999998
0.275997,20,-26.155482,0.012502516000000002,-26.142979999999998,-25.9143,0.009731584599999999,-25.904567999999998
0.3871,21,-26.158355,0.023661484,-26.134693,-25.916414000000003,0.018947581,-25.897466
0.5431,22,-26.159689999999998,0.043604591,-26.116086,-25.917085999999998,0.036033862,-25.881052
0.7617,23,-26.155891,0.077298462,-26.078592999999998,-25.913364,0.066026687,-25.847337
1.0685,24,-26.144644,0.12866514,-26.015979,-25.903288,0.11410297,-25.789185
1.4988,25,-26.126319,0.19746118,-25.928857999999998,-25.887054,0.18212686,-25.704926999999998
2.1024,26,-26.100312,0.28154952,-25.818762,-25.864293,0.26753178,-25.596760999999997
2.949,27,-26.070621,0.37469628,-25.695925,-25.839013,0.36117731,-25.477835
4.1366,28,-26.044610000000002,0.47158852,-25.573022,-25.818572,0.45810203,-25.36047
5.8025,29,-26.031075,0.57436018,-25.456715,-25.811909,0.56343975,-25.248469
8.1392,30,-26.044589000000002,0.69410014,-25.350489000000003,-25.834075,0.69237956,-25.141695000000002
11.417,31,-26.117541,0.84012475,-25.277416,-25.917918,0.85688638,-25.061031
16.0147,32,-26.297452000000003,0.99456781,-25.302884,-26.110758999999998,1.0332542,-25.077505
22.464,33,-26.636621,1.1296329999999999,-25.506988,-26.465095,1.1843527,-25.280742
31.5105,34,-27.216240000000003,1.2317868,-25.984453,-27.074347999999997,1.2939207,-25.780427
44.2001,35,-28.082741,1.2862437,-26.796498,-28.020317,1.3482591999999998,-26.672058000000003
62.0,36,-29.147105,1.2777633999999998,-27.869342,-29.228209999999997,1.3383315,-27.889878999999997
