,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.18420311,1,0.43424353
0.00075015,2,0.015948247,2,0.039704101
0.00105225,3,0.016415974,3,0.0070661251
0.001476,4,0.011189481000000001,4,-0.01396089
0.0020704,5,0.0055002197,5,-0.019924163
0.00290415,6,-0.0002200252,6,-0.023334886000000003
0.0040737,7,-0.0060915319,7,-0.021325379
0.00571425,8,-0.012193363999999998,8,-0.019898775
0.00801545,9,-0.018518575,9,-0.019722147
0.01124335,10,-0.0249876,10,-0.019796433000000002
0.01577115,11,-0.03159861,11,-0.023074208
0.02212235,12,-0.038655295,12,-0.028406257
0.03103125,13,-0.047649262000000005,13,-0.039783257999999995
0.04352785,14,-0.06405919,14,-0.060477542999999995
0.061057,15,-0.075322426,15,-0.07211758
0.0856453,16,-0.072436258,16,-0.06066175099999999
0.1201355,17,-0.064109067,17,-0.039367818
0.1685155,18,-0.052578988,18,-0.02232159
0.2363785,19,-0.031416945,19,-0.0090711124
0.3315485,20,0.0066159498,20,0.010808656000000002
0.4651,21,0.083872883,21,0.069383147
0.6524,22,0.24233714,22,0.21740354
0.9151,23,0.28492993,23,0.2726015
1.28365,24,0.20345095,24,0.22841146
1.8006,25,0.14116082,25,0.18370778
2.5257,26,0.082488995,26,0.11580031
3.5428,27,0.047348790999999994,27,0.056301698
4.96955,28,0.026714232999999997,28,0.018117234
6.97085,29,0.013590904,29,0.0085791696
9.7781,30,0.0055312718,30,0.010013909
13.71585,31,0.0011344611,31,0.007418525600000001
19.23935,32,-0.00070961687,32,0.0021500616
26.98725,33,-0.0011116464,33,-0.0014733733
37.8553,34,-0.0009135358500000001,34,-0.001488769
53.10005,35,-0.0016231114000000001,35,-0.0016777607999999998
73.8875,36,-0.0022933945,36,-0.0023729797
97.6625,37,-0.0026603016999999997,37,-0.0028938734999999997
121.4375,38,-0.0029314657,38,-0.003225112
145.2125,39,-0.0029051289,39,-0.0032166111
168.9875,40,-0.0031176552,40,-0.0035530009
192.7625,41,-0.0033180746,41,-0.0038122723
216.5375,42,-0.003500338,42,-0.0040594970000000005
240.3125,43,-0.003623071,43,-0.0042089871000000004
264.0875,44,-0.0036820255,44,-0.004348582199999999
287.8625,45,-0.0036682636,45,-0.0043427126000000005
311.6375,46,-0.0035674446,46,-0.0040499303999999995
335.4125,47,-0.0033689877,47,-0.003720783
359.1875,48,-0.0030755001,48,-0.0033975952000000003
382.9625,49,-0.0026519501,49,-0.0033222494
406.7375,50,-0.0020065827,50,-0.0031245189
430.5125,51,-0.0011462760000000001,51,-0.0025181395
454.2875,52,-6.172517e-05,52,-0.0015761332
478.0625,53,0.001253099,53,0.00023307345
501.8375,54,0.0028012239,54,0.0020368369
525.6125,55,0.0045989165,55,0.0046841807
549.3875,56,0.0066406104,56,0.0069018992000000005
573.1625,57,0.0089536726,57,0.0094516435
596.9375,58,0.011600379,58,0.011556875
620.7125,59,0.014670586000000001,59,0.013627365
644.4875,60,0.018383157,60,0.016027179
668.2625,61,0.022873962,61,0.019136458000000002
692.0375,62,0.027659546,62,0.022787079
715.8125,63,0.031241465,63,0.02516709
739.5875,64,0.033706197,64,0.027140627999999997
763.3625,65,0.032838621,65,0.026255031
787.1375,66,0.030876668,66,0.025647494
810.9125,67,0.029599449,67,0.026331272000000003
834.6875,68,0.028965405,68,0.028757751
858.4625,69,0.030065766,69,0.031535637000000005
882.2375,70,0.032299639,70,0.034390217
906.0125,71,0.035272586,71,0.039029885
929.7875,72,0.0391121,72,0.043186243
953.5625,73,0.044333027000000004,73,0.048271481
977.3375,74,0.052494015,74,0.057702315
1001.1125,75,0.08450044300000001,75,0.089580655
