,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-4.5762035,0.0,-4.5762035,-4.4590610999999996,8.5512887e-09,-4.4590610999999996
0.0006244,2,-4.5762092,1.9264218e-05,-4.5761899,-4.4590684000000005,3.9495842e-05,-4.459028900000001
0.0008759,3,-4.576211799999999,2.2398205e-05,-4.5761894,-4.4590721,4.4324727e-05,-4.459027799999999
0.0012286,4,-4.576215299999999,2.6557935e-05,-4.5761888,-4.4590767,4.9283981000000006e-05,-4.4590275
0.0017234,5,-4.5762199,3.1772595e-05,-4.5761880999999995,-4.4590828,5.4555479999999995e-05,-4.4590283
0.0024174,6,-4.576225900000001,3.8252301e-05,-4.5761877,-4.4590907,6.0780281999999995e-05,-4.459029900000001
0.0033909,7,-4.576233900000001,4.6262436e-05,-4.5761877,-4.4591012,6.856305900000001e-05,-4.4590326
0.0047565,8,-4.5762447,5.6085915000000006e-05,-4.5761887,-4.459115,7.8982955e-05,-4.4590361
0.006672,9,-4.5762594000000005,6.7999924e-05,-4.576191400000001,-4.4591335999999995,9.303708500000001e-05,-4.4590406
0.0093589,10,-4.5762795999999994,8.2265952e-05,-4.5761973,-4.459159,0.00011214652,-4.4590468
0.0131278,11,-4.5763076,9.9154054e-05,-4.5762085,-4.459194,0.00013836154,-4.4590557
0.0184145,12,-4.5763473,0.00011900665000000001,-4.5762282999999995,-4.459243900000001,0.00017380546000000003,-4.459070099999999
0.0258302,13,-4.576404599999999,0.00014232971000000002,-4.5762622,-4.4593164000000005,0.00022132672,-4.459095099999999
0.0362323,14,-4.576490799999999,0.00016990147000000002,-4.576320900000001,-4.459427,0.00028286562999999996,-4.4591441
0.0508234,15,-4.5766361,0.00020446758000000002,-4.5764317000000005,-4.4596108,0.00036212105000000004,-4.4592487
0.0712906,16,-4.5768864,0.0002720981,-4.576614299999999,-4.4599141,0.00049052745,-4.4594235
0.1,17,-4.5772898,0.00042920945,-4.5768606,-4.4603765,0.0007466199000000001,-4.459629799999999
0.140271,18,-4.5779125,0.00074606365,-4.5771664,-4.4610481,0.0012304313,-4.4598177
0.19676,19,-4.578856200000001,0.0013378859,-4.5775182999999995,-4.4620108,0.0020437018,-4.459967
0.275997,20,-4.5802441,0.0024309381,-4.5778132000000005,-4.463365799999999,0.0033135923,-4.460052200000001
0.3871,21,-4.5821648,0.0044387169,-4.5777261,-4.465185400000001,0.0052754332,-4.4599099
0.5431,22,-4.584286799999999,0.0081106158,-4.5761762,-4.4671087,0.0084810902,-4.4586276
0.7617,23,-4.5842696,0.014368718,-4.5699009,-4.466785,0.013787519,-4.4529974999999995
1.0685,24,-4.580860299999999,0.021314437000000002,-4.5595457999999995,-4.4632674,0.020178052,-4.4430894
1.4988,25,-4.5756319,0.02645636,-4.5491755,-4.458049900000001,0.026604372999999997,-4.4314456
2.1024,26,-4.5691524,0.030069974,-4.5390824,-4.4515701,0.033261179,-4.418309
2.949,27,-4.5626055999999995,0.031795646000000004,-4.5308099,-4.4448307,0.038136083,-4.4066946
4.1366,28,-4.5563827,0.032233811,-4.5241489,-4.4380973,0.039324035,-4.3987733
5.8025,29,-4.5505404,0.031663234,-4.5188772,-4.4314919999999995,0.036294305,-4.3951977
8.1392,30,-4.5451667,0.030051455,-4.5151152,-4.4250898,0.032267059,-4.392822799999999
11.417,31,-4.5403752,0.027407594,-4.5129676,-4.419236799999999,0.030302593,-4.3889342000000005
16.0147,32,-4.5362939,0.023944182,-4.512349700000001,-4.4140668,0.029173417000000004,-4.3848934
22.464,33,-4.5330544,0.020162594,-4.512891799999999,-4.4096629,0.026412231,-4.3832507000000005
31.5105,34,-4.5307311,0.016647991,-4.5140831,-4.4060806,0.021250834,-4.3848297
