,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.038226458,1,-0.030328195
0.00075015,2,-0.042663124000000004,2,-0.033900058999999996
0.00105225,3,-0.051190846,3,-0.040841008
0.001476,4,-0.059276579,4,-0.04747925099999999
0.0020704,5,-0.066920205,5,-0.053800025999999994
0.00290415,6,-0.074113388,6,-0.059836935
0.0040737,7,-0.0808457,7,-0.065520703
0.00571425,8,-0.08710521199999999,8,-0.070883762
0.00801545,9,-0.09288774300000001,9,-0.075922484
0.01124335,10,-0.09829746,10,-0.080609974
0.01577115,11,-0.10341577,11,-0.08500255
0.02212235,12,-0.10832883,12,-0.089006474
0.03103125,13,-0.11319936,13,-0.092789817
0.04352785,14,-0.11710084,14,-0.095428844
0.061057,15,-0.11372673,15,-0.093339594
0.0856453,16,-0.081702316,16,-0.070420663
0.1201355,17,0.0005548574,17,-0.0066033136
0.1685155,18,0.1405412,18,0.10840489
0.2363785,19,0.34850341,19,0.2873896
0.3315485,20,0.63568248,20,0.54504905
0.4651,21,1.0165901,21,0.89690443
0.6524,22,1.4621511,22,1.3143848999999999
0.9151,23,1.7388038000000001,23,1.6147437
1.28365,24,1.7230310000000002,24,1.6666726000000003
1.8006,25,1.5509376,25,1.5247601
2.5257,26,1.2334848999999999,26,1.1957841999999999
3.5428,27,0.88047076,27,0.84302179
4.96955,28,0.59511406,28,0.57508879
6.97085,29,0.38920648,29,0.39305983
9.7781,30,0.19416054,30,0.21504461
13.71585,31,-0.040161407,31,-0.022112409
19.23935,32,-0.2602499,32,-0.25761948
26.98725,33,-0.43833337,33,-0.45751608
37.8553,34,-0.53319662,34,-0.58444822
53.10005,35,-0.50312013,35,-0.57040624
73.8875,36,-0.33856571,36,-0.37347821
97.6625,37,-0.16988567,37,-0.17796335
121.4375,38,-0.10764318,38,-0.10991925
145.2125,39,-0.089077332,39,-0.090226399
168.9875,40,-0.075813357,40,-0.07621035599999999
192.7625,41,-0.06536151400000001,41,-0.065326415
216.5375,42,-0.055548195999999994,42,-0.055405387
240.3125,43,-0.047069538,43,-0.046977667
264.0875,44,-0.039882953,44,-0.03989574
287.8625,45,-0.033887408,45,-0.034035547
311.6375,46,-0.028906711,46,-0.029210831
335.4125,47,-0.024464317000000003,47,-0.024898372000000002
359.1875,48,-0.020233936,48,-0.020825739
382.9625,49,-0.016227592,49,-0.016995756
406.7375,50,-0.012368168,50,-0.013290031
430.5125,51,-0.0084275219,51,-0.0094783281
454.2875,52,-0.0043166498,52,-0.005493745899999999
478.0625,53,5.7071074e-06,53,-0.0012478888
501.8375,54,0.0045716257,54,0.0032723170000000003
525.6125,55,0.0094248101,55,0.0080862323
549.3875,56,0.014595223000000001,56,0.013220283999999999
573.1625,57,0.020122195,57,0.018746415
596.9375,58,0.026049658,58,0.024673542000000003
620.7125,59,0.032387275,59,0.031023161
644.4875,60,0.039222182,60,0.037798469
668.2625,61,0.046485309,61,0.044980702000000004
692.0375,62,0.05378554,62,0.052356154
715.8125,63,0.060664511,63,0.059590752999999996
739.5875,64,0.068772887,64,0.068439116
763.3625,65,0.075959608,65,0.076990669
787.1375,66,0.08286631700000001,66,0.085820807
810.9125,67,0.09013952,67,0.09530316800000001
834.6875,68,0.096079264,68,0.10343736
858.4625,69,0.10267507,69,0.11203852
882.2375,70,0.11039426,70,0.12165469
906.0125,71,0.11911247,71,0.13229639
929.7875,72,0.12878422,72,0.14382738
953.5625,73,0.13958242,73,0.15644864
977.3375,74,0.15186837,74,0.17058019
1001.1125,75,0.1671709,75,0.18694537
