,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.873901999999998,0.0,-25.873901999999998,-25.604017000000002,-5.373785099999999e-08,-25.604017000000002
0.0006244,2,-25.873907,1.6645434e-06,-25.873905,-25.604021,1.1251276000000002e-06,-25.604020000000002
0.0008759,3,-25.873909,2.428391e-06,-25.873905999999998,-25.604022,1.6655696e-06,-25.604021
0.0012286,4,-25.873912,3.7696492e-06,-25.873908,-25.604025,2.6147710999999997e-06,-25.604022
0.0017234,5,-25.873918,6.046895599999999e-06,-25.873912,-25.604029,4.2275406e-06,-25.604025
0.0024174,6,-25.873927,9.819382e-06,-25.873917000000002,-25.604035999999997,6.901772e-06,-25.604029
0.0033909,7,-25.873942,1.5956585e-05,-25.873926,-25.604048000000002,1.1254396999999999e-05,-25.604035999999997
0.0047565,8,-25.873965,2.5800549999999998e-05,-25.873939,-25.604065,1.8242065e-05,-25.604047
0.006672,9,-25.874,4.1411321e-05,-25.873959,-25.604092,2.9331013e-05,-25.604063
0.0093589,10,-25.874054,6.5935042e-05,-25.873988,-25.604134,4.6758586e-05,-25.604087
0.0131278,11,-25.874136,0.00010414034,-25.874032,-25.604197,7.394760599999999e-05,-25.604123
0.0184145,12,-25.87426,0.00016319626,-25.874097,-25.604293,0.00011606973,-25.604176000000002
0.0258302,13,-25.874446,0.00025383972,-25.874192,-25.604436,0.00018096528000000002,-25.604255
0.0362323,14,-25.874724,0.00039210907,-25.874332,-25.604649,0.00028040831,-25.604369000000002
0.0508234,15,-25.875137,0.0006029644,-25.874534,-25.604967000000002,0.0004330885,-25.604534
0.0712906,16,-25.875781,0.0009711669699999999,-25.87481,-25.605463,0.0007024123700000001,-25.60476
0.1,17,-25.876820000000002,0.0017325361999999999,-25.875088,-25.606267000000003,0.0012672911,-25.605
0.140271,18,-25.878408,0.003323353,-25.875085000000002,-25.607502,0.0024709915,-25.605031
0.19676,19,-25.88064,0.0064953266,-25.874145000000002,-25.609236,0.0049302714,-25.604306
0.275997,20,-25.883446,0.012572743,-25.870873,-25.611388,0.0097803363,-25.601608
0.3871,21,-25.886311,0.023803348999999998,-25.862507,-25.613481,0.019047027,-25.594434
0.5431,22,-25.887610000000002,0.043888298,-25.843721,-25.614098000000002,0.036239438,-25.577858
0.7617,23,-25.883706,0.077846199,-25.805858999999998,-25.610257,0.066437651,-25.543819
1.0685,24,-25.872263,0.12959607,-25.742667,-25.599970000000003,0.11484156,-25.485129
1.4988,25,-25.853665,0.19882478,-25.65484,-25.583439000000002,0.18327326,-25.400166
2.1024,26,-25.827294000000002,0.28334652,-25.543947,-25.560272,0.26913865,-25.291133
2.949,27,-25.797123000000003,0.37687738,-25.420246,-25.534447,0.36324647,-25.171201
4.1366,28,-25.770472,0.47409057,-25.296382,-25.513239000000002,0.46064688,-25.052592999999998
5.8025,29,-25.756066,0.57712255,-25.178943,-25.505527,0.56643326,-24.939094
8.1392,30,-25.768276999999998,0.69706563,-25.071210999999998,-25.526076,0.69579178,-24.830284
11.417,31,-25.839063,0.84324033,-24.995823,-25.607342000000003,0.86056348,-24.746779
16.0147,32,-26.015492000000002,0.99779604,-25.017696,-25.796004,1.0371812,-24.758823
22.464,33,-26.349474,1.1329562,-25.216518,-26.144115,1.1884591999999998,-24.955656
31.5105,34,-26.921443,1.2351968,-25.686246,-26.744103999999997,1.2981136999999998,-25.445991
44.2001,35,-27.777475,1.2897421999999998,-26.487733000000002,-27.677114000000003,1.3525053999999999,-26.324609000000002
62.0,36,-28.829890999999996,1.2813164,-27.548574,-28.870169,1.3427198,-27.527449
85.775,37,-29.746883,1.2447999,-28.502083000000002,-29.886469,1.307078,-28.579390999999998
