,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.033702665,1,-0.0085611865
0.00075015,2,-0.033397197,2,-0.0083991025
0.00105225,3,-0.032741691,3,-0.00796632
0.001476,4,-0.032066231,4,-0.0075664091
0.0020704,5,-0.031379923,5,-0.0071448996
0.00290415,6,-0.030690374,6,-0.0067294879
0.0040737,7,-0.030030022000000003,7,-0.006289210799999999
0.00571425,8,-0.029377092999999996,8,-0.005844364
0.00801545,9,-0.028753926000000003,9,-0.0053980464
0.01124335,10,-0.028175587999999998,10,-0.004934397199999999
0.01577115,11,-0.027660521,11,-0.004474796
0.02212235,12,-0.027240927999999998,12,-0.0039940799
0.03103125,13,-0.026960996,13,-0.0035233736
0.04352785,14,-0.026644607999999997,14,-0.0028948853000000004
0.061057,15,-0.023579332999999997,15,-0.00048656022
0.0856453,16,-0.015531177,16,0.0050571493
0.1201355,17,-0.0038560681,17,0.013053285
0.1685155,18,0.010467532,18,0.023024549
0.2363785,19,0.027897812999999997,19,0.035336975
0.3315485,20,0.049062633,20,0.050482137999999996
0.4651,21,0.074832304,21,0.069041456
0.6524,22,0.10272536,22,0.08922991300000001
0.9151,23,0.10948794,23,0.09665769
1.28365,24,0.093079066,24,0.088905676
1.8006,25,0.07169792700000001,25,0.075953801
2.5257,26,0.049594690999999996,26,0.059993008
3.5428,27,0.032860325,27,0.045135262
4.96955,28,0.02183366,28,0.032460839
6.97085,29,0.01483179,29,0.021950895
9.7781,30,0.010306322,30,0.013533177
13.71585,31,0.007067412800000001,31,0.0070831146999999995
19.23935,32,0.0043589271,32,0.0022258860000000003
26.98725,33,0.0017939141,33,-0.0016464268
37.8553,34,-0.0008815610000000001,34,-0.005349336
53.10005,35,-0.005210423400000001,35,-0.010466631
73.8875,36,-0.010923686,36,-0.01670217
97.6625,37,-0.015779211,37,-0.021648275
121.4375,38,-0.017891686,38,-0.023751289
145.2125,39,-0.017662148,39,-0.023653342
168.9875,40,-0.017270056000000002,40,-0.022998106
192.7625,41,-0.016435736,41,-0.021753355
216.5375,42,-0.014633453999999999,42,-0.01948249
240.3125,43,-0.011451023000000001,43,-0.016082664
264.0875,44,-0.0068008827,44,-0.011519403000000001
287.8625,45,-0.00063501843,45,-0.004398503
311.6375,46,0.0070892936,46,0.0042085582
335.4125,47,0.016313694,47,0.012451533
359.1875,48,0.026448448,48,0.021814476
382.9625,49,0.035889821,49,0.032235751
406.7375,50,0.04702062,50,0.044030993
430.5125,51,0.059379028,51,0.055485643
454.2875,52,0.07262267900000001,52,0.066905521
478.0625,53,0.086409905,53,0.080492624
501.8375,54,0.10025975,54,0.095683601
525.6125,55,0.11398842,55,0.11271188
549.3875,56,0.12711369,56,0.12772057
573.1625,57,0.13949561,57,0.1407265
596.9375,58,0.15121939,58,0.15105009
620.7125,59,0.16240193,59,0.16051977
644.4875,60,0.17378712,60,0.17142016
668.2625,61,0.18559297,61,0.1847971
692.0375,62,0.19609474,62,0.19881525
715.8125,63,0.20120594,63,0.20796551
739.5875,64,0.20629731,64,0.2190478
763.3625,65,0.19574771,65,0.21250595
787.1375,66,0.17964748,66,0.19775503
810.9125,67,0.16520264,67,0.1817868
834.6875,68,0.15112129,68,0.16632863
858.4625,69,0.14415238,69,0.15819638
882.2375,70,0.14197808,70,0.15631862
906.0125,71,0.14247581,71,0.16066034
929.7875,72,0.14543254,72,0.1667413
953.5625,73,0.15192614,73,0.17627641
977.3375,74,0.16622504,74,0.19601743
1001.1125,75,0.24614615,75,0.27343283
