,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-15.217054000000001,0.0,-15.217054000000001,-15.481657,9.026113600000001e-08,-15.481657
0.0006244,2,-15.217057,1.0404234e-06,-15.217056,-15.481658,6.8617698e-07,-15.481657
0.0008759,3,-15.217057999999998,1.4646411000000001e-06,-15.217057,-15.481659,9.3019819e-07,-15.481658
0.0012286,4,-15.21706,2.0744382e-06,-15.217057999999998,-15.481659,1.2818018000000001e-06,-15.481658
0.0017234,5,-15.217063000000001,2.9515562e-06,-15.21706,-15.48166,1.7865360000000001e-06,-15.481658
0.0024174,6,-15.217067000000002,4.2128257e-06,-15.217063000000001,-15.481662,2.5117391e-06,-15.481659
0.0033909,7,-15.217072,6.0261795e-06,-15.217066,-15.481663000000001,3.5532437999999998e-06,-15.48166
0.0047565,8,-15.21708,8.6281634e-06,-15.217070999999999,-15.481666,5.050624099999999e-06,-15.481660999999999
0.006672,9,-15.217089999999999,1.2360417e-05,-15.217078,-15.481669,7.202825e-06,-15.481662
0.0093589,10,-15.217104999999998,1.7708282e-05,-15.217087,-15.481674,1.0295188e-05,-15.481664000000002
0.0131278,11,-15.217125,2.5361846999999997e-05,-15.2171,-15.481681,1.4740527999999999e-05,-15.481666
0.0184145,12,-15.217153,3.6297667999999996e-05,-15.217117000000002,-15.481689999999999,2.1126391e-05,-15.481669
0.0258302,13,-15.217193,5.189308e-05,-15.217141,-15.481703,3.0304312e-05,-15.481672
0.0362323,14,-15.217248000000001,7.4079907e-05,-15.217173999999998,-15.481720000000001,4.348346899999999e-05,-15.481677
0.0508234,15,-15.217326000000002,0.00010576579,-15.217220000000001,-15.481744,6.254686899999999e-05,-15.481682000000001
0.0712906,16,-15.217432,0.00015466889,-15.217277,-15.481775,9.234588100000001e-05,-15.481682999999999
0.1,17,-15.217569000000001,0.00023846563999999998,-15.217329999999999,-15.481810000000001,0.00014393275,-15.481666
0.140271,18,-15.217734,0.00038586945,-15.217348999999999,-15.481839,0.00023594978,-15.481603
0.19676,19,-15.217920999999999,0.00064256179,-15.217279000000001,-15.481848999999999,0.00039915267999999994,-15.481449
0.275997,20,-15.218101,0.0010846362,-15.217017000000002,-15.481804,0.00068667448,-15.481117999999999
0.3871,21,-15.218207999999999,0.0018367253,-15.216370999999999,-15.481643,0.0011897571,-15.480453
0.5431,22,-15.21809,0.0031018422999999997,-15.214988,-15.481243,0.0020657948,-15.479176999999998
0.7617,23,-15.217476000000001,0.0051484339,-15.212328,-15.480413,0.0035461578999999997,-15.476866000000001
1.0685,24,-15.216292000000001,0.007943040699999999,-15.208348999999998,-15.479084,0.0057310512,-15.473353
1.4988,25,-15.214720000000002,0.011115363,-15.203605,-15.477357999999999,0.008537234599999999,-15.468820999999998
2.1024,26,-15.212855,0.014376656000000002,-15.198478,-15.475294,0.011904574,-15.463389999999999
2.949,27,-15.210889000000002,0.017384901,-15.193504,-15.473032,0.015659039,-15.457373
4.1366,28,-15.20892,0.020038445,-15.188882000000001,-15.470664000000001,0.019641178999999998,-15.451022
5.8025,29,-15.207002,0.022428597999999998,-15.184573,-15.468282,0.023665842000000003,-15.444616
8.1392,30,-15.205224,0.024756297000000003,-15.180468,-15.466048,0.027509062,-15.438539000000002
11.417,31,-15.20375,0.027284226,-15.176466,-15.464254,0.030969398,-15.433284
16.0147,32,-15.202884,0.03026743,-15.172617,-15.463438,0.034012066,-15.429426000000001
22.464,33,-15.203187,0.033899927,-15.169286999999999,-15.464595000000001,0.036869631,-15.427725
31.5105,34,-15.205656,0.038291544,-15.167364000000001,-15.469570999999998,0.040080753,-15.42949
44.2001,35,-15.212082,0.043392587999999996,-15.168689,-15.481757,0.044225609000000006,-15.437532000000001
