,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.033702665,,
0.000312205,,,1.0,-0.0085689385
0.00075015,2.0,-0.033397197,2.0,-0.0084059798
0.00105225,3.0,-0.032741691,3.0,-0.0079743532
0.001476,4.0,-0.032066231,4.0,-0.0075689054
0.0020704,5.0,-0.031379923,5.0,-0.0071529394
0.00290415,6.0,-0.030690374,6.0,-0.006727693199999999
0.0040737,7.0,-0.030030022000000003,7.0,-0.006296483100000001
0.00571425,8.0,-0.029377092999999996,8.0,-0.0058513121
0.00801545,9.0,-0.028753926000000003,9.0,-0.0054018584
0.01124335,10.0,-0.028175587999999998,10.0,-0.0049411721
0.01577115,11.0,-0.027660521,11.0,-0.0044737347999999994
0.02212235,12.0,-0.027240927999999998,12.0,-0.0040006145
0.03103125,13.0,-0.026960996,13.0,-0.0035171296999999997
0.04352785,14.0,-0.026644607999999997,14.0,-0.0028944231
0.061057,15.0,-0.023579332999999997,15.0,-0.0004921348200000001
0.0856453,16.0,-0.015531177,16.0,0.0050638841
0.1201355,17.0,-0.0038560681,17.0,0.013051132
0.1685155,18.0,0.010467532,18.0,0.023024853999999997
0.2363785,19.0,0.027897812999999997,19.0,0.035357227000000005
0.3315485,20.0,0.049062633,20.0,0.050510913
0.4651,21.0,0.074832304,21.0,0.06905270200000001
0.6524,22.0,0.10272536,22.0,0.08927111
0.9151,23.0,0.10948794,23.0,0.096675105
1.28365,24.0,0.093079066,24.0,0.08892105900000001
1.8006,25.0,0.07169792700000001,25.0,0.075965828
2.5257,26.0,0.049594690999999996,26.0,0.060010905
3.5428,27.0,0.032860325,27.0,0.045139437000000004
4.96955,28.0,0.02183366,28.0,0.032463961
6.97085,29.0,0.01483179,29.0,0.02194952
9.7781,30.0,0.010306322,30.0,0.013544446000000002
13.71585,31.0,0.007067412800000001,31.0,0.0070876106000000005
19.23935,32.0,0.0043589271,32.0,0.0022288226000000003
26.98725,33.0,0.0017939141,33.0,-0.0016414742999999999
37.8553,34.0,-0.0008815610000000001,34.0,-0.005343410799999999
53.10005,35.0,-0.005210423400000001,35.0,-0.010468718
73.8875,36.0,-0.010923686,36.0,-0.016705147
97.6625,37.0,-0.015779211,37.0,-0.021645698999999997
121.4375,38.0,-0.017891686,38.0,-0.023755916000000002
145.2125,39.0,-0.017662148,39.0,-0.023658081
168.9875,40.0,-0.017270056000000002,40.0,-0.022998219
192.7625,41.0,-0.016435736,41.0,-0.021758216
216.5375,42.0,-0.014633453999999999,42.0,-0.019487455
240.3125,43.0,-0.011451023000000001,43.0,-0.016087715
264.0875,44.0,-0.0068008827,44.0,-0.011524712
287.8625,45.0,-0.00063501843,45.0,-0.0044048675
311.6375,46.0,0.0070892936,46.0,0.0041958427
335.4125,47.0,0.016313694,47.0,0.01248925
359.1875,48.0,0.026448448,48.0,0.021796305
382.9625,49.0,0.035889821,49.0,0.032223489
406.7375,50.0,0.04702062,50.0,0.044014088
430.5125,51.0,0.059379028,51.0,0.055432789
454.2875,52.0,0.07262267900000001,52.0,0.067046053
478.0625,53.0,0.086409905,53.0,0.080351607
501.8375,54.0,0.10025975,54.0,0.09597670900000001
525.6125,55.0,0.11398842,55.0,0.11254298
549.3875,56.0,0.12711369,56.0,0.12790899
573.1625,57.0,0.13949561,57.0,0.14064015
596.9375,58.0,0.15121939,58.0,0.15102262
620.7125,59.0,0.16240193,59.0,0.16049768
644.4875,60.0,0.17378712,60.0,0.1713987
668.2625,61.0,0.18559297,61.0,0.18476881
692.0375,62.0,0.19609474,62.0,0.19871306
715.8125,63.0,0.20120594,63.0,0.2082216
739.5875,64.0,0.20629731,64.0,0.21892765
763.3625,65.0,0.19574771,65.0,0.21245246
787.1375,66.0,0.17964748,66.0,0.1975323
810.9125,67.0,0.16520264,67.0,0.18230304
834.6875,68.0,0.15112129,68.0,0.16607079
858.4625,69.0,0.14415238,69.0,0.15786349
882.2375,70.0,0.14197808,70.0,0.15705203
906.0125,71.0,0.14247581,71.0,0.16030274
929.7875,72.0,0.14543254,72.0,0.16635712
953.5625,73.0,0.15192614,73.0,0.17715667
977.3375,74.0,0.16622504,74.0,0.19564138
1001.1125,75.0,0.24614615,75.0,0.27337856
