,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-15.217054000000001,0.0,-15.217054000000001,,,
1e-08,1,,,,-15.481725,9.0444744e-08,-15.481725
0.0006244,2,-15.217057,1.0404234e-06,-15.217056,-15.481727,6.865196400000001e-07,-15.481726
0.0008759,3,-15.217057999999998,1.4646411000000001e-06,-15.217057,-15.481727,9.3061541e-07,-15.481726
0.0012286,4,-15.21706,2.0744382e-06,-15.217057999999998,-15.481728,1.2823095000000001e-06,-15.481727
0.0017234,5,-15.217063000000001,2.9515562e-06,-15.21706,-15.481729000000001,1.787319e-06,-15.481727
0.0024174,6,-15.217067000000002,4.2128257e-06,-15.217063000000001,-15.481729999999999,2.5126920000000003e-06,-15.481728
0.0033909,7,-15.217072,6.0261795e-06,-15.217066,-15.481732000000001,3.5549863999999996e-06,-15.481728
0.0047565,8,-15.21708,8.6281634e-06,-15.217070999999999,-15.481734,5.052719e-06,-15.481729000000001
0.006672,9,-15.217089999999999,1.2360417e-05,-15.217078,-15.481738,7.205490900000001e-06,-15.481731
0.0093589,10,-15.217104999999998,1.7708282e-05,-15.217087,-15.481743,1.0299143999999998e-05,-15.481732000000001
0.0131278,11,-15.217125,2.5361846999999997e-05,-15.2171,-15.481748999999999,1.4745646999999998e-05,-15.481735
0.0184145,12,-15.217153,3.6297667999999996e-05,-15.217117000000002,-15.481759,2.1135576000000002e-05,-15.481736999999999
0.0258302,13,-15.217193,5.189308e-05,-15.217141,-15.481770999999998,3.0315877e-05,-15.481741
0.0362323,14,-15.217248000000001,7.4079907e-05,-15.217173999999998,-15.481789000000001,4.3506248e-05,-15.481745000000002
0.0508234,15,-15.217326000000002,0.00010576579,-15.217220000000001,-15.481813,6.258033000000001e-05,-15.48175
0.0712906,16,-15.217432,0.00015466889,-15.217277,-15.481844,9.2387103e-05,-15.481751999999998
0.1,17,-15.217569000000001,0.00023846563999999998,-15.217329999999999,-15.481878,0.00014400583000000002,-15.481734
0.140271,18,-15.217734,0.00038586945,-15.217348999999999,-15.481907999999999,0.00023604639999999998,-15.481672
0.19676,19,-15.217920999999999,0.00064256179,-15.217279000000001,-15.481917000000001,0.00039929079,-15.481518
0.275997,20,-15.218101,0.0010846362,-15.217017000000002,-15.481873,0.00068696413,-15.481186
0.3871,21,-15.218207999999999,0.0018367253,-15.216370999999999,-15.481712,0.0011903139,-15.480521
0.5431,22,-15.21809,0.0031018422999999997,-15.214988,-15.481311999999999,0.0020665618,-15.479245
0.7617,23,-15.217476000000001,0.0051484339,-15.212328,-15.480481,0.0035475988,-15.476932999999999
1.0685,24,-15.216292000000001,0.007943040699999999,-15.208348999999998,-15.479152,0.0057329869,-15.473419
1.4988,25,-15.214720000000002,0.011115363,-15.203605,-15.477426000000001,0.0085397832,-15.468886
2.1024,26,-15.212855,0.014376656000000002,-15.198478,-15.475361999999999,0.011907812,-15.463454
2.949,27,-15.210889000000002,0.017384901,-15.193504,-15.473099,0.015663449,-15.457435
4.1366,28,-15.20892,0.020038445,-15.188882000000001,-15.470730999999999,0.01964615,-15.451084
5.8025,29,-15.207002,0.022428597999999998,-15.184573,-15.468349,0.023671374,-15.444676999999999
8.1392,30,-15.205224,0.024756297000000003,-15.180468,-15.466116,0.027514661,-15.438601
11.417,31,-15.20375,0.027284226,-15.176466,-15.464319,0.03097732,-15.433342000000001
16.0147,32,-15.202884,0.03026743,-15.172617,-15.463501999999998,0.034021098,-15.429481
22.464,33,-15.203187,0.033899927,-15.169286999999999,-15.464657999999998,0.036879643,-15.427778
31.5105,34,-15.205656,0.038291544,-15.167364000000001,-15.469631,0.040093348,-15.429537
44.2001,35,-15.212082,0.043392587999999996,-15.168689,-15.481813,0.04424254,-15.437570000000001
