,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-13.104923,0.0,-13.104923,-13.078203,9.028962599999998e-08,-13.078203
0.0006244,2,-13.104936,3.7388192000000003e-06,-13.104932000000002,-13.07821,2.4640310999999998e-06,-13.078207
0.0008759,3,-13.104941,5.263017200000001e-06,-13.104936,-13.078211999999999,3.4326734e-06,-13.078209
0.0012286,4,-13.104948,7.4532462e-06,-13.104941,-13.078216000000001,4.8257317999999995e-06,-13.078211
0.0017234,5,-13.104958,1.0602244e-05,-13.104947,-13.078221000000001,6.8274767e-06,-13.078215
0.0024174,6,-13.104972,1.512738e-05,-13.104957,-13.078228999999999,9.705018e-06,-13.078219
0.0033909,7,-13.104991,2.1626298e-05,-13.104969,-13.078239,1.3838918000000002e-05,-13.078225
0.0047565,8,-13.105017,3.0947992e-05,-13.104986,-13.078253,1.9782166999999998e-05,-13.078233
0.006672,9,-13.105053999999999,4.4307987e-05,-13.10501,-13.078272,2.8323265e-05,-13.078244
0.0093589,10,-13.105106,6.3434044e-05,-13.105042999999998,-13.078299000000001,4.059178e-05,-13.078259
0.0131278,11,-13.105178,9.077766799999999e-05,-13.105087,-13.078337,5.8219071999999996e-05,-13.078278
0.0184145,12,-13.105279,0.00012979828000000003,-13.105149,-13.078389,8.3525144e-05,-13.078305
0.0258302,13,-13.105419,0.00018535828000000002,-13.105234,-13.078461,0.00011986667,-13.078341
0.0362323,14,-13.105617,0.00026426153,-13.105352,-13.078561,0.00017199731,-13.078389
0.0508234,15,-13.105894000000001,0.00037668605,-13.105516999999999,-13.0787,0.00024728905,-13.078452
0.0712906,16,-13.106271000000001,0.00054956408,-13.105721,-13.078883,0.00036459580999999996,-13.078519
0.1,17,-13.106753999999999,0.0008441219599999999,-13.10591,-13.079106,0.00056657109,-13.078539
0.140271,18,-13.107337,0.0013586841,-13.105979,-13.079345,0.00092435752,-13.078421
0.19676,19,-13.107991,0.0022469614,-13.105744,-13.079555000000001,0.00155366,-13.078002
0.275997,20,-13.108620000000002,0.0037606913,-13.104859,-13.079632,0.0026512598,-13.076981
0.3871,21,-13.108997,0.0063045627,-13.102692999999999,-13.079362,0.0045488899,-13.074813
0.5431,22,-13.108621,0.010523992,-13.098097000000001,-13.078327,0.0078041435,-13.070523
0.7617,23,-13.106588,0.017243144,-13.089345,-13.075853,0.013203488999999999,-13.062649
1.0685,24,-13.102652,0.026273937,-13.076378,-13.071723,0.021000533999999998,-13.050722
1.4988,25,-13.097397,0.036327634,-13.061069,-13.066307,0.030711704,-13.035594999999999
2.1024,26,-13.0911,0.046366038,-13.044734,-13.059804,0.041829917,-13.017975
2.949,27,-13.084363,0.055171447,-13.029191,-13.052676,0.053324514,-12.999352
4.1366,28,-13.077452000000001,0.062335267,-13.015117,-13.045161,0.064176883,-12.980984
5.8025,29,-13.070456,0.068101345,-13.002355,-13.037405999999999,0.073389384,-12.964017
8.1392,30,-13.063503,0.07308177,-12.990421000000001,-13.029627,0.080235766,-12.949392
11.417,31,-13.056825,0.07811091,-12.978714,-13.022229,0.084733444,-12.937495
16.0147,32,-13.050892,0.08403162800000001,-12.96686,-13.015953999999999,0.088123715,-12.92783
22.464,33,-13.046622,0.09150767,-12.955114,-13.012262,0.092519596,-12.919742
31.5105,34,-13.045684,0.10090248,-12.944780999999999,-13.013958,0.10010293,-12.913855
44.2001,35,-13.050899000000001,0.1119816,-12.938917,-13.026325,0.11179768,-12.914528
62.0,36,-13.07305,0.12075347,-12.952296,-13.064092,0.12407419,-12.940017999999998
85.775,37,-13.132994,0.12379907,-13.009195,-13.151622,0.13221022,-13.019411999999999
109.55,38,-13.22535,0.1270527,-13.098298,-13.274723000000002,0.13885842,-13.135864000000002
