,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.12050245,,
0.000312205,,,1.0,-0.058708259000000006
0.00075015,2.0,-0.11935591,2.0,-0.05798911599999999
0.00105225,3.0,-0.11689069,3.0,-0.056382645999999995
0.001476,4.0,-0.11436728,4.0,-0.054772364000000004
0.0020704,5.0,-0.11182337,5.0,-0.053123508
0.00290415,6.0,-0.10929402,6.0,-0.051442098
0.0040737,7.0,-0.10684238,7.0,-0.04974143599999999
0.00571425,8.0,-0.1044494,8.0,-0.04799451
0.00801545,9.0,-0.1021829,9.0,-0.046239679000000006
0.01124335,10.0,-0.10009964,10.0,-0.044452233
0.01577115,11.0,-0.09830144699999999,11.0,-0.042653385
0.02212235,12.0,-0.096895267,12.0,-0.040857613
0.03103125,13.0,-0.096064618,13.0,-0.039053527000000005
0.04352785,14.0,-0.09518649900000001,14.0,-0.036732561000000004
0.061057,15.0,-0.084305928,15.0,-0.027456836000000002
0.0856453,16.0,-0.055524093,16.0,-0.0059370252
0.1201355,17.0,-0.014389798999999998,17.0,0.024752849
0.1685155,18.0,0.035144747999999996,18.0,0.06262263
0.2363785,19.0,0.094252201,19.0,0.10883629
0.3315485,20.0,0.16460975,20.0,0.16484759
0.4651,21.0,0.248696,21.0,0.23228061
0.6524,22.0,0.33796471,22.0,0.30427951
0.9151,23.0,0.35681518,23.0,0.32834341
1.28365,24.0,0.30033237,24.0,0.29688704
1.8006,25.0,0.2284548,25.0,0.24652935
2.5257,26.0,0.15498778,26.0,0.18577793
3.5428,27.0,0.10004628,27.0,0.13057108
4.96955,28.0,0.06467106,28.0,0.08597699
6.97085,29.0,0.043114747,29.0,0.052811795
9.7781,30.0,0.030149637000000003,30.0,0.03066903
13.71585,31.0,0.021765255,31.0,0.017759751
19.23935,32.0,0.015374872,32.0,0.010600196999999999
26.98725,33.0,0.0096426037,33.0,0.0055174994
37.8553,34.0,0.0039011464,34.0,-0.00041949695999999996
53.10005,35.0,-0.0063452237,35.0,-0.012089595
73.8875,36.0,-0.020203412,36.0,-0.028195211
97.6625,37.0,-0.031637833,37.0,-0.041331978
121.4375,38.0,-0.035659581,38.0,-0.04617528
145.2125,39.0,-0.033614688999999996,39.0,-0.04459341
168.9875,40.0,-0.032045715,40.0,-0.042521289000000004
192.7625,41.0,-0.029953857999999996,41.0,-0.039667765
216.5375,42.0,-0.026726281,42.0,-0.035616855
240.3125,43.0,-0.022002922,43.0,-0.030315877
264.0875,44.0,-0.015741282,44.0,-0.023883171
287.8625,45.0,-0.007945798399999999,45.0,-0.015089531000000002
311.6375,46.0,0.0013231769,46.0,-0.0049701573
335.4125,47.0,0.011841575,47.0,0.0047068049
359.1875,48.0,0.022894743999999998,48.0,0.015076458000000001
382.9625,49.0,0.03300037,49.0,0.026242944
406.7375,50.0,0.04439735,50.0,0.038480719
430.5125,51.0,0.056614367,51.0,0.050231433
454.2875,52.0,0.069314874,52.0,0.061954023
478.0625,53.0,0.082176561,53.0,0.074875783
501.8375,54.0,0.09478544400000001,54.0,0.089585585
525.6125,55.0,0.1070091,55.0,0.10483069
549.3875,56.0,0.1184782,56.0,0.11893559
573.1625,57.0,0.12915734,57.0,0.13072881
596.9375,58.0,0.13923158,58.0,0.14053548
620.7125,59.0,0.14894485,59.0,0.14965968
644.4875,60.0,0.15910646,60.0,0.1601497
668.2625,61.0,0.16994203,61.0,0.17281337
692.0375,62.0,0.17951011,62.0,0.18553522
715.8125,63.0,0.18318977,63.0,0.19299646
739.5875,64.0,0.18414625,64.0,0.19884474
763.3625,65.0,0.17043279,65.0,0.18849427
787.1375,66.0,0.15253086,66.0,0.17132984
810.9125,67.0,0.13763235,67.0,0.15547682
834.6875,68.0,0.125329,68.0,0.14098894
858.4625,69.0,0.12021267,69.0,0.13443814
882.2375,70.0,0.11940728,70.0,0.13455635
906.0125,71.0,0.12087098,71.0,0.13809851
929.7875,72.0,0.12456874,72.0,0.14409774
953.5625,73.0,0.13178692,73.0,0.15487229
977.3375,74.0,0.14715352,74.0,0.17377163
1001.1125,75.0,0.2298296,75.0,0.25336341
