,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-13.104923,0.0,-13.104923,,,
1e-08,1,,,,-13.07735,9.047324500000001e-08,-13.07735
0.0006244,2,-13.104936,3.7388192000000003e-06,-13.104932000000002,-13.077356,2.4660519e-06,-13.077354
0.0008759,3,-13.104941,5.263017200000001e-06,-13.104936,-13.077359,3.4354739e-06,-13.077356
0.0012286,4,-13.104948,7.4532462e-06,-13.104941,-13.077363,4.8296057e-06,-13.077358
0.0017234,5,-13.104958,1.0602244e-05,-13.104947,-13.077368,6.8333931e-06,-13.077361
0.0024174,6,-13.104972,1.512738e-05,-13.104957,-13.077375,9.7131352e-06,-13.077366
0.0033909,7,-13.104991,2.1626298e-05,-13.104969,-13.077385000000001,1.3852136000000001e-05,-13.077371000000001
0.0047565,8,-13.105017,3.0947992e-05,-13.104986,-13.077399,1.9799930999999998e-05,-13.07738
0.006672,9,-13.105053999999999,4.4307987e-05,-13.10501,-13.077419,2.8347624999999998e-05,-13.07739
0.0093589,10,-13.105106,6.3434044e-05,-13.105042999999998,-13.077446,4.0627428e-05,-13.077405
0.0131278,11,-13.105178,9.077766799999999e-05,-13.105087,-13.077483,5.8268298999999996e-05,-13.077425
0.0184145,12,-13.105279,0.00012979828000000003,-13.105149,-13.077535000000001,8.3603181e-05,-13.077452000000001
0.0258302,13,-13.105419,0.00018535828000000002,-13.105234,-13.077608,0.00011997261,-13.077488
0.0362323,14,-13.105617,0.00026426153,-13.105352,-13.077708,0.00017217377,-13.077536
0.0508234,15,-13.105894000000001,0.00037668605,-13.105516999999999,-13.077847,0.00024754567000000004,-13.077599000000001
0.0712906,16,-13.106271000000001,0.00054956408,-13.105721,-13.078031,0.00036494175,-13.077666
0.1,17,-13.106753999999999,0.0008441219599999999,-13.10591,-13.078253,0.00056714285,-13.077686
0.140271,18,-13.107337,0.0013586841,-13.105979,-13.078493,0.0009251988699999999,-13.077568
0.19676,19,-13.107991,0.0022469614,-13.105744,-13.078704,0.0015549725,-13.077149
0.275997,20,-13.108620000000002,0.0037606913,-13.104859,-13.078781,0.0026536917,-13.076127
0.3871,21,-13.108997,0.0063045627,-13.102692999999999,-13.078511,0.0045532511,-13.073957
0.5431,22,-13.108621,0.010523992,-13.098097000000001,-13.077475,0.0078108184999999995,-13.069664999999999
0.7617,23,-13.106588,0.017243144,-13.089345,-13.075,0.01321512,-13.061784
1.0685,24,-13.102652,0.026273937,-13.076378,-13.070867999999999,0.021017254,-13.04985
1.4988,25,-13.097397,0.036327634,-13.061069,-13.06545,0.030734202999999998,-13.034716
2.1024,26,-13.0911,0.046366038,-13.044734,-13.058945,0.041858021,-13.017087
2.949,27,-13.084363,0.055171447,-13.029191,-13.051813000000001,0.053358525,-12.998453999999999
4.1366,28,-13.077452000000001,0.062335267,-13.015117,-13.044296000000001,0.064212116,-12.980084
5.8025,29,-13.070456,0.068101345,-13.002355,-13.036539,0.073423378,-12.963115
8.1392,30,-13.063503,0.07308177,-12.990421000000001,-13.028761,0.080265154,-12.948496
11.417,31,-13.056825,0.07811091,-12.978714,-13.021353,0.084767155,-12.936586
16.0147,32,-13.050892,0.08403162800000001,-12.96686,-13.015072,0.08815917300000001,-12.926913
22.464,33,-13.046622,0.09150767,-12.955114,-13.011374,0.092560589,-12.918814
31.5105,34,-13.045684,0.10090248,-12.944780999999999,-13.013059,0.10015817,-12.9129
44.2001,35,-13.050899000000001,0.1119816,-12.938917,-13.025403,0.11187239,-12.913530999999999
62.0,36,-13.07305,0.12075347,-12.952296,-13.063169,0.12414446,-12.939025
85.775,37,-13.132994,0.12379907,-13.009195,-13.150717000000002,0.13227681,-13.01844
