,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.1935203,1,-0.13987261
0.00075015,2,-0.19165419,2,-0.13863052
0.00105225,3,-0.18754864,3,-0.13587213
0.001476,4,-0.18341597,4,-0.13312003
0.0020704,5,-0.17932003,5,-0.13025071
0.00290415,6,-0.17530651,6,-0.1274257
0.0040737,7,-0.17148141,7,-0.12446985
0.00571425,8,-0.1678627,8,-0.12151734
0.00801545,9,-0.16462354,9,-0.11860698
0.01124335,10,-0.16190541,10,-0.11564961
0.01577115,11,-0.15992767,11,-0.11281327
0.02212235,12,-0.15901546,12,-0.10997845
0.03103125,13,-0.1596248,13,-0.10740792
0.04352785,14,-0.1609363,14,-0.10400477
0.061057,15,-0.14635412,15,-0.08876712
0.0856453,16,-0.10288005,16,-0.052740184
0.1201355,17,-0.04048126,17,-0.0011988953999999999
0.1685155,18,0.033526589,18,0.061906663
0.2363785,19,0.120483,19,0.13822181
0.3315485,20,0.2227298,20,0.23006705
0.4651,21,0.34466123,21,0.33992232
0.6524,22,0.47446102,22,0.45527459
0.9151,23,0.49182179,23,0.48685216
1.28365,24,0.39545219,24,0.4229023
1.8006,25,0.28640669,25,0.32952509
2.5257,26,0.18424016,26,0.22481819
3.5428,27,0.11530752,27,0.13937148
4.96955,28,0.075310556,28,0.081739009
6.97085,29,0.052568055,29,0.049468387999999995
9.7781,30,0.039063793,30,0.034392786
13.71585,31,0.029855842,31,0.027668124
19.23935,32,0.022234601,32,0.022253161
26.98725,33,0.01506163,33,0.015556516999999999
37.8553,34,0.0080105926,34,0.006954363000000001
53.10005,35,-0.0047495237,35,-0.0084689385
73.8875,36,-0.021971939,36,-0.028854401000000002
97.6625,37,-0.035937894,37,-0.045195483
121.4375,38,-0.040298041,38,-0.050504012
145.2125,39,-0.036896985,39,-0.047341399000000006
168.9875,40,-0.034662875,40,-0.044488331
192.7625,41,-0.031971632,41,-0.041078968
216.5375,42,-0.028161895,42,-0.036720646
240.3125,43,-0.022890915,43,-0.031227573999999998
264.0875,44,-0.016129541,44,-0.024732336
287.8625,45,-0.007897456800000001,45,-0.015991322
311.6375,46,0.0017162351,46,-0.0059475075
335.4125,47,0.012447235,47,0.0035533619
359.1875,48,0.023558397000000002,48,0.013937535
382.9625,49,0.033630624,49,0.024971955
406.7375,50,0.044832105,50,0.037066043
430.5125,51,0.056695732,51,0.04875199400000001
454.2875,52,0.06889349,52,0.060077517999999996
478.0625,53,0.081116382,53,0.07310166400000001
501.8375,54,0.09298182199999999,54,0.08681734099999999
525.6125,55,0.10438015,55,0.10206902
549.3875,56,0.11498582,56,0.11517602
573.1625,57,0.1248039,57,0.1268407
596.9375,58,0.13405911,58,0.13624485
620.7125,59,0.14305281,59,0.14513614
644.4875,60,0.15264788,60,0.15546214
668.2625,61,0.16310434,61,0.16796283
692.0375,62,0.17237935,62,0.18042255
715.8125,63,0.17553789,63,0.18667823
739.5875,64,0.17488373,64,0.19084515
763.3625,65,0.15996674,65,0.1786771
787.1375,66,0.14146164,66,0.16066995
810.9125,67,0.12654774,67,0.14378805
834.6875,68,0.11505152,68,0.13087061
858.4625,69,0.11067884,69,0.12500162
882.2375,70,0.11033865,70,0.12417651
906.0125,71,0.11203757,71,0.12870533
929.7875,72,0.11583411,72,0.13435724
953.5625,73,0.12312513,73,0.14347711
977.3375,74,0.13876145,74,0.1637712
1001.1125,75,0.22326961,75,0.24462061
