,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-12.566028999999999,0.0,-12.566028999999999,-12.312653,9.029855900000001e-08,-12.312653
0.0006244,2,-12.566044,4.7097981e-06,-12.56604,-12.312662,3.0217957e-06,-12.312659
0.0008759,3,-12.566051,6.6297443e-06,-12.566044,-12.312664999999999,4.217751e-06,-12.312661
0.0012286,4,-12.566059,9.388394199999998e-06,-12.56605,-12.312669999999999,5.9374609999999995e-06,-12.312664
0.0017234,5,-12.566072,1.3353686e-05,-12.566058,-12.312677,8.4086636e-06,-12.312669
0.0024174,6,-12.566088,1.9045927e-05,-12.566069,-12.312687,1.1961051e-05,-12.312675
0.0033909,7,-12.566112,2.7213223e-05,-12.566085000000001,-12.3127,1.7064359e-05,-12.312683
0.0047565,8,-12.566145,3.892102e-05,-12.566106,-12.312717999999998,2.440101e-05,-12.312694
0.006672,9,-12.566189999999999,5.5683126e-05,-12.566135000000001,-12.312744,3.4944011e-05,-12.312709
0.0093589,10,-12.566253999999999,7.964919e-05,-12.566174,-12.31278,5.0086996e-05,-12.31273
0.0131278,11,-12.566343,0.00011385912,-12.566229,-12.312828999999999,7.1842402e-05,-12.312757000000001
0.0184145,12,-12.566467,0.00016258302,-12.566305,-12.312897999999999,0.00010307108,-12.312795
0.0258302,13,-12.566641,0.00023178896,-12.566409,-12.312994,0.00014791083,-12.312846
0.0362323,14,-12.566885000000001,0.00032976442,-12.566556,-12.313127,0.00021221942000000004,-12.312914
0.0508234,15,-12.56723,0.00046882907999999993,-12.566761,-12.313311,0.00030507584,-12.313006
0.0712906,16,-12.5677,0.0006818744099999999,-12.567018,-12.313556,0.00044968406,-12.313106
0.1,17,-12.568307,0.0010436878999999998,-12.567263,-12.313856,0.0006985029799999999,-12.313158
0.140271,18,-12.569046,0.0016730544000000001,-12.567373,-12.314189,0.0011389250999999999,-12.31305
0.19676,19,-12.569888,0.0027534597999999996,-12.567134,-12.314501,0.001912861,-12.312589
0.275997,20,-12.570730000000001,0.004582112199999999,-12.566148,-12.314672,0.0032611904,-12.311411
0.3871,21,-12.571313,0.007630983399999999,-12.563682,-12.314447999999999,0.0055888859999999995,-12.308859
0.5431,22,-12.571045,0.012643366000000001,-12.558401,-12.313325,0.0095744775,-12.303751
0.7617,23,-12.568837,0.020543543,-12.548293,-12.31049,0.016168848,-12.294321
1.0685,24,-12.564387,0.030980432999999998,-12.533406,-12.305684,0.025652669,-12.280032
1.4988,25,-12.558404,0.042303978,-12.5161,-12.29937,0.037378567,-12.261991
2.1024,26,-12.551205,0.053299357,-12.497905000000001,-12.291789999999999,0.05064057,-12.24115
2.949,27,-12.543489,0.062678263,-12.48081,-12.283508,0.064062523,-12.219446000000001
4.1366,28,-12.535553,0.070228495,-12.465324,-12.2748,0.076280698,-12.198519000000001
5.8025,29,-12.527472999999999,0.076469864,-12.451003,-12.26581,0.086005341,-12.179805
8.1392,30,-12.519366,0.082209545,-12.437157000000001,-12.256730000000001,0.09241354,-12.164316
11.417,31,-12.511466,0.088363266,-12.423102,-12.247926,0.095796009,-12.15213
16.0147,32,-12.504259,0.095759539,-12.408499,-12.24008,0.09814674300000001,-12.141933
22.464,33,-12.498722,0.10499611,-12.393726,-12.234604,0.10254424,-12.132060000000001
31.5105,34,-12.496614,0.11636136,-12.380253,-12.234299,0.11189013,-12.122409
44.2001,35,-12.500767999999999,0.12951368,-12.371255,-12.24463,0.12707578,-12.117554
62.0,36,-12.522989,0.13971446,-12.383274,-12.282211,0.1431354,-12.139076
85.775,37,-12.586851,0.14299404,-12.443857000000001,-12.376069000000001,0.15350609,-12.222563000000001
109.55,38,-12.687683999999999,0.14655768,-12.541126,-12.512919,0.16131297,-12.351606
