,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.037105137,,
0.000312205,,,1.0,-0.029536503999999998
0.00075015,2.0,-0.041551686000000004,2.0,-0.033121607000000004
0.00105225,3.0,-0.050100569000000005,3.0,-0.040093205
0.001476,4.0,-0.058209338,4.0,-0.046756215
0.0020704,5.0,-0.065877911,5.0,-0.053118572999999995
0.00290415,6.0,-0.073097824,6.0,-0.05917184599999999
0.0040737,7.0,-0.079859032,7.0,-0.064914175
0.00571425,8.0,-0.08614918,8.0,-0.07031804400000001
0.00801545,9.0,-0.091964428,9.0,-0.07538975099999999
0.01124335,10.0,-0.097409336,10.0,-0.080129492
0.01577115,11.0,-0.10256581,11.0,-0.08453263800000001
0.02212235,12.0,-0.10751814,12.0,-0.08861018400000001
0.03103125,13.0,-0.11243016,13.0,-0.092384546
0.04352785,14.0,-0.11638378,14.0,-0.09510629400000001
0.061057,15.0,-0.11320331,15.0,-0.09324714
0.0856453,16.0,-0.081782172,16.0,-0.070816287
0.1201355,17.0,-0.00074269113,17.0,-0.0081189451
0.1685155,18.0,0.13720301,18.0,0.1052238
0.2363785,19.0,0.34192629,19.0,0.28183938
0.3315485,20.0,0.62415994,20.0,0.53579646
0.4651,21.0,0.99774779,21.0,0.8817534
0.6524,22.0,1.433943,22.0,1.2918701000000001
0.9151,23.0,1.7069183,23.0,1.5880756
1.28365,24.0,1.6949243000000003,24.0,1.6417163000000001
1.8006,25.0,1.5280044,25.0,1.5027177999999999
2.5257,26.0,1.2154979,26.0,1.1770788
3.5428,27.0,0.86603222,27.0,0.82653951
4.96955,28.0,0.58289816,28.0,0.5606087
6.97085,29.0,0.37746952,29.0,0.37879272
9.7781,30.0,0.18102639,30.0,0.1998563
13.71585,31.0,-0.054923888,31.0,-0.039075879
19.23935,32.0,-0.27584877,32.0,-0.27529786
26.98725,33.0,-0.45472195,33.0,-0.47617854
37.8553,34.0,-0.54916494,34.0,-0.60311295
53.10005,35.0,-0.51607637,35.0,-0.58560846
73.8875,36.0,-0.34640932,36.0,-0.38174091
97.6625,37.0,-0.17322032,37.0,-0.1808351
121.4375,38.0,-0.10916883,38.0,-0.11083797
145.2125,39.0,-0.089808766,39.0,-0.09027537699999999
168.9875,40.0,-0.075864947,40.0,-0.07554498400000001
192.7625,41.0,-0.064825867,41.0,-0.063989506
216.5375,42.0,-0.054470539000000005,42.0,-0.0533502
240.3125,43.0,-0.045549864,43.0,-0.044344278
264.0875,44.0,-0.038042322999999996,44.0,-0.036868894
287.8625,45.0,-0.031864527999999996,45.0,-0.030787512000000003
311.6375,46.0,-0.026851602999999998,46.0,-0.025902551
335.4125,47.0,-0.022516126,47.0,-0.021732025
359.1875,48.0,-0.018522726,48.0,-0.017936303
382.9625,49.0,-0.014893004,49.0,-0.01451725
406.7375,50.0,-0.011553912,50.0,-0.011399388
430.5125,51.0,-0.0082633839,51.0,-0.0083400939
454.2875,52.0,-0.0049278709,52.0,-0.0052358974
478.0625,53.0,-0.0015044008,53.0,-0.0020358079
501.8375,54.0,0.0020402485,54.0,0.0013054786
525.6125,55.0,0.0057516664,55.0,0.0047862103000000005
549.3875,56.0,0.0096626006,56.0,0.0084682678
573.1625,57.0,0.013814611999999999,57.0,0.012381145
596.9375,58.0,0.01825478,58.0,0.016561088999999998
620.7125,59.0,0.023001086,59.0,0.021026916
644.4875,60.0,0.028159151,60.0,0.025845947999999997
668.2625,61.0,0.033714015,61.0,0.031051971
692.0375,62.0,0.039393391,62.0,0.036509812
715.8125,63.0,0.044914515999999995,63.0,0.042059357
739.5875,64.0,0.052116993,64.0,0.04959216599999999
763.3625,65.0,0.058640175,65.0,0.057085472000000005
787.1375,66.0,0.064890089,66.0,0.064909125
810.9125,67.0,0.071311036,67.0,0.073328488
834.6875,68.0,0.075980956,68.0,0.080034523
858.4625,69.0,0.081031694,69.0,0.087003173
882.2375,70.0,0.08705149699999999,70.0,0.094899136
906.0125,71.0,0.093970711,71.0,0.10368949
929.7875,72.0,0.10175878,72.0,0.11336882
953.5625,73.0,0.110592,73.0,0.12415377
977.3375,74.0,0.12080433,74.0,0.13632209
1001.1125,75.0,0.13387999,75.0,0.15079853
