,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-26.517507000000002,0.0,-26.517507000000002,,,
1e-08,1,,,,-26.27164,1.8651952e-06,-26.271638
0.0006244,2,-26.517511,1.6090259000000001e-06,-26.517509000000004,-26.271643,3.0012529e-06,-26.27164
0.0008759,3,-26.517513,2.3500207000000005e-06,-26.517511,-26.271645,3.5240949e-06,-26.271641
0.0012286,4,-26.517515999999997,3.6577907999999996e-06,-26.517513,-26.271646999999998,4.447532400000001e-06,-26.271643
0.0017234,5,-26.517521999999996,5.885923700000001e-06,-26.517515999999997,-26.271652000000003,6.0228156e-06,-26.271646
0.0024174,6,-26.517530999999998,9.5864059e-06,-26.517521999999996,-26.271659000000003,8.6419031e-06,-26.27165
0.0033909,7,-26.517546000000003,1.5618049e-05,-26.517529999999997,-26.27167,1.2915068000000002e-05,-26.271657
0.0047565,8,-26.517568,2.5307283e-05,-26.517543,-26.271687,1.9784941e-05,-26.271666999999997
0.006672,9,-26.517603,4.069129e-05,-26.517563,-26.271714000000003,3.070182e-05,-26.271683000000003
0.0093589,10,-26.517657,6.4882726e-05,-26.517591999999997,-26.271755,4.7879774e-05,-26.271707
0.0131278,11,-26.517738,0.0001026012,-26.517635,-26.271818,7.4701308e-05,-26.271743
0.0184145,12,-26.51786,0.00016094396,-26.517699,-26.271912,0.00011629261,-26.271796000000002
0.0258302,13,-26.518044,0.00025054288,-26.517794,-26.272053999999997,0.00018039593000000002,-26.271874
0.0362323,14,-26.518320000000003,0.00038728227999999993,-26.517932000000002,-26.272266,0.00027871313999999997,-26.271988
0.0508234,15,-26.518729999999998,0.00059587077,-26.518134000000003,-26.272582,0.00042970425,-26.272152000000002
0.0712906,16,-26.519368,0.0009602337199999998,-26.518408,-26.273073999999998,0.0006961317200000001,-26.272378000000003
0.1,17,-26.5204,0.0017138224,-26.518686,-26.273874,0.0012553275,-26.272619
0.140271,18,-26.521978000000004,0.0032880971000000003,-26.518690000000003,-26.275105,0.0024468396,-26.272658000000003
0.19676,19,-26.524196999999997,0.0064253343,-26.517771999999997,-26.276834,0.0048808424,-26.271953999999997
0.275997,20,-26.526993,0.012430914,-26.514561999999998,-26.278988000000002,0.0096799593,-26.269308000000002
0.3871,21,-26.529863,0.023515467,-26.506348,-26.281098999999998,0.018843607,-26.262256
0.5431,22,-26.531219,0.043308598,-26.48791,-26.281783,0.03582353,-26.245959999999997
0.7617,23,-26.527495000000002,0.076716079,-26.450778999999997,-26.278109000000004,0.065605537,-26.212504
1.0685,24,-26.516394000000002,0.12764972,-26.388745,-26.268134000000003,0.11335111,-26.154783
1.4988,25,-26.498277,0.19592623,-26.302351,-26.252052000000003,0.18095986,-26.071092
2.1024,26,-26.47255,0.27945278,-26.193097,-26.229526,0.26588998,-25.963635999999997
2.949,27,-26.443251,0.37205037,-26.0712,-26.204616,0.3590364,-25.845579
4.1366,28,-26.417796000000003,0.46842899,-25.949367000000002,-26.184745,0.45545499,-25.72929
5.8025,29,-26.405071000000003,0.57073176,-25.834339,-26.178938,0.5602887,-25.618648999999998
8.1392,30,-26.419915999999997,0.69005986,-25.729855999999998,-26.202535,0.68874564,-25.513789000000003
11.417,31,-26.495309999999996,0.83574239,-25.659567000000003,-26.288999,0.85281732,-25.436181
16.0147,32,-26.679385999999997,0.98990564,-25.689481,-26.486279999999997,1.0288143,-25.457465
22.464,33,-27.024953000000004,1.1247337,-25.90022,-26.847408,1.1796028,-25.667804999999998
31.5105,34,-27.614193,1.2266837,-26.38751,-27.467059999999996,1.2889181,-26.178142
44.2001,35,-28.493953,1.2809534,-27.213,-28.427862,1.3430431,-27.084819
