,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-35.01709137,0.0,-35.01709137,-35.064265999999996,4.3595939e-08,-35.064265999999996
0.0006244,2,-35.01709253,1.3287090412e-06,-35.01709127,-35.064267,1.1432212e-06,-35.064265999999996
0.0008759,3,-35.017093,1.8663784670999998e-06,-35.017091220000005,-35.064267,1.5884246000000002e-06,-35.064265
0.0012286,4,-35.01709365,2.6279242907e-06,-35.01709115,-35.064267,2.2190057999999997e-06,-35.064265
0.0017234,5,-35.01709454,3.7075133658000003e-06,-35.01709102,-35.064268,3.112699e-06,-35.064265
0.0024174,6,-35.017096890000005,5.2376049281999994e-06,-35.01709081,-35.064269,4.3788752999999995e-06,-35.064264
0.0033909,7,-35.017098610000005,7.406357472e-06,-35.01709048,-35.06427,6.1731872e-06,-35.064264
0.0047565,8,-35.017101000000004,1.0480335793000002e-05,-35.017090950000004,-35.064271000000005,8.7156844e-06,-35.064262
0.006672,9,-35.01710431,1.4836960295000001e-05,-35.01709013,-35.064273,1.2318479e-05,-35.064261
0.0093589,10,-35.01710989,2.1011416688e-05,-35.01708895,-35.064276,1.7423118e-05,-35.064258
0.0131278,11,-35.01711723,2.9761848983e-05,-35.017087010000004,-35.06428,2.4656482999999997e-05,-35.064254999999996
0.0184145,12,-35.01712702,4.214991271800001e-05,-35.01708506,-35.064285,3.490462e-05,-35.06425
0.0258302,13,-35.01714029,5.9678528840000003e-05,-35.01708065,-35.064292,4.9422073e-05,-35.064242
0.0362323,14,-35.017159160000006,8.445293577e-05,-35.01707509,-35.064301,6.998884100000001e-05,-35.064231
0.0508234,15,-35.01718564,0.00011945398447999999,-35.01706639,-35.064315,9.9142534e-05,-35.064215000000004
0.0712906,16,-35.01722114,0.00016990647558,-35.017051190000004,-35.064332,0.0001413277,-35.064190999999994
0.1,17,-35.01726565,0.00024645113660999997,-35.01701949,-35.064352,0.00020554271,-35.064146
0.140271,18,-35.01731528,0.00036611275052,-35.016949010000005,-35.064369,0.00030631554,-35.064063
0.19676,19,-35.017364740000005,0.0005526555371,-35.01681264,-35.064378000000005,0.00046431565000000003,-35.063914000000004
0.275997,20,-35.017405339999996,0.0008420643616999999,-35.01656356,-35.064366,0.00071119363,-35.063655
0.3871,21,-35.01741708,0.0012885873306999998,-35.01612847,-35.064314,0.0010953794,-35.063218
0.5431,22,-35.01736328,0.0019743792099999997,-35.015389400000004,-35.064184999999995,0.0016921384,-35.062492999999996
0.7617,23,-35.01718093,0.003019374487,-35.01416075,-35.063922,0.0026135292,-35.061308000000004
1.0685,24,-35.0167898,0.004570478655,-35.01221946,-35.063456,0.0040048651,-35.059451
1.4988,25,-35.01620054,0.00669055784,-35.00950951,-35.062792,0.0059614158,-35.05683
2.1024,26,-35.015510060000004,0.00936886702,-35.006141039999996,-35.062009,0.0085374988,-35.053472
2.949,27,-35.01479133,0.01266028527,-35.00213079,-35.061176,0.011850461000000001,-35.049326
4.1366,28,-35.01412516999999,0.01667378016,-34.99745164,-35.060383,0.016063143999999998,-35.04432
5.8025,29,-35.01364675,0.021578094,-34.99206815,-35.059776,0.021372296000000002,-35.038403
8.1392,30,-35.01355765,0.0276438987,-34.98591438,-35.059585999999996,0.028016756,-35.031569
11.417,31,-35.01420851,0.0352632128,-34.97894466,-35.060196000000005,0.036266392,-35.023928999999995
16.0147,32,-35.01623927999999,0.04490837450000001,-34.971330859999995,-35.062293,0.04636186,-35.015931
22.464,33,-35.02073471999999,0.057166364399999996,-34.96356842,-35.066992,0.058564560999999994,-35.008427000000005
31.5105,34,-35.029189360000004,0.0730018212,-34.95618691,-35.075868,0.073428726,-35.002439
