,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-35.017092,0.0,-35.017092,,,
1e-08,1,,,,-35.064029,1.7991162e-06,-35.064028
0.0006244,2,-35.017093,1.3287091e-06,-35.017091,-35.064029999999995,2.8991562000000005e-06,-35.064027
0.0008759,3,-35.017093,1.8663784999999998e-06,-35.017091,-35.064029999999995,3.3444821999999997e-06,-35.064027
0.0012286,4,-35.017094,2.6279242999999995e-06,-35.017091,-35.064031,3.9752710000000006e-06,-35.064027
0.0017234,5,-35.017095,3.7075133e-06,-35.017091,-35.064031,4.8692166e-06,-35.064026
0.0024174,6,-35.017096,5.2376049e-06,-35.017091,-35.064032,6.135827099999999e-06,-35.064026
0.0033909,7,-35.017098,7.4063575e-06,-35.017091,-35.064033,7.9306471e-06,-35.064025
0.0047565,8,-35.017101000000004,1.0480336e-05,-35.017091,-35.064034,1.0474049e-05,-35.064023999999996
0.006672,9,-35.017105,1.483696e-05,-35.01709,-35.064036,1.4077864999999999e-05,-35.064021999999994
0.0093589,10,-35.017109999999995,2.1011417e-05,-35.017089,-35.064039,1.9184395e-05,-35.06402
0.0131278,11,-35.017117,2.9761849e-05,-35.017087,-35.064043,2.6419842e-05,-35.064015999999995
0.0184145,12,-35.017127,4.2149912e-05,-35.017084999999994,-35.064048,3.6670899e-05,-35.064011
0.0258302,13,-35.017140000000005,5.9678529e-05,-35.017081,-35.064054999999996,5.1192767000000005e-05,-35.064004
0.0362323,14,-35.017159,8.4452935e-05,-35.017075,-35.064065,7.1765391e-05,-35.063992999999996
0.0508234,15,-35.017185999999995,0.00011945398000000001,-35.017066,-35.064078,0.00010092862,-35.063977
0.0712906,16,-35.017221,0.00016990647000000002,-35.017051,-35.064095,0.00014312579,-35.063952
0.1,17,-35.017265,0.00024645113,-35.017019,-35.064115,0.00020735907999999998,-35.063908000000005
0.140271,18,-35.017315,0.00036611275,-35.016949,-35.064133,0.00030816599999999996,-35.063824
0.19676,19,-35.017365000000005,0.00055265554,-35.016812,-35.064141,0.00046621107000000006,-35.063675
0.275997,20,-35.017406,0.00084206436,-35.016564,-35.06413,0.00071315918,-35.063417
0.3871,21,-35.017417,0.0012885874,-35.016129,-35.064077000000005,0.0010974655000000001,-35.062979999999996
0.5431,22,-35.017364,0.0019743792,-35.015389,-35.063947999999996,0.0016943982,-35.062253999999996
0.7617,23,-35.017179999999996,0.0030193745,-35.014161,-35.063685,0.0026160515,-35.061069
1.0685,24,-35.01679,0.0045704787,-35.012219,-35.063219000000004,0.0040078125,-35.059211
1.4988,25,-35.0162,0.0066905578,-35.00951,-35.062554,0.0059649132,-35.056589
2.1024,26,-35.01551,0.009368867,-35.006141,-35.061772,0.0085417166,-35.05323
2.949,27,-35.014790999999995,0.012660285,-35.002131,-35.060938,0.011855596999999999,-35.049083
4.1366,28,-35.014125,0.01667378,-34.997452,-35.060145,0.016069469,-35.044075
5.8025,29,-35.013646,0.021578094,-34.992067999999996,-35.059537,0.021380042999999998,-35.038157
8.1392,30,-35.013558,0.027643899,-34.985914,-35.059346000000005,0.028026232999999998,-35.03132
11.417,31,-35.014208,0.035263213,-34.978945,-35.059956,0.036277942,-35.023678000000004
16.0147,32,-35.016239,0.044908374,-34.971331,-35.062053000000006,0.046376363,-35.015677000000004
22.464,33,-35.020734000000004,0.057166364000000004,-34.963568,-35.066751000000004,0.058582536,-35.008169
31.5105,34,-35.029189,0.073001821,-34.956187,-35.075627000000004,0.07345062299999999,-35.002176
44.2001,35,-35.043769,0.09377251199999999,-34.949996,-35.090981,0.091972292,-34.999008
62.0,36,-35.068290000000005,0.12081545,-34.947475,-35.116636,0.11541786,-35.001218
