,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-23.030141840000002,0.0,-23.030141840000002,-23.050537,4.4647237e-08,-23.050537
0.0006244,2,-23.03014241,1.3611159517e-06,-23.03014112,-23.050537,1.1708341000000001e-06,-23.050535999999997
0.0008759,3,-23.03014263,1.9229048403e-06,-23.030140810000002,-23.050537,1.6366065e-06,-23.050535999999997
0.0012286,4,-23.0301429,2.7503386766999997e-06,-23.030140290000002,-23.050538,2.322819e-06,-23.050535
0.0017234,5,-23.03014322,3.9695051339e-06,-23.03013946,-23.050538,3.3322182000000004e-06,-23.050534
0.0024174,6,-23.03014359,5.7644779003e-06,-23.03013813,-23.050538,4.8163485e-06,-23.050532999999998
0.0033909,7,-23.030144989999997,8.406039455e-06,-23.030136040000002,-23.050538,6.9978877e-06,-23.050531
0.0047565,8,-23.03014537,1.2290674164000001e-05,-23.030132780000002,-23.050538,1.0202373e-05,-23.050528
0.006672,9,-23.03014567,1.7997489206e-05,-23.030127720000003,-23.050538,1.4906794999999999e-05,-23.050523000000002
0.0093589,10,-23.030145729999997,2.6376988282e-05,-23.03011894,-23.050537,2.1810007000000002e-05,-23.050515
0.0131278,11,-23.030145389999998,3.8674372815e-05,-23.03010703,-23.050535,3.1935054e-05,-23.050503
0.0184145,12,-23.03014404,5.670382396e-05,-23.03008779,-23.050532999999998,4.677737e-05,-23.050486
0.0258302,13,-23.03014206,8.310698888000001e-05,-23.0300583,-23.050528,6.8522144e-05,-23.05046
0.0362323,14,-23.030136249999998,0.00012171774178999999,-23.030014740000002,-23.050520000000002,0.0001003574,-23.050420000000003
0.0508234,15,-23.030126279999998,0.00017782631002,-23.029948760000003,-23.050507999999997,0.00014671326999999998,-23.050361
0.0712906,16,-23.0301111,0.00025853464176000006,-23.02985194,-23.050488,0.00021361845000000002,-23.050275
0.1,17,-23.0300856,0.0003740182054,-23.02971181,-23.050459,0.00030978796,-23.050148999999998
0.140271,18,-23.03004595,0.0005389144375,-23.029507369999997,-23.050414,0.0004479893700000001,-23.049966
0.19676,19,-23.0299845,0.0007738992522,-23.02921008,-23.050345999999998,0.0006465681200000001,-23.0497
0.275997,20,-23.029887849999998,0.001107879368,-23.028780440000002,-23.050245,0.00093180189,-23.049313
0.3871,21,-23.02974034,0.0015810655865,-23.02815874,-23.050093,0.0013410764000000002,-23.048752
0.5431,22,-23.02951188,0.002248374131,-23.02726358,-23.049868,0.0019274955,-23.04794
0.7617,23,-23.02920024,0.003145641486,-23.02605486,-23.049565,0.0027345358,-23.04683
1.0685,24,-23.028839500000004,0.0042787648769999995,-23.024560769999997,-23.049213,0.0037894654,-23.045423
1.4988,25,-23.02845831,0.005668161777,-23.022790290000003,-23.04884,0.0051406233,-23.043699
2.1024,26,-23.02808625,0.00735657874,-23.020729109999998,-23.048477,0.0068632501,-23.041614000000003
2.949,27,-23.027777559999997,0.00939563725,-23.01838134,-23.048182,0.0090447465,-23.039137
4.1366,28,-23.02762804,0.01185718111,-23.01577034,-23.04805,0.011786695,-23.036264000000003
5.8025,29,-23.02775343,0.014897484679999998,-23.012855830000003,-23.048196,0.015247926,-23.032948
8.1392,30,-23.028265610000002,0.018820819699999998,-23.00944502,-23.048735999999998,0.019682762,-23.029053
11.417,31,-23.02938582,0.024022869100000004,-23.00536254,-23.049888,0.025384565,-23.024503
16.0147,32,-23.03153051,0.0309843507,-23.00054648,-23.052049,0.032659223,-23.019389999999998
22.464,33,-23.0353469,0.04037517920000001,-22.994970889999998,-23.055814,0.041920217,-23.013894
31.5105,34,-23.04145888,0.05343606320000001,-22.98802241,-23.061801000000003,0.054028897,-23.007773
44.2001,35,-23.05046152,0.0720836477,-22.978378229999997,-23.070713,0.070456088,-23.000257
