,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.009795421,,
0.000312205,,,1.0,0.01118526
0.00075015,2.0,0.010701411000000001,2.0,0.011892332
0.00105225,3.0,0.012586205,3.0,0.013451293000000001
0.001476,4.0,0.014566663,4.0,0.015051517
0.0020704,5.0,0.016622275,5.0,0.016710733000000002
0.00290415,6.0,0.018753119,6.0,0.018431598
0.0040737,7.0,0.020957576000000002,7.0,0.020206403
0.00571425,8.0,0.02323121,8.0,0.022038616
0.00801545,9.0,0.025583207,9.0,0.02393357
0.01124335,10.0,0.028015138999999998,10.0,0.025894851
0.01577115,11.0,0.030517224,11.0,0.027919167
0.02212235,12.0,0.033081379,12.0,0.030007185
0.03103125,13.0,0.035696751,13.0,0.032152475
0.04352785,14.0,0.038046437999999995,14.0,0.03410411
0.061057,15.0,0.039844919,15.0,0.035644204
0.0856453,16.0,0.041380267000000005,16.0,0.036998962
0.1201355,17.0,0.042880589000000004,17.0,0.038375382
0.1685155,18.0,0.044358647,18.0,0.039779399
0.2363785,19.0,0.045801869,19.0,0.041205585
0.3315485,20.0,0.047220684000000006,20.0,0.042637957000000004
0.4651,21.0,0.048433674,21.0,0.043939148
0.6524,22.0,0.046683811,22.0,0.042874363
0.9151,23.0,0.041124443999999996,23.0,0.038719433
1.28365,24.0,0.034734323,24.0,0.033828661
1.8006,25.0,0.028815225,25.0,0.029168351000000002
2.5257,26.0,0.023412411,26.0,0.024703051
3.5428,27.0,0.018559036,27.0,0.020432452
4.96955,28.0,0.014771935,28.0,0.016810433
6.97085,29.0,0.012321297,29.0,0.014073888
9.7781,30.0,0.010514299,30.0,0.011720681
13.71585,31.0,0.0088438819,31.0,0.0093908397
19.23935,32.0,0.0072971265,32.0,0.007197308
26.98725,33.0,0.0064841803000000005,33.0,0.0057131247
37.8553,34.0,0.006416395,34.0,0.0050005394
53.10005,35.0,0.0063177042000000004,35.0,0.0045040128
73.8875,36.0,0.0060111189,36.0,0.0041164172999999995
97.6625,37.0,0.0055193051,37.0,0.0037884592999999998
121.4375,38.0,0.0047722955,38.0,0.0033445756
145.2125,39.0,0.0039152441,39.0,0.0028251936
168.9875,40.0,0.0031410073,40.0,0.0023513862
192.7625,41.0,0.0024268096,41.0,0.0019080848
216.5375,42.0,0.0017480692000000002,42.0,0.0014815192000000002
240.3125,43.0,0.0010823936999999999,43.0,0.0010663807
264.0875,44.0,0.00040965707999999996,44.0,0.00065969262
287.8625,45.0,-0.00019276677,45.0,0.00033808642999999994
311.6375,46.0,-8.868617899999999e-05,46.0,0.00059202628
335.4125,47.0,0.0010044227,47.0,0.0016373615
359.1875,48.0,0.0024453282,48.0,0.0029909495000000003
382.9625,49.0,0.0038370303999999997,49.0,0.0043403157
406.7375,50.0,0.005167318,50.0,0.0056586405
430.5125,51.0,0.0064477781999999996,51.0,0.006944578000000001
454.2875,52.0,0.0076852787,52.0,0.0081993264
478.0625,53.0,0.0088833534,53.0,0.0094222444
501.8375,54.0,0.010041894,54.0,0.010609097
525.6125,55.0,0.011158345,55.0,0.011746026000000001
549.3875,56.0,0.01222676,56.0,0.012836284
573.1625,57.0,0.013240041000000001,57.0,0.013872724
596.9375,58.0,0.014190243,58.0,0.014847641000000002
620.7125,59.0,0.015069883000000001,59.0,0.015754046
644.4875,60.0,0.015874894,60.0,0.016585093000000002
668.2625,61.0,0.016602446,61.0,0.017340333
692.0375,62.0,0.017260473000000002,62.0,0.018027466000000002
715.8125,63.0,0.01785742,63.0,0.018651879
739.5875,64.0,0.018404026,64.0,0.019222094
763.3625,65.0,0.018910816,65.0,0.019746146000000003
787.1375,66.0,0.019385081999999998,66.0,0.020229082
810.9125,67.0,0.019825575,67.0,0.020664175
834.6875,68.0,0.020209331,68.0,0.021035757999999998
858.4625,69.0,0.020474532,69.0,0.021296047999999998
882.2375,70.0,0.020528063,70.0,0.021373179
906.0125,71.0,0.020313661,71.0,0.021224875
929.7875,72.0,0.019875435,72.0,0.020887366
953.5625,73.0,0.019314376,73.0,0.02044177
977.3375,74.0,0.018708747,74.0,0.019954092
1001.1125,75.0,0.018094399,75.0,0.019456923
