,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.0018549229409999999,1,0.0066382716000000005
0.00075015,2,0.0020472899790000003,2,0.0067896719
0.00105225,3,0.00244394469,3,0.007119414399999999
0.001476,4,0.00284900585,4,0.0074460556
0.0020704,5,0.003257914893,5,0.0077779769
0.00290415,6,0.0036678441360000003,6,0.0081092403
0.0040737,7,0.0040802771781,7,0.008446604
0.00571425,8,0.0044936906708,8,0.0087856315
0.00801545,9,0.0049070856774,9,0.0091254291
0.01124335,10,0.0053224486869,10,0.0094694063
0.01577115,11,0.0057154989739,11,0.0098105541
0.02212235,12,0.006092104410300001,12,0.010156426999999999
0.03103125,13,0.006443684271700001,13,0.010501698
0.04352785,14,0.00688969185614,14,0.010949695
0.061057,15,0.0087556450165,15,0.012567426999999999
0.0856453,16,0.012771277846,16,0.015943099
0.1201355,17,0.017811979839,17,0.020192927
0.1685155,18,0.023228754388,18,0.024801125
0.2363785,19,0.029012330829999995,19,0.029761968
0.3315485,20,0.03516678668,20,0.035079317
0.4651,21,0.04169414657,21,0.040767753
0.6524,22,0.047892040030000006,22,0.0462174
0.9151,23,0.04952775592,23,0.048041037
1.28365,24,0.0464519409,24,0.046055807000000004
1.8006,25,0.041716085099999994,25,0.042576357
2.5257,26,0.035857011999999994,26,0.037897599
3.5428,27,0.0301877261,27,0.032963422
4.96955,28,0.025117663179999996,28,0.028083805
6.97085,29,0.02061584222,29,0.023204099
9.7781,30,0.016569170682,30,0.018330356000000003
13.71585,31,0.01280325932,31,0.013427743
19.23935,32,0.00913830032,32,0.0085653477
26.98725,33,0.00542526727,33,0.0038137109000000004
37.8553,34,0.0014874401999999997,34,-0.00078590328
53.10005,35,-0.0037740403499999997,35,-0.0059225253
73.8875,36,-0.010115006,36,-0.011296628999999999
97.6625,37,-0.0145792707,37,-0.014763172
121.4375,38,-0.0147515033,38,-0.014770173999999999
145.2125,39,-0.0124166839,39,-0.0127762
168.9875,40,-0.0103244173,40,-0.010835176
192.7625,41,-0.0083923145,41,-0.0089568599
216.5375,42,-0.006572125100000001,42,-0.0071362332
240.3125,43,-0.00483194309,43,-0.0053625487
264.0875,44,-0.0031625003600000002,44,-0.0036347788000000002
287.8625,45,-0.00155265001,45,-0.0019498032999999998
311.6375,46,5.893798999999971e-06,46,-0.00030387348999999996
335.4125,47,0.001519688575,47,0.0013005502
359.1875,48,0.002993718082,48,0.0028711338
382.9625,49,0.004431368410000001,49,0.00440716
406.7375,50,0.00583590341,50,0.0059103973
430.5125,51,0.0072110544,51,0.007380565699999999
454.2875,52,0.00855989868,52,0.0088215135
478.0625,53,0.00988491914,53,0.010239251999999999
501.8375,54,0.01118852564,54,0.011630081
525.6125,55,0.012473322359999999,55,0.012990963999999999
549.3875,56,0.013741227210000002,56,0.01432759
573.1625,57,0.01499459723,57,0.015645851000000002
596.9375,58,0.016234979429999997,58,0.016943277
620.7125,59,0.017458348409999998,59,0.018219715
644.4875,60,0.01865974154,60,0.019464451
668.2625,61,0.019816358729999997,61,0.020658113999999998
692.0375,62,0.0208725576,62,0.021760347000000003
715.8125,63,0.0217566411,63,0.022715261
739.5875,64,0.0224518336,64,0.023513966
763.3625,65,0.023034930850000003,65,0.024214277000000003
787.1375,66,0.02362095283,66,0.024907649
810.9125,67,0.024295760569999998,67,0.025656296000000002
834.6875,68,0.02508375011,68,0.026484962
858.4625,69,0.025956161400000004,69,0.027371338999999998
882.2375,70,0.026874830499999995,70,0.028285873
906.0125,71,0.027816489800000004,71,0.029211256
929.7875,72,0.0287724959,72,0.030134787000000003
953.5625,73,0.0297382063,73,0.031053971
977.3375,74,0.030720034,74,0.031970137999999995
1001.1125,75,0.031731215,75,0.032879747
