,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-37.085128680000004,0.0,-37.085128680000004,-37.140506,4.3827185e-08,-37.140506
0.0006244,2,-37.08512975,1.335744937e-06,-37.08512848,-37.140507,1.1492947e-06,-37.140506
0.0008759,3,-37.08513017,1.8767146403e-06,-37.08512839,-37.140507,1.5972167e-06,-37.140506
0.0012286,4,-37.08513076,2.6438932816999998e-06,-37.085128250000004,-37.140507,2.2324886e-06,-37.140505
0.0017234,5,-37.08513158,3.7323611093999998e-06,-37.08512803,-37.140508000000004,3.1334328e-06,-37.140505
0.0024174,6,-37.0851327,5.276287768e-06,-37.08512769,-37.140509,4.411014e-06,-37.140504
0.0033909,7,-37.08513436,7.4664154250000006e-06,-37.08512717,-37.140509,6.2227039e-06,-37.140503
0.0047565,8,-37.08513751,1.0573175178e-05,-37.08512638,-37.140511,8.79213e-06,-37.140502000000005
0.006672,9,-37.08514048000001,1.4979780081e-05,-37.08512517,-37.140512,1.2435796e-05,-37.1405
0.0093589,10,-37.085145589999996,2.1230014631e-05,-37.08512435000001,-37.140515,1.760254e-05,-37.140496999999996
0.0131278,11,-37.085151259999996,3.009481054e-05,-37.085121730000004,-37.140518,2.4929331000000004e-05,-37.140493
0.0184145,12,-37.08516108,4.2654927032e-05,-37.08511767,-37.140522,3.5316981e-05,-37.140487
0.0258302,13,-37.085173000000005,6.044101224e-05,-37.08511265999999,-37.140528,5.0044343e-05,-37.140478
0.0362323,14,-37.08518994000001,8.560031567e-05,-37.08510482,-37.140536,7.0922814e-05,-37.140465
0.0508234,15,-37.085213579999994,0.00012125913933,-37.085092689999996,-37.140546,0.00010061242000000001,-37.140446000000004
0.0712906,16,-37.08524522,0.00017355028845000001,-37.08507197,-37.14056,0.0001442924,-37.140415000000004
0.1,17,-37.08528185,0.00025377743333999996,-37.08502808000001,-37.140572999999996,0.00021150282000000003,-37.140361
0.140271,18,-37.085321730000004,0.000378263404,-37.08494346,-37.140581,0.0003162581,-37.140265
0.19676,19,-37.085357959999996,0.0005706735905,-37.08478773,-37.140578000000005,0.00047912693,-37.140099
0.275997,20,-37.08538192,0.0008667524766000001,-37.084515280000005,-37.140551,0.0007315908999999999,-37.139819
0.3871,21,-37.08537301,0.0013199404361,-37.08405273,-37.140479,0.0011215409,-37.139358
0.5431,22,-37.085293199999995,0.0020108467260000003,-37.08328248000001,-37.140327,0.0017229735999999998,-37.138604
0.7617,23,-37.08508845,0.003046896745,-37.08204215,-37.140045,0.0026378636,-37.137407
1.0685,24,-37.0847469,0.004504885785,-37.080241969999996,-37.139616,0.0039548452,-37.135661
1.4988,25,-37.08429977,0.00642513697,-37.07787417,-37.139061,0.0057476021,-37.133313
2.1024,26,-37.08376997,0.008878562170000001,-37.0748911,-37.138399,0.0081300564,-37.130269
2.949,27,-37.08322299,0.01192738486,-37.07129521,-37.137689,0.011221402,-37.126468
4.1366,28,-37.08273423999999,0.01568526475,-37.067048549999996,-37.137015000000005,0.015184887,-37.121829999999996
5.8025,29,-37.0824197,0.020327265049999998,-37.06209168,-37.136509999999994,0.020222328,-37.116288
8.1392,30,-37.08248725,0.0261011402,-37.056385799999994,-37.136417,0.02655343,-37.109864
11.417,31,-37.08330146,0.033348992200000004,-37.04995238,-37.137155,0.034409148,-37.102746
16.0147,32,-37.085489300000006,0.0425104665,-37.0429792,-37.139441999999995,0.044009472,-37.095432
22.464,33,-37.09011007,0.0541119906,-37.03599759,-37.144463,0.055575413,-37.088888
31.5105,34,-37.098908040000005,0.0687244279,-37.03018424,-37.154167,0.06936660900000001,-37.0848
44.2001,35,-37.11481873,0.0868702903,-37.02794763,-37.171696999999995,0.085715335,-37.085982
