,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.037020186000000004,1,-0.012154387
0.00075015,2,-0.036780642,2,-0.012017783999999998
0.00105225,3,-0.036237474,3,-0.011678302
0.001476,4,-0.035653291000000004,4,-0.011326006999999999
0.0020704,5,-0.035061383,5,-0.010984408999999999
0.00290415,6,-0.034478711,6,-0.010621503999999999
0.0040737,7,-0.033926927,7,-0.010267366
0.00571425,8,-0.033382065,8,-0.009891452299999999
0.00801545,9,-0.032878249,9,-0.009525811
0.01124335,10,-0.032419035,10,-0.009138665899999999
0.01577115,11,-0.032029116,11,-0.008751717800000001
0.02212235,12,-0.031740803,12,-0.008368065899999999
0.03103125,13,-0.031600111,13,-0.0079741813
0.04352785,14,-0.031621531,14,-0.0075665551000000005
0.061057,15,-0.030353687999999997,15,-0.0062405024
0.0856453,16,-0.024805393999999998,16,-0.0022112357
0.1201355,17,-0.014868518,17,0.004679805
0.1685155,18,-0.0025483052,18,0.013470711000000002
0.2363785,19,0.012299006999999999,19,0.024355885
0.3315485,20,0.03011516,20,0.037733098
0.4651,21,0.051455543,21,0.054095292999999996
0.6524,22,0.077133458,22,0.073792645
0.9151,23,0.10014563,23,0.09194318900000001
1.28365,24,0.09753204300000001,24,0.093068427
1.8006,25,0.0725871,25,0.077659957
2.5257,26,0.048479783,26,0.059789479000000006
3.5428,27,0.030763322000000003,27,0.0435133
4.96955,28,0.019153608,28,0.02975251
6.97085,29,0.012387703,29,0.018881076
9.7781,30,0.0084191888,30,0.010597511
13.71585,31,0.0053631414,31,0.0041800683
19.23935,32,0.0024979735,32,-0.00068342269
26.98725,33,0.00026158326,33,-0.0040321109
37.8553,34,-0.001605699,34,-0.0067123969
53.10005,35,-0.0041503072,35,-0.010074226
73.8875,36,-0.0075316175,36,-0.014435521000000002
97.6625,37,-0.010718781,37,-0.018628189
121.4375,38,-0.013564726000000001,38,-0.022248993999999998
145.2125,39,-0.016959859,39,-0.025809167
168.9875,40,-0.020367151,40,-0.028853812000000003
192.7625,41,-0.022016541,41,-0.030258072
216.5375,42,-0.021677542999999997,42,-0.029985012000000002
240.3125,43,-0.020867733,43,-0.029046547000000002
264.0875,44,-0.019921356,44,-0.027788791
287.8625,45,-0.018806523000000002,45,-0.026244302999999997
311.6375,46,-0.017504576,46,-0.024444452999999998
335.4125,47,-0.016012401000000002,47,-0.022389568
359.1875,48,-0.014335922,48,-0.020135075
382.9625,49,-0.01248827,49,-0.017685877
406.7375,50,-0.010490059,50,-0.015075467
430.5125,51,-0.0083863734,51,-0.012348445
454.2875,52,-0.0062222577,52,-0.0095546885
478.0625,53,-0.0040255353,53,-0.0066868828
501.8375,54,-0.0017941232,54,-0.0037839118
525.6125,55,0.00049375552,55,-0.0008299942
549.3875,56,0.0028605779,56,0.0021904677
573.1625,57,0.005320907099999999,57,0.0052850208999999995
596.9375,58,0.0078839793,58,0.0084567917
620.7125,59,0.010555721,59,0.011705486000000001
644.4875,60,0.013340343999999999,60,0.01502399
668.2625,61,0.016241083,61,0.018409338
692.0375,62,0.019264509,62,0.021846594
715.8125,63,0.022417817000000003,63,0.025377821000000002
739.5875,64,0.025702997,64,0.028963895
763.3625,65,0.029111071000000002,65,0.032580515
787.1375,66,0.032604148,66,0.036225756
810.9125,67,0.036078627,67,0.039767328
834.6875,68,0.039350829,68,0.043089268
858.4625,69,0.042244492,69,0.046111506
882.2375,70,0.044737581,70,0.048752545999999994
906.0125,71,0.046983594000000004,71,0.05113299599999999
929.7875,72,0.04917528,72,0.053378071
953.5625,73,0.051448016,73,0.055546733
977.3375,74,0.053887316,74,0.057745270999999994
1001.1125,75,0.056573962,75,0.059959738
