,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.037020186000000004,,
0.000312205,,,1.0,-0.012152817
0.00075015,2.0,-0.036780642,2.0,-0.012028963
0.00105225,3.0,-0.036237474,3.0,-0.011680873
0.001476,4.0,-0.035653291000000004,4.0,-0.011335303
0.0020704,5.0,-0.035061383,5.0,-0.010985368999999998
0.00290415,6.0,-0.034478711,6.0,-0.010630259
0.0040737,7.0,-0.033926927,7.0,-0.010266463
0.00571425,8.0,-0.033382065,8.0,-0.0098997436
0.00801545,9.0,-0.032878249,9.0,-0.0095227788
0.01124335,10.0,-0.032419035,10.0,-0.0091460405
0.01577115,11.0,-0.032029116,11.0,-0.0087592329
0.02212235,12.0,-0.031740803,12.0,-0.0083728721
0.03103125,13.0,-0.031600111,13.0,-0.0079814989
0.04352785,14.0,-0.031621531,14.0,-0.007567900799999999
0.061057,15.0,-0.030353687999999997,15.0,-0.0062473311
0.0856453,16.0,-0.024805393999999998,16.0,-0.0022169499
0.1201355,17.0,-0.014868518,17.0,0.0046884563
0.1685155,18.0,-0.0025483052,18.0,0.01346939
0.2363785,19.0,0.012299006999999999,19.0,0.024357596000000002
0.3315485,20.0,0.03011516,20.0,0.037753162
0.4651,21.0,0.051455543,21.0,0.054109816
0.6524,22.0,0.077133458,22.0,0.07380906599999999
0.9151,23.0,0.10014563,23.0,0.091984279
1.28365,24.0,0.09753204300000001,24.0,0.093088945
1.8006,25.0,0.0725871,25.0,0.077675824
2.5257,26.0,0.048479783,26.0,0.05980002400000001
3.5428,27.0,0.030763322000000003,27.0,0.043524022999999995
4.96955,28.0,0.019153608,28.0,0.029754388
6.97085,29.0,0.012387703,29.0,0.018880122
9.7781,30.0,0.0084191888,30.0,0.010594636000000001
13.71585,31.0,0.0053631414,31.0,0.0041878905
19.23935,32.0,0.0024979735,32.0,-0.0006772482799999999
26.98725,33.0,0.00026158326,33.0,-0.004028113
37.8553,34.0,-0.001605699,34.0,-0.0067075824
53.10005,35.0,-0.0041503072,35.0,-0.010076648
73.8875,36.0,-0.0075316175,36.0,-0.014431262
97.6625,37.0,-0.010718781,37.0,-0.018625782
121.4375,38.0,-0.013564726000000001,38.0,-0.022247897000000003
145.2125,39.0,-0.016959859,39.0,-0.025808137000000002
168.9875,40.0,-0.020367151,40.0,-0.028859245
192.7625,41.0,-0.022016541,41.0,-0.030263871
216.5375,42.0,-0.021677542999999997,42.0,-0.029984236
240.3125,43.0,-0.020867733,43.0,-0.029052219
264.0875,44.0,-0.019921356,44.0,-0.027794298999999998
287.8625,45.0,-0.018806523000000002,45.0,-0.026249627999999997
311.6375,46.0,-0.017504576,46.0,-0.024435724
335.4125,47.0,-0.016012401000000002,47.0,-0.022394366000000002
359.1875,48.0,-0.014335922,48.0,-0.020138639
382.9625,49.0,-0.01248827,49.0,-0.01768782
406.7375,50.0,-0.010490059,50.0,-0.015079183999999999
430.5125,51.0,-0.0083863734,51.0,-0.012351773
454.2875,52.0,-0.0062222577,52.0,-0.009549289499999999
478.0625,53.0,-0.0040255353,53.0,-0.0066894099
501.8375,54.0,-0.0017941232,54.0,-0.0037860331
525.6125,55.0,0.00049375552,55.0,-0.00082831918
549.3875,56.0,0.0028605779,56.0,0.0021968821
573.1625,57.0,0.005320907099999999,57.0,0.0052925236
596.9375,58.0,0.0078839793,58.0,0.0084617446
620.7125,59.0,0.010555721,59.0,0.0117056
644.4875,60.0,0.013340343999999999,60.0,0.015024615
668.2625,61.0,0.016241083,61.0,0.018410485
692.0375,62.0,0.019264509,62.0,0.021862374
715.8125,63.0,0.022417817000000003,63.0,0.025380088
739.5875,64.0,0.025702997,64.0,0.028966763
763.3625,65.0,0.029111071000000002,65.0,0.032589063
787.1375,66.0,0.032604148,66.0,0.036229866
810.9125,67.0,0.036078627,67.0,0.039773535
834.6875,68.0,0.039350829,68.0,0.043116247999999996
858.4625,69.0,0.042244492,69.0,0.0461173
882.2375,70.0,0.044737581,70.0,0.04875876
906.0125,71.0,0.046983594000000004,71.0,0.051139567000000004
929.7875,72.0,0.04917528,72.0,0.053384974
953.5625,73.0,0.051448016,73.0,0.055580190999999994
977.3375,74.0,0.053887316,74.0,0.057769785
1001.1125,75.0,0.056573962,75.0,0.059973664
