,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.0164312491788,1,0.0016393326999999999
0.00075015,2,-0.014944142257,2,0.0023529294
0.00105225,3,-0.011700169022699998,3,0.004365217
0.001476,4,-0.0081042546658,4,0.006414195500000001
0.0020704,5,-0.0041735353830999996,5,0.0086759234
0.00290415,6,0.00011579613057,6,0.01115338
0.0040737,7,0.0047613285543900005,7,0.013849841000000002
0.00571425,8,0.0097968459114,8,0.0168167
0.00801545,9,0.0152435199104,9,0.020056098
0.01124335,10,0.021118279012,10,0.023591789
0.01577115,11,0.027436481614999998,11,0.02744416
0.02212235,12,0.03421471936,12,0.031636422000000004
0.03103125,13,0.041427531365,13,0.036176787
0.04352785,14,0.048106993879,14,0.040503367
0.061057,15,0.053251131151000004,15,0.044059703
0.0856453,16,0.057584752974,16,0.047296603
0.1201355,17,0.061845574932,17,0.050676030999999996
0.1685155,18,0.06603879555,18,0.054219484000000005
0.2363785,19,0.07018294869,19,0.057911646
0.3315485,20,0.07436795673999999,20,0.061776418
0.4651,21,0.07820642153,21,0.065401874
0.6524,22,0.07190684958999999,22,0.062472605
0.9151,23,0.053796982800000004,23,0.051484040999999994
1.28365,24,0.03609604054,24,0.039694784
1.8006,25,0.02289975069,25,0.029592196
2.5257,26,0.013581567716,26,0.020979982999999997
3.5428,27,0.007306832211999999,27,0.013741057
4.96955,28,0.0040138202000000005,28,0.008421219300000001
6.97085,29,0.0030245410529999997,29,0.0050722026
9.7781,30,0.0026149738870000004,30,0.0027274342
13.71585,31,0.0019906246200000004,31,0.00083382909
19.23935,32,0.0011308566899999998,32,-0.00061923863
26.98725,33,0.0007691519499999999,33,-0.0012147588
37.8553,34,0.00100936525,34,-0.0011392007000000002
53.10005,35,0.00110607721,35,-0.0011870198
73.8875,36,0.0009923231900000001,36,-0.0015778679
97.6625,37,0.0006640070930000002,37,-0.0022810044
121.4375,38,-0.00010499853999999988,38,-0.0033279593
145.2125,39,-0.0011534801600000001,39,-0.0045537435
168.9875,40,-0.0022174760180000003,40,-0.0057379181
192.7625,41,-0.00334339879,41,-0.0068884354
216.5375,42,-0.00457055547,42,-0.0080191406
240.3125,43,-0.00594259806,43,-0.0091320597
264.0875,44,-0.00751611221,44,-0.010232724
287.8625,45,-0.00921186288,45,-0.011222049
311.6375,46,-0.009979427780000001,46,-0.011427092
335.4125,47,-0.009183973570000002,47,-0.010480924
359.1875,48,-0.007719245150000001,48,-0.0089368101
382.9625,49,-0.006202624909999999,49,-0.007231413199999999
406.7375,50,-0.00463325903,50,-0.005410159
430.5125,51,-0.0029856883399999997,51,-0.0034865290000000004
454.2875,52,-0.0012479059909999998,52,-0.0014782799
478.0625,53,0.000581689073,53,0.00062694103
501.8375,54,0.002495468796,54,0.002790325
525.6125,55,0.004477723268,55,0.0049938251
549.3875,56,0.006502967086999999,56,0.0072163409
573.1625,57,0.008538969976999999,57,0.0094280074
596.9375,58,0.010548143809999999,58,0.011594278000000001
620.7125,59,0.0124927502,59,0.013671275
644.4875,60,0.01434208515,60,0.01565779
668.2625,61,0.01607632368,61,0.017504807
692.0375,62,0.017696003770000003,62,0.01922198
715.8125,63,0.01921361018,63,0.020817119
739.5875,64,0.02065301173,64,0.022303961
763.3625,65,0.022041061309999995,65,0.023696522999999997
787.1375,66,0.02339684824,66,0.025001677000000003
810.9125,67,0.02471142092,67,0.026195695
834.6875,68,0.02590129758,68,0.027218505
858.4625,69,0.02673956607,69,0.027897701
882.2375,70,0.02687636138,70,0.028044887999999997
906.0125,71,0.02609241713,71,0.027474982999999998
929.7875,72,0.024538607299999998,72,0.026296571
953.5625,73,0.02257417175,73,0.024805248999999998
977.3375,74,0.020474071150000002,74,0.023155055
1001.1125,75,0.01835356477,75,0.021506827000000003
