,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-8.678711199999999,0.0,-8.678711199999999,-8.6297492,9.3984774e-08,-8.6297491
0.0006244,2,-8.678713400000001,1.0111101999999999e-06,-8.6787124,-8.6297497,6.7511569e-07,-8.629749
0.0008759,3,-8.678714300000001,1.4402266e-06,-8.6787129,-8.6297499,9.2701295e-07,-8.629748900000001
0.0012286,4,-8.6787155,2.1085916e-06,-8.678713400000001,-8.629750099999999,1.3231736999999998e-06,-8.629748699999999
0.0017234,5,-8.678717,3.1500973e-06,-8.6787138,-8.629750300000001,1.9363092e-06,-8.6297484
0.0024174,6,-8.6787189,4.7707224e-06,-8.6787142,-8.6297505,2.8864524e-06,-8.6297477
0.0033909,7,-8.6787215,7.2891587e-06,-8.6787142,-8.6297507,4.3592685999999995e-06,-8.6297464
0.0047565,8,-8.6787246,1.1192299e-05,-8.678713400000001,-8.6297508,6.6409878e-06,-8.6297441
0.006672,9,-8.6787284,1.7227896e-05,-8.678711199999999,-8.6297505,1.0176306e-05,-8.6297403
0.0093589,10,-8.6787329,2.6543654999999998e-05,-8.678706300000002,-8.6297496,1.5649686999999998e-05,-8.629733900000002
0.0131278,11,-8.6787378,4.0891257e-05,-8.6786969,-8.6297475,2.4116289999999997e-05,-8.6297234
0.0184145,12,-8.6787426,6.2935446e-05,-8.6786797,-8.6297434,3.7199526999999996e-05,-8.6297062
0.0258302,13,-8.678746400000001,9.671690399999999e-05,-8.6786497,-8.6297358,5.7393622999999995e-05,-8.6296784
0.0362323,14,-8.6787469,0.00014830796000000001,-8.678598599999999,-8.629722300000001,8.8514455e-05,-8.6296338
0.0508234,15,-8.6787414,0.00022596932999999997,-8.6785155,-8.629699699999998,0.00013588908000000002,-8.629563800000001
0.0712906,16,-8.678726600000001,0.00034020305,-8.678386300000001,-8.6296636,0.00020660198,-8.629457
0.1,17,-8.6786965,0.00050599576,-8.6781905,-8.6296073,0.00031117687,-8.6292961
0.140271,18,-8.678640699999999,0.0007452058099999999,-8.6778955,-8.62952,0.00046566082000000004,-8.6290543
0.19676,19,-8.678541599999999,0.0010880172,-8.6774536,-8.6293851,0.0006936253100000001,-8.628691499999999
0.275997,20,-8.6783702,0.0015753739000000002,-8.6767948,-8.6291773,0.0010294202000000001,-8.6281479
0.3871,21,-8.678077499999999,0.0022613761,-8.675816099999999,-8.6288576,0.0015228533,-8.627334800000002
0.5431,22,-8.6775825,0.0032116143,-8.6743709,-8.6283692,0.002243133,-8.626126
0.7617,23,-8.676884199999998,0.0043753237,-8.6725089,-8.6277103,0.0032021495000000002,-8.6245082
1.0685,24,-8.676109599999998,0.0055558258,-8.6705538,-8.6269633,0.0043263696,-8.6226369
1.4988,25,-8.6753346,0.0066207853,-8.6687139,-8.6261819,0.0055685743,-8.6206134
2.1024,26,-8.6745886,0.0075121384,-8.6670765,-8.6253981,0.006900800899999999,-8.618497300000001
2.949,27,-8.6739166,0.0082020792,-8.6657145,-8.6246637,0.0082705733,-8.6163931
4.1366,28,-8.6734009,0.0087143922,-8.6646865,-8.624061,0.009601165699999999,-8.6144598
5.8025,29,-8.6731012,0.0092067361,-8.663894500000001,-8.6236552,0.010857385,-8.612797800000001
8.1392,30,-8.673010000000001,0.009952714,-8.6630573,-8.6234835,0.012089781,-8.611393699999999
11.417,31,-8.6732016,0.011159664,-8.6620419,-8.6236859,0.013351367,-8.6103346
16.0147,32,-8.6739385,0.012980666,-8.6609578,-8.6246138,0.014733447,-8.6098804
22.464,33,-8.6757469,0.015653078,-8.6600939,-8.6268637,0.016510157,-8.6103535
31.5105,34,-8.6791494,0.019879787,-8.6592696,-8.6311289,0.019473514,-8.6116554
