,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-8.678711199999999,0.0,-8.678711199999999,,,
1e-08,1,,,,-8.6296996,9.4179907e-08,-8.6296995
0.0006244,2,-8.678713400000001,1.0111101999999999e-06,-8.6787124,-8.629700099999999,6.7547656e-07,-8.6296994
0.0008759,3,-8.678714300000001,1.4402266e-06,-8.6787129,-8.629700199999998,9.274442100000001e-07,-8.6296993
0.0012286,4,-8.6787155,2.1085916e-06,-8.678713400000001,-8.6297004,1.3237147999999998e-06,-8.6296991
0.0017234,5,-8.678717,3.1500973e-06,-8.6787138,-8.629700699999999,1.9372154000000002e-06,-8.629698699999999
0.0024174,6,-8.6787189,4.7707224e-06,-8.6787142,-8.629700900000001,2.8875931000000005e-06,-8.629698
0.0033909,7,-8.6787215,7.2891587e-06,-8.6787142,-8.6297011,4.3608253e-06,-8.629696699999998
0.0047565,8,-8.6787246,1.1192299e-05,-8.678713400000001,-8.6297012,6.6441305e-06,-8.629694500000001
0.006672,9,-8.6787284,1.7227896e-05,-8.678711199999999,-8.629700900000001,1.0180989e-05,-8.6296907
0.0093589,10,-8.6787329,2.6543654999999998e-05,-8.678706300000002,-8.6297,1.5655895e-05,-8.629684300000001
0.0131278,11,-8.6787378,4.0891257e-05,-8.6786969,-8.6296979,2.4124905e-05,-8.6296738
0.0184145,12,-8.6787426,6.2935446e-05,-8.6786797,-8.6296938,3.7211865e-05,-8.629656599999999
0.0258302,13,-8.678746400000001,9.671690399999999e-05,-8.6786497,-8.6296862,5.7411693e-05,-8.6296288
0.0362323,14,-8.6787469,0.00014830796000000001,-8.678598599999999,-8.6296727,8.8541368e-05,-8.629584199999998
0.0508234,15,-8.6787414,0.00022596932999999997,-8.6785155,-8.6296501,0.00013593544,-8.6295141
0.0712906,16,-8.678726600000001,0.00034020305,-8.678386300000001,-8.6296139,0.00020667888,-8.6294073
0.1,17,-8.6786965,0.00050599576,-8.6781905,-8.6295577,0.00031128331000000004,-8.629246400000001
0.140271,18,-8.678640699999999,0.0007452058099999999,-8.6778955,-8.6294704,0.00046581085,-8.6290045
0.19676,19,-8.678541599999999,0.0010880172,-8.6774536,-8.6293355,0.0006938394500000001,-8.6286416
0.275997,20,-8.6783702,0.0015753739000000002,-8.6767948,-8.6291275,0.0010297994,-8.6280977
0.3871,21,-8.678077499999999,0.0022613761,-8.675816099999999,-8.6288077,0.0015234154,-8.627284300000001
0.5431,22,-8.6775825,0.0032116143,-8.6743709,-8.6283192,0.0022438917000000003,-8.626075300000002
0.7617,23,-8.676884199999998,0.0043753237,-8.6725089,-8.6276602,0.0032031657000000002,-8.624457099999999
1.0685,24,-8.676109599999998,0.0055558258,-8.6705538,-8.626912800000001,0.0043279456,-8.6225849
1.4988,25,-8.6753346,0.0066207853,-8.6687139,-8.6261313,0.0055705518,-8.620560699999999
2.1024,26,-8.6745886,0.0075121384,-8.6670765,-8.625347300000001,0.006903065,-8.618444300000002
2.949,27,-8.6739166,0.0082020792,-8.6657145,-8.624612800000001,0.008273165,-8.6163397
4.1366,28,-8.6734009,0.0087143922,-8.6646865,-8.624009599999999,0.0096044959,-8.614405099999999
5.8025,29,-8.6731012,0.0092067361,-8.663894500000001,-8.6236028,0.010861833999999999,-8.6127409
8.1392,30,-8.673010000000001,0.009952714,-8.6630573,-8.6234309,0.012094262,-8.6113366
11.417,31,-8.6732016,0.011159664,-8.6620419,-8.6236337,0.013355397,-8.610278300000001
16.0147,32,-8.6739385,0.012980666,-8.6609578,-8.6245611,0.014738131000000002,-8.609822900000001
22.464,33,-8.6757469,0.015653078,-8.6600939,-8.626809399999999,0.016516298999999998,-8.6102931
