,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.032297547,1,-0.0089173703
0.00075015,2,-0.032010215,2,-0.0087687833
0.00105225,3,-0.031390085,3,-0.008364636600000001
0.001476,4,-0.030751437000000003,4,-0.007994327800000001
0.0020704,5,-0.030103083,5,-0.0076041714
0.00290415,6,-0.029455053999999998,6,-0.007220470600000001
0.0040737,7,-0.028837777999999998,7,-0.006813984300000001
0.00571425,8,-0.028230325,8,-0.0064038946
0.00801545,9,-0.027650513999999998,9,-0.005993095600000001
0.01124335,10,-0.027118114,10,-0.0055672856
0.01577115,11,-0.026648657000000003,11,-0.0051469935
0.02212235,12,-0.02627237,12,-0.0047080151
0.03103125,13,-0.026033419,13,-0.0042796912
0.04352785,14,-0.025768372,14,-0.003708693
0.061057,15,-0.022984805,15,-0.0015183005
0.0856453,16,-0.015724273,16,0.0034869934000000004
0.1201355,17,-0.0053983014000000005,17,0.010620886999999999
0.1685155,18,0.0069718855,18,0.01939862
0.2363785,19,0.021665199,19,0.030087905
0.3315485,20,0.039075993999999996,20,0.043048177
0.4651,21,0.059776441,21,0.058676677999999996
0.6524,22,0.081676535,22,0.075370795
0.9151,23,0.08660525,23,0.081372797
1.28365,24,0.073344441,24,0.074840568
1.8006,25,0.056183203,25,0.06390843
2.5257,26,0.038399097,26,0.050306334
3.5428,27,0.024912652,27,0.037456513999999996
4.96955,28,0.016060546000000002,28,0.026331628
6.97085,29,0.010467569,29,0.016964298
9.7781,30,0.0068268311,30,0.0093454925
13.71585,31,0.0041244784,31,0.0033688296999999996
19.23935,32,0.0017202088,32,-0.0013025762
26.98725,33,-0.00070671769,33,-0.0052761988000000004
37.8553,34,-0.0033740093,34,-0.009345625500000001
53.10005,35,-0.0076948738,35,-0.015046403
73.8875,36,-0.013541936999999999,36,-0.022184414
97.6625,37,-0.018833137,37,-0.028287044
121.4375,38,-0.021665531000000002,38,-0.031639257000000004
145.2125,39,-0.02238637,39,-0.032881347000000005
168.9875,40,-0.023029789,40,-0.033588649
192.7625,41,-0.023397826,41,-0.03381297
216.5375,42,-0.023457035,42,-0.033612768
240.3125,43,-0.023190235,43,-0.032978868
264.0875,44,-0.022634183,44,-0.031969469
287.8625,45,-0.021810247999999997,45,-0.030616333
311.6375,46,-0.020737046999999998,46,-0.028939695
335.4125,47,-0.019430935,47,-0.02700196
359.1875,48,-0.017906556,48,-0.024788589
382.9625,49,-0.016172778999999998,49,-0.022348066
406.7375,50,-0.014237878,50,-0.019691281
430.5125,51,-0.01211497,51,-0.016838684
454.2875,52,-0.0098104265,52,-0.013817543
478.0625,53,-0.0073293891,53,-0.01059833
501.8375,54,-0.0046742036,54,-0.007245915899999999
525.6125,55,-0.0018450491000000001,55,-0.00370956
549.3875,56,0.0011583962,56,-6.2068682e-05
573.1625,57,0.0043393534999999995,57,0.0037431253999999996
596.9375,58,0.0077017796999999995,58,0.0076584135
620.7125,59,0.011239532,59,0.01168349
644.4875,60,0.014923344,60,0.015781154
668.2625,61,0.018637924,61,0.019859491
692.0375,62,0.022103101,62,0.023721797000000003
715.8125,63,0.02493154,63,0.027089627
739.5875,64,0.02698179,64,0.029909868
763.3625,65,0.028583426000000002,65,0.032365612
787.1375,66,0.030291826,66,0.034850771
810.9125,67,0.032546625,67,0.037657332
834.6875,68,0.035494102,68,0.040930792
858.4625,69,0.039010084,69,0.044546250999999995
882.2375,70,0.042912605,70,0.048387281
906.0125,71,0.047092602000000004,71,0.052408985
929.7875,72,0.051518688,72,0.056507067
953.5625,73,0.056195945,73,0.060684420999999995
977.3375,74,0.061176067,74,0.06497879299999999
1001.1125,75,0.066561298,75,0.069325814
