,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.032297547,,
0.000312205,,,1.0,-0.0089250953
0.00075015,2.0,-0.032010215,2.0,-0.0087756577
0.00105225,3.0,-0.031390085,3.0,-0.0083726364
0.001476,4.0,-0.030751437000000003,4.0,-0.0079970552
0.0020704,5.0,-0.030103083,5.0,-0.007612176899999999
0.00290415,6.0,-0.029455053999999998,6.0,-0.007219181999999999
0.0040737,7.0,-0.028837777999999998,7.0,-0.0068212213
0.00571425,8.0,-0.028230325,8.0,-0.0064108069
0.00801545,9.0,-0.027650513999999998,9.0,-0.0059970667
0.01124335,10.0,-0.027118114,10.0,-0.0055740242
0.01577115,11.0,-0.026648657000000003,11.0,-0.0051464147
0.02212235,12.0,-0.02627237,12.0,-0.004714512
0.03103125,13.0,-0.026033419,13.0,-0.0042742939
0.04352785,14.0,-0.025768372,14.0,-0.0037086659
0.061057,15.0,-0.022984805,15.0,-0.0015238344
0.0856453,16.0,-0.015724273,16.0,0.0034928978000000003
0.1201355,17.0,-0.0053983014000000005,17.0,0.010618785
0.1685155,18.0,0.0069718855,18.0,0.019398981000000003
0.2363785,19.0,0.021665199,19.0,0.030106453999999998
0.3315485,20.0,0.039075993999999996,20.0,0.043074557
0.4651,21.0,0.059776441,21.0,0.058687994
0.6524,22.0,0.081676535,22.0,0.075408763
0.9151,23.0,0.08660525,23.0,0.081390289
1.28365,24.0,0.073344441,24.0,0.074856034
1.8006,25.0,0.056183203,25.0,0.063920543
2.5257,26.0,0.038399097,26.0,0.050323133
3.5428,27.0,0.024912652,27.0,0.037460793
4.96955,28.0,0.016060546000000002,28.0,0.026334644
6.97085,29.0,0.010467569,29.0,0.016963061
9.7781,30.0,0.0068268311,30.0,0.0093555026
13.71585,31.0,0.0041244784,31.0,0.003372735
19.23935,32.0,0.0017202088,32.0,-0.0013000141
26.98725,33.0,-0.00070671769,33.0,-0.0052717038
37.8553,34.0,-0.0033740093,34.0,-0.0093401429
53.10005,35.0,-0.0076948738,35.0,-0.015048218
73.8875,36.0,-0.013541936999999999,36.0,-0.022187172
97.6625,37.0,-0.018833137,37.0,-0.02828485
121.4375,38.0,-0.021665531000000002,38.0,-0.031643879
145.2125,39.0,-0.02238637,39.0,-0.032886212000000005
168.9875,40.0,-0.023029789,40.0,-0.033589592
192.7625,41.0,-0.023397826,41.0,-0.033818207
216.5375,42.0,-0.023457035,42.0,-0.033618102000000004
240.3125,43.0,-0.023190235,43.0,-0.032984245
264.0875,44.0,-0.022634183,44.0,-0.031974832
287.8625,45.0,-0.021810247999999997,45.0,-0.030621631
311.6375,46.0,-0.020737046999999998,46.0,-0.028944879
335.4125,47.0,-0.019430935,47.0,-0.026998408999999998
359.1875,48.0,-0.017906556,48.0,-0.024793372999999997
382.9625,49.0,-0.016172778999999998,49.0,-0.022352569
406.7375,50.0,-0.014237878,50.0,-0.019695473
430.5125,51.0,-0.01211497,51.0,-0.016842535
454.2875,52.0,-0.0098104265,52.0,-0.01380613
478.0625,53.0,-0.0073293891,53.0,-0.010601362
501.8375,54.0,-0.0046742036,54.0,-0.0072254153
525.6125,55.0,-0.0018450491000000001,55.0,-0.0037115532
549.3875,56.0,0.0011583962,56.0,-5.0675838999999993e-05
573.1625,57.0,0.0043393534999999995,57.0,0.0037423568
596.9375,58.0,0.0077017796999999995,58.0,0.0076583046
620.7125,59.0,0.011239532,59.0,0.011684061
644.4875,60.0,0.014923344,60.0,0.015782418
668.2625,61.0,0.018637924,61.0,0.019861435
692.0375,62.0,0.022103101,62.0,0.023724357999999997
715.8125,63.0,0.02493154,63.0,0.027102331
739.5875,64.0,0.02698179,64.0,0.029913242000000003
763.3625,65.0,0.028583426000000002,65.0,0.032369222
787.1375,66.0,0.030291826,66.0,0.034854629
810.9125,67.0,0.032546625,67.0,0.037676435
834.6875,68.0,0.035494102,68.0,0.040935502
858.4625,69.0,0.039010084,69.0,0.044551573
882.2375,70.0,0.042912605,70.0,0.048412712000000004
906.0125,71.0,0.047092602000000004,71.0,0.052415769
929.7875,72.0,0.051518688,72.0,0.056514901
953.5625,73.0,0.056195945,73.0,0.060714167
977.3375,74.0,0.061176067,74.0,0.064988169
1001.1125,75.0,0.066561298,75.0,0.069336154
