,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-23.524379,0.0,-23.524379,,,
1e-08,1,,,,-23.302566,9.0444744e-08,-23.302566
0.0006244,2,-23.524382,9.7111831e-07,-23.524380999999998,-23.302567,6.483891e-07,-23.302566
0.0008759,3,-23.524384,1.3668548000000001e-06,-23.524382,-23.302567,8.7686686e-07,-23.302566
0.0012286,4,-23.524385000000002,1.935221e-06,-23.524384,-23.302568,1.2058957e-06,-23.302567
0.0017234,5,-23.524388000000002,2.75209e-06,-23.524385000000002,-23.302569000000002,1.6779975e-06,-23.302567
0.0024174,6,-23.524392000000002,3.9258574e-06,-23.524388000000002,-23.302570000000003,2.3556055e-06,-23.302568
0.0033909,7,-23.524397,5.611986799999999e-06,-23.524391,-23.302572,3.328573e-06,-23.302569000000002
0.0047565,8,-23.524404,8.029005099999999e-06,-23.524396,-23.302575,4.7257121e-06,-23.302570000000003
0.006672,9,-23.524414,1.1492427e-05,-23.524402,-23.302578,6.732520599999999e-06,-23.302571
0.0093589,10,-23.524428,1.6450103999999998e-05,-23.524410999999997,-23.302583,9.614452300000001e-06,-23.302573000000002
0.0131278,11,-23.524447,2.3537286e-05,-23.524423000000002,-23.302589,1.3753762999999999e-05,-23.302576000000002
0.0184145,12,-23.524473999999998,3.3651702e-05,-23.52444,-23.302599,1.9697805e-05,-23.302579
0.0258302,13,-23.524510999999997,4.8057338e-05,-23.524463,-23.302611,2.8231183999999998e-05,-23.302583
0.0362323,14,-23.524564,6.852259600000001e-05,-23.524495,-23.302629,4.0482930999999996e-05,-23.302588
0.0508234,15,-23.524637,9.7697848e-05,-23.52454,-23.302653,5.8183185e-05,-23.302595
0.0712906,16,-23.524738,0.0001425094,-23.524595,-23.302684,8.575464799999999e-05,-23.302598
0.1,17,-23.524867,0.00021858486,-23.524649,-23.30272,0.00013318934999999999,-23.302587
0.140271,18,-23.525025,0.00035082322999999995,-23.524675,-23.302753,0.00021707945,-23.302536
0.19676,19,-23.525206,0.00057808932,-23.524628,-23.302771,0.00036456453999999996,-23.302406
0.275997,20,-23.525388,0.00096387707,-23.524425,-23.302745,0.00062202379,-23.302123
0.3871,21,-23.52552,0.0016099822,-23.52391,-23.302623999999998,0.001067939,-23.301556
0.5431,22,-23.525484,0.0026786399,-23.522806,-23.302307,0.0018355257,-23.300472
0.7617,23,-23.52507,0.0043794357,-23.520691,-23.301637,0.0031179005,-23.298519
1.0685,24,-23.524226000000002,0.0066833121999999995,-23.517543,-23.30056,0.0049988996,-23.295561
1.4988,25,-23.523103,0.0092982325,-23.513804999999998,-23.299158,0.0074128566,-23.291745000000002
2.1024,26,-23.521779000000002,0.011991905,-23.509788,-23.297482000000002,0.01030811,-23.287174
2.949,27,-23.520422,0.014485037,-23.505937,-23.295656,0.013529473,-23.282127
4.1366,28,-23.519129,0.016696706999999998,-23.502432000000002,-23.293777,0.016921133999999997,-23.276856
5.8025,29,-23.517978,0.018715112,-23.499263,-23.291956,0.020296883,-23.271659
8.1392,30,-23.517094,0.020728731,-23.496365,-23.290395,0.023431856,-23.266963
11.417,31,-23.516695000000002,0.022980065,-23.493714,-23.289459,0.026129242999999996,-23.26333
16.0147,32,-23.517167999999998,0.02569978,-23.491467999999998,-23.289849,0.028355885,-23.261492999999998
22.464,33,-23.519211,0.029057051,-23.490154,-23.292842,0.03035573,-23.262486
31.5105,34,-23.524051999999998,0.033140455,-23.490910999999997,-23.300823,0.0326873,-23.268136
44.2001,35,-23.533878,0.037895162,-23.495983,-23.318147,0.035969399,-23.282176999999997
62.0,36,-23.554327,0.042119255,-23.512207999999998,-23.35373,0.039819726,-23.31391
