,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-36.248977000000004,0.0,-36.248977000000004,-36.235337,4.3844890000000005e-08,-36.235337
0.0006244,2,-36.248979999999996,2.6714887000000003e-06,-36.248977000000004,-36.235338,2.2547713e-06,-36.235336
0.0008759,3,-36.248979999999996,3.7534275e-06,-36.248977000000004,-36.235338,3.1503691000000005e-06,-36.235335
0.0012286,4,-36.248982,5.287784e-06,-36.248977000000004,-36.235339,4.4204088e-06,-36.235334
0.0017234,5,-36.248984,7.4647185999999996e-06,-36.248976,-36.235339,6.221769099999999e-06,-36.235333000000004
0.0024174,6,-36.248986,1.0552570000000001e-05,-36.248976,-36.23534,8.7763634e-06,-36.235332
0.0033909,7,-36.24899,1.4932824000000001e-05,-36.248975,-36.235341999999996,1.2399112e-05,-36.235329
0.0047565,8,-36.248995,2.114634e-05,-36.248973,-36.235343,1.7537195999999998e-05,-36.235326
0.006672,9,-36.249001,2.9959546e-05,-36.248971000000004,-36.235346,2.4823507e-05,-36.235321
0.0093589,10,-36.249010999999996,4.2445694e-05,-36.248968,-36.235349,3.5155468e-05,-36.235314
0.0131278,11,-36.249024,6.0127842e-05,-36.248964,-36.235354,4.9806521e-05,-36.235304
0.0184145,12,-36.249041999999996,8.5137221e-05,-36.248957,-36.23536,7.0577316e-05,-36.235289
0.0258302,13,-36.249067,0.00012047348,-36.248946000000004,-36.235368,0.0001000236,-36.235268
0.0362323,14,-36.249101,0.00017034332999999997,-36.248931,-36.235378999999995,0.00014176428999999999,-36.235237
0.0508234,15,-36.249148999999996,0.00024081775,-36.248908,-36.235394,0.0002011116,-36.235193
0.0712906,16,-36.249212,0.00034384843,-36.248868,-36.235411,0.00028840676,-36.235122
0.1,17,-36.249286,0.00050144223,-36.248785,-36.235423,0.0004226963099999999,-36.235001000000004
0.140271,18,-36.249367,0.0007450136999999999,-36.248622,-36.235422,0.00063194034,-36.234790000000004
0.19676,19,-36.249443,0.0011196585000000001,-36.248323,-36.23539,0.0009571273199999999,-36.234432
0.275997,20,-36.249493,0.0016927345000000002,-36.247801,-36.235299,0.0014609023000000001,-36.233838
0.3871,21,-36.249479,0.0025634614,-36.246915,-36.235104,0.0022383743,-36.232865999999994
0.5431,22,-36.249324,0.003879357,-36.245445000000004,-36.234728000000004,0.0034361101,-36.231291
0.7617,23,-36.248915999999994,0.005831793399999999,-36.243084,-36.23406,0.0052551014,-36.228804
1.0685,24,-36.248219,0.0085353831,-36.239683,-36.233051,0.0078665564,-36.225184000000006
1.4988,25,-36.247279999999996,0.012016065,-36.235264,-36.231719,0.011406152,-36.220313
2.1024,26,-36.246116,0.016346606,-36.229769,-36.230066,0.016080036000000002,-36.213986
2.949,27,-36.244801,0.021573416,-36.223227,-36.228153000000006,0.022087527000000003,-36.206065
4.1366,28,-36.243398,0.027846108999999997,-36.215552,-36.226055,0.029687611000000003,-36.196368
5.8025,29,-36.241999,0.035442947,-36.206556,-36.223902,0.039171172000000004,-36.184731
8.1392,30,-36.240792,0.044787019000000004,-36.196005,-36.221965999999995,0.050800778,-36.171165
11.417,31,-36.240155,0.056465267,-36.183690000000006,-36.220749,0.06477846799999999,-36.15597
16.0147,32,-36.240798999999996,0.071199334,-36.169599,-36.22119,0.081210488,-36.13998
22.464,33,-36.244017,0.08978844400000001,-36.154229,-36.224933,0.10017019,-36.124763
31.5105,34,-36.252086,0.11301123,-36.139074,-36.234837,0.12187641,-36.112961
44.2001,35,-36.269046,0.14144896,-36.127596999999994,-36.255787,0.14686259,-36.108924
62.0,36,-36.304293,0.17354746,-36.130746,-36.297579999999996,0.17474433,-36.122834999999995
85.775,37,-36.372228,0.20522539,-36.167002000000004,-36.372868,0.20350352,-36.169365
