,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.692053,0.0,-19.692053,-19.170454,8.919773900000001e-08,-19.170454
0.0006244,2,-19.69206,1.9203556e-06,-19.692058,-19.170458,1.1913198e-06,-19.170457
0.0008759,3,-19.692063,2.7015057999999997e-06,-19.69206,-19.170460000000002,1.640976e-06,-19.170458
0.0012286,4,-19.692067,3.8204121e-06,-19.692063,-19.170462,2.2856229999999998e-06,-19.170460000000002
0.0017234,5,-19.692072,5.425168099999999e-06,-19.692067,-19.170465,3.2104062999999998e-06,-19.170462
0.0024174,6,-19.692079999999997,7.7213621e-06,-19.692072,-19.170469,4.535732499999999e-06,-19.170465
0.0033909,7,-19.69209,1.1006617e-05,-19.692079,-19.170475,6.4369775000000005e-06,-19.170469
0.0047565,8,-19.692104,1.570162e-05,-19.692089000000003,-19.170484,9.1622215e-06,-19.170474
0.006672,9,-19.692125,2.2401755e-05,-19.692102,-19.170495000000003,1.3071492e-05,-19.170482
0.0093589,10,-19.692153,3.194761e-05,-19.692121,-19.170510999999998,1.8673742e-05,-19.170492000000003
0.0131278,11,-19.692193,4.5519745e-05,-19.692147,-19.170533,2.6708528e-05,-19.170507
0.0184145,12,-19.692248,6.476308399999999e-05,-19.692183,-19.170564000000002,3.8225663e-05,-19.170526000000002
0.0258302,13,-19.692326,9.1957061e-05,-19.692234,-19.170607999999998,5.4722254000000004e-05,-19.170552999999998
0.0362323,14,-19.692435999999997,0.00013021961999999998,-19.692306,-19.170668,7.8352991e-05,-19.17059
0.0508234,15,-19.692592,0.00018384858,-19.692408,-19.170752,0.00011221655000000001,-19.17064
0.0712906,16,-19.692811,0.00026231115000000004,-19.692548000000002,-19.170867,0.00016300345,-19.170704
0.1,17,-19.693105,0.00039138107000000004,-19.692714000000002,-19.171015,0.00024820702,-19.170767
0.140271,18,-19.693481,0.00061812942,-19.692863,-19.171192,0.00040099583,-19.170791
0.19676,19,-19.693942,0.0010113411,-19.692931,-19.171382,0.0006741976400000001,-19.170707999999998
0.275997,20,-19.694472,0.0016814271,-19.692791,-19.171551,0.0011581087,-19.170392
0.3871,21,-19.695007,0.0028031512,-19.692204,-19.171612,0.0020063707999999998,-19.169604999999997
0.5431,22,-19.695375,0.0046496827,-19.690725,-19.17139,0.0034805123,-19.16791
0.7617,23,-19.695166,0.0076276619,-19.687538,-19.170545,0.006003952,-19.164541
1.0685,24,-19.693738,0.01207643,-19.681662,-19.168615,0.010072995,-19.158542
1.4988,25,-19.691129999999998,0.01729521,-19.673835,-19.165644,0.015553211,-19.150091
2.1024,26,-19.688104,0.021961021,-19.666142999999998,-19.162195999999998,0.021655966000000002,-19.140539999999998
2.949,27,-19.685001,0.025678612000000003,-19.659322,-19.158562,0.027751393,-19.130810999999998
4.1366,28,-19.681972000000002,0.028628099,-19.653343,-19.154923,0.033230874,-19.121693
5.8025,29,-19.679157999999997,0.031266816,-19.647891,-19.151452,0.037518666,-19.113934
8.1392,30,-19.676655,0.034198149,-19.642457,-19.148303,0.040353727,-19.107948999999998
11.417,31,-19.674619,0.037919932999999996,-19.636699,-19.145737,0.041979095999999994,-19.103758
16.0147,32,-19.673589,0.04265775,-19.630931,-19.144485,0.043230052000000005,-19.101255
22.464,33,-19.674744,0.048592292,-19.626151999999998,-19.145989,0.04553668599999999,-19.100452
31.5105,34,-19.679555,0.056513419,-19.623042,-19.152374,0.05098276,-19.101391
44.2001,35,-19.690118,0.067529918,-19.622588,-19.167222,0.061413651,-19.105808
62.0,36,-19.711405,0.082146123,-19.629259,-19.198234,0.07740113700000001,-19.120832999999998
85.775,37,-19.7514,0.10035443,-19.651045,-19.256892999999998,0.09806528099999999,-19.158827
