,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.041845246,1,-0.0036313204999999997
0.00075015,2,-0.038902151,2,-0.0020765914
0.00105225,3,-0.032411083,3,0.0017718935
0.001476,4,-0.025229513,4,0.0058577402
0.0020704,5,-0.017450781999999998,5,0.010369425
0.00290415,6,-0.008976334300000001,6,0.015313446999999999
0.0040737,7,0.00019616597,7,0.020699576
0.00571425,8,0.010092377,8,0.026625332
0.00801545,9,0.020738027,9,0.033094932
0.01124335,10,0.032146453,10,0.040154182999999996
0.01577115,11,0.04432297599999999,11,0.047844002000000004
0.02212235,12,0.057265882000000004,12,0.056208462
0.03103125,13,0.07088705099999999,13,0.065258521
0.04352785,14,0.083203965,14,0.073871055
0.061057,15,0.092165535,15,0.08092998700000001
0.0856453,16,0.099180827,16,0.08732653900000001
0.1201355,17,0.10571415,17,0.09397576199999999
0.1685155,18,0.11177283,18,0.10091116
0.2363785,19,0.11745233,19,0.10809099
0.3315485,20,0.12313446,20,0.11555396
0.4651,21,0.12858357,21,0.12246764
0.6524,22,0.11534252,22,0.11621492
0.9151,23,0.08117812099999999,23,0.09382607
1.28365,24,0.050312935999999996,24,0.069892228
1.8006,25,0.029760541,25,0.049512010999999995
2.5257,26,0.017015327,26,0.032447835
3.5428,27,0.0093353497,27,0.018647159
4.96955,28,0.0058309521,28,0.0092865159
6.97085,29,0.005201953400000001,29,0.0044810811
9.7781,30,0.0048911097,30,0.0021085571
13.71585,31,0.0039862106,31,0.00076827913
19.23935,32,0.0026202585999999996,32,-2.6047342e-05
26.98725,33,0.0020456719,33,0.00020994817000000003
37.8553,34,0.0024714982,34,0.0011160025
53.10005,35,0.0027084628000000003,35,0.0014445534
73.8875,36,0.0026880308000000004,36,0.0010370428
97.6625,37,0.002392161,37,5.8558624e-05
121.4375,38,0.0014020301,38,-0.0015554572
145.2125,39,-2.3631094e-05,39,-0.0035188882
168.9875,40,-0.0014506714,40,-0.0054508323
192.7625,41,-0.0029752062,41,-0.0074058301
216.5375,42,-0.0046710432,42,-0.0094401662
240.3125,43,-0.006632821,43,-0.011583682
264.0875,44,-0.0090144918,44,-0.013866802
287.8625,45,-0.011796111000000001,45,-0.01610809
311.6375,46,-0.01317004,46,-0.016971078
335.4125,47,-0.011985218999999998,47,-0.015704406
359.1875,48,-0.009821634899999999,48,-0.013388798
382.9625,49,-0.0077222006000000004,49,-0.01086565
406.7375,50,-0.0056203917,50,-0.008196985799999999
430.5125,51,-0.0034459458,51,-0.0053888236
454.2875,52,-0.0011656083,52,-0.0024639077
478.0625,53,0.0012327045,53,0.00061651974
501.8375,54,0.0037448565,54,0.0037877118
525.6125,55,0.0063532641,55,0.0070280966
549.3875,56,0.0090236296,56,0.010303253
573.1625,57,0.011709916,57,0.013563868
596.9375,58,0.014356238,58,0.016750638999999998
620.7125,59,0.016904978,59,0.019784864
644.4875,60,0.019310253,60,0.022673625
668.2625,61,0.021545174,61,0.025326007
692.0375,62,0.023616206,62,0.027766976000000002
715.8125,63,0.025551993,63,0.030018064
739.5875,64,0.027403009,64,0.032112137
763.3625,65,0.029227827,65,0.03408232
787.1375,66,0.031075317,66,0.035947321000000004
810.9125,67,0.032949129,67,0.037670353
834.6875,68,0.034720212,68,0.039133653
858.4625,69,0.035989232,69,0.039994157999999995
882.2375,70,0.036111659,70,0.039877016
906.0125,71,0.034668819,71,0.038410345
929.7875,72,0.031923388999999996,72,0.035804835
953.5625,73,0.028514667,73,0.032641488999999996
977.3375,74,0.024907878999999997,74,0.02921671
1001.1125,75,0.021252845,75,0.025841015
