,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-6.4809711,0.0,-6.4809711,,,
1e-08,1,,,,-6.4844338,2.1438178e-06,-6.4844317
0.0006244,2,-6.4809711,7.5334861e-10,-6.4809711,-6.4844338,2.1443666e-06,-6.4844317
0.0008759,3,-6.4809711,1.0993326e-09,-6.4809711,-6.4844338,2.1447932e-06,-6.4844317
0.0012286,4,-6.4809711,1.7104625e-09,-6.4809711,-6.4844338,2.1456185e-06,-6.4844317
0.0017234,5,-6.4809711,2.7592872e-09,-6.4809711,-6.4844338,2.1467996e-06,-6.4844317
0.0024174,6,-6.4809712,4.518321e-09,-6.4809712,-6.484433900000001,2.1485127e-06,-6.4844317
0.0033909,7,-6.4809712,7.4190609e-09,-6.4809712,-6.484433900000001,2.1510697000000002e-06,-6.4844318
0.0047565,8,-6.480971299999999,1.2138169999999999e-08,-6.480971299999999,-6.484433999999999,2.1549711000000003e-06,-6.4844318
0.006672,9,-6.4809714000000005,1.9731691000000002e-08,-6.4809714000000005,-6.4844341,2.1609743999999996e-06,-6.484431900000001
0.0093589,10,-6.480971599999999,3.184167e-08,-6.480971599999999,-6.484434200000001,2.1702956e-06,-6.484432
0.0131278,11,-6.4809719,5.100957e-08,-6.4809718,-6.4844344000000005,2.1847604999999997e-06,-6.4844323
0.0184145,12,-6.4809722999999995,8.116103000000001e-08,-6.4809722,-6.4844348,2.2072652999999995e-06,-6.484432599999999
0.0258302,13,-6.4809729,1.2832864e-07,-6.4809728,-6.4844352999999995,2.2421692e-06,-6.484433
0.0362323,14,-6.4809738,2.0177446e-07,-6.4809736,-6.4844361,2.2962597000000003e-06,-6.4844338
0.0508234,15,-6.4809752,3.1592075e-07,-6.4809749000000005,-6.4844372,2.3800665e-06,-6.4844348
0.0712906,16,-6.4809773,5.1184339e-07,-6.4809768,-6.484439,2.5247954999999997e-06,-6.4844364
0.1,17,-6.4809809000000005,9.6834792e-07,-6.480980000000001,-6.484442,2.8641919000000003e-06,-6.4844390999999995
0.140271,18,-6.4809873,2.21309e-06,-6.4809851,-6.4844474000000005,3.7870085e-06,-6.484443700000001
0.19676,19,-6.4809977,5.4471827000000005e-06,-6.4809922,-6.4844565,6.1803158e-06,-6.4844503
0.275997,20,-6.4810132000000005,1.3494739e-05,-6.4809997,-6.4844704,1.2146945e-05,-6.4844583
0.3871,21,-6.481033900000001,3.2835268999999996e-05,-6.481001,-6.48449,2.6558774e-05,-6.484463400000001
0.5431,22,-6.4810555,7.7990146e-05,-6.4809775,-6.484513099999999,6.0463353e-05,-6.4844526
0.7617,23,-6.4810625,0.00018034153,-6.4808822,-6.484529599999999,0.00013803392,-6.4843915999999995
1.0685,24,-6.4810246,0.00039914397000000005,-6.4806254999999995,-6.4845203,0.0003057924,-6.484214499999999
1.4988,25,-6.4809469,0.0007838488700000001,-6.480163,-6.4844981,0.00060549008,-6.4838926
2.1024,26,-6.4809229,0.0013243732,-6.4795985,-6.4845532,0.001038603,-6.4835145999999995
2.949,27,-6.481096400000001,0.0020008613,-6.479095500000001,-6.484829799999999,0.0016047934,-6.483225
4.1366,28,-6.4816667,0.0027315027,-6.4789352,-6.4855269,0.0022528521,-6.483274099999999
5.8025,29,-6.4828608,0.0034110021000000003,-6.4794498,-6.486871,0.0028979261,-6.4839731
8.1392,30,-6.4849919,0.0039978877,-6.480994,-6.4891938,0.0034946264,-6.4856991
11.417,31,-6.4885782,0.0044865710999999996,-6.4840917000000005,-6.4930434,0.0040226931,-6.4890207
16.0147,32,-6.4942541,0.0048589277000000005,-6.489395099999999,-6.499094599999999,0.0044504458,-6.494644200000001
22.464,33,-6.502488,0.0051120516,-6.497375900000001,-6.5078288,0.0047618375,-6.503067
