,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.03897351146999999,1,-0.030565357
0.00075015,2,-0.04336098643999999,2,-0.034021414
0.00105225,3,-0.051818948100000005,3,-0.040775753
0.001476,4,-0.05993295904999999,4,-0.047274252999999995
0.0020704,5,-0.06771646795,5,-0.053563605
0.00290415,6,-0.07518086175999998,6,-0.059615217000000005
0.0040737,7,-0.08230396676,7,-0.06545668
0.00571425,8,-0.08907996632000001,8,-0.071021005
0.00801545,9,-0.0955159624,9,-0.076379766
0.01124335,10,-0.1016341466,10,-0.081441556
0.01577115,11,-0.10758057382999998,11,-0.08627498199999999
0.02212235,12,-0.11337186819,12,-0.09089849
0.03103125,13,-0.11917292722999999,13,-0.095292255
0.04352785,14,-0.12492694906999997,14,-0.099394779
0.061057,15,-0.12690583305,15,-0.10069471
0.0856453,16,-0.117831958922,16,-0.094501509
0.1201355,17,-0.06990781061000001,17,-0.05790599900000001
0.1685155,18,0.032348013725,18,0.025797879
0.2363785,19,0.1991153652,19,0.16903377
0.3315485,20,0.44245693775999995,20,0.38706683
0.4651,21,0.7754328483,21,0.69650437
0.6524,22,1.2175196919999998,22,1.1130664
0.9151,23,1.7324973019999999,23,1.6083823999999998
1.28365,24,1.993832899,24,1.9116834999999999
1.8006,25,1.790441016,25,1.7808065
2.5257,26,1.4361628370000001,26,1.4329306
3.5428,27,1.0616593619999999,27,1.0531763
4.96955,28,0.7443682761999999,28,0.75271949
6.97085,29,0.5220553225000001,29,0.55350022
9.7781,30,0.3518037736,30,0.39721015
13.71585,31,0.17896683479999997,31,0.22019057
19.23935,32,0.010305247300000007,32,0.034847975
26.98725,33,-0.10802159989999999,33,-0.1003108
37.8553,34,-0.1913436859,34,-0.19976218
53.10005,35,-0.261041864,35,-0.28725902
73.8875,36,-0.2825830113,36,-0.32337995
97.6625,37,-0.2500372261,37,-0.29070813
121.4375,38,-0.216483422,38,-0.2498495
145.2125,39,-0.20125395959999998,39,-0.226283
168.9875,40,-0.18001966130000002,40,-0.19589639
192.7625,41,-0.14414644879999997,41,-0.15308021
216.5375,42,-0.114265351,42,-0.11959022
240.3125,43,-0.09380706059999999,43,-0.096878597
264.0875,44,-0.07486226309999999,44,-0.07631144200000001
287.8625,45,-0.059860013000000004,45,-0.0603006
311.6375,46,-0.049903661300000006,46,-0.049713966
335.4125,47,-0.041454489,47,-0.040791507000000005
359.1875,48,-0.033649769280000005,48,-0.032686283
382.9625,49,-0.02699855182,49,-0.025847203
406.7375,50,-0.021379486519999998,50,-0.020111673
430.5125,51,-0.016308475149999998,51,-0.014986743
454.2875,52,-0.01177429751,52,-0.01045373
478.0625,53,-0.0077605900314,53,-0.0064692254000000005
501.8375,54,-0.004288026150000001,54,-0.0030492895
525.6125,55,-0.0012138800800000002,55,-3.9347766e-05
549.3875,56,0.0015739802260000002,56,0.0026698865999999996
573.1625,57,0.004124967315,57,0.0051346539
596.9375,58,0.006484083216,58,0.0074009493
620.7125,59,0.008654729957,59,0.0094687715
644.4875,60,0.01067512845,60,0.011378586000000001
668.2625,61,0.01256264902,61,0.013151218999999999
692.0375,62,0.014294711889999999,62,0.014758542
715.8125,63,0.015912154959999997,63,0.016255956999999998
739.5875,64,0.01744312524,64,0.017662451000000003
763.3625,65,0.018854752050000003,65,0.018944066000000002
787.1375,66,0.02011881544,66,0.020084626
810.9125,67,0.02132864698,67,0.021171689
834.6875,68,0.02247546322,68,0.022209316
858.4625,69,0.02341427233,69,0.023071557000000003
882.2375,70,0.02413475499,70,0.023732966
906.0125,71,0.02471010203,71,0.024263331000000003
929.7875,72,0.02522187121,72,0.024734287
953.5625,73,0.02568200487,73,0.025146812
977.3375,74,0.026090758990000004,74,0.025511382000000003
1001.1125,75,0.026462762679999998,75,0.025833342000000002
