,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-23.04562087,0.0,-23.04562087,-22.64123,-5.3232602999999994e-08,-22.64123
0.0006244,2,-23.045625089999998,1.434313859e-06,-23.04562371,-22.641233,9.5872773e-07,-22.641232000000002
0.0008759,3,-23.04562705,2.0875181828999996e-06,-23.045624959999998,-22.641234,1.4194845e-06,-22.641233
0.0012286,4,-23.04563029,3.2210324489999996e-06,-23.045627019999998,-22.641237,2.2193295e-06,-22.641235
0.0017234,5,-23.04563566,5.130328335999999e-06,-23.04563056,-22.641241,3.568376e-06,-22.641237
0.0024174,6,-23.045644359999997,8.273194038000001e-06,-23.04563606,-22.641248,5.7908516e-06,-22.641242000000002
0.0033909,7,-23.045657849999998,1.3360275677e-05,-23.0456446,-22.641257999999997,9.3921454e-06,-22.641249
0.0047565,8,-23.04567917,2.1484010682000003e-05,-23.04565777,-22.641274,1.5146428000000001e-05,-22.641258999999998
0.006672,9,-23.045711819999998,3.431619291e-05,-23.045677679999997,-22.6413,2.4244602e-05,-22.641275
0.0093589,10,-23.045762840000002,5.440644048999999e-05,-23.04570868,-22.641338,3.8494155e-05,-22.6413
0.0131278,11,-23.04583948,8.561663816e-05,-23.04575337,-22.641397,6.0655879999999995e-05,-22.641336
0.0184145,12,-23.045954769999998,0.00013373067400000005,-23.04582095,-22.641485,9.4901126e-05,-22.641389999999998
0.0258302,13,-23.04612836,0.00020743252632000002,-23.045921110000002,-22.641617,0.00014750982,-22.64147
0.0362323,14,-23.04638756,0.0003196351319,-23.046067809999997,-22.641815,0.00022796372000000002,-22.641587
0.0508234,15,-23.046773299999998,0.0004896218295,-23.04628363,-22.64211,0.00035055928999999994,-22.641759
0.0712906,16,-23.04735403,0.0007632160546999999,-23.04659154,-22.642553,0.0005496101999999999,-22.642003
0.1,17,-23.0482999,0.0013077383991000004,-23.046991730000002,-22.643276,0.00095091351,-22.642325
0.140271,18,-23.04982794,0.00250251899,-23.047325100000002,-22.644448,0.0018472449,-22.642601000000003
0.19676,19,-23.05209492,0.0049858665269999995,-23.04710886,-22.646182999999997,0.0037543615999999997,-22.642428
0.275997,20,-23.05515202,0.009912128081000001,-23.04523955,-22.648486,0.0076449180000000005,-22.640842000000003
0.3871,21,-23.05871965,0.01930239065,-23.03941667,-22.651052,0.015304793999999998,-22.635747
0.5431,22,-23.06165806,0.036570893910000006,-23.02508696,-22.652786,0.029911793,-22.622875
0.7617,23,-23.06073212,0.06717247641,-22.993560170000002,-22.650812,0.056762524,-22.594049
1.0685,24,-23.049716399999998,0.1191202435,-22.930596125999998,-22.639799,0.10420851,-22.53559
1.4988,25,-23.02479288,0.1958262617,-22.828966830000002,-22.616239,0.17810191,-22.438138000000002
2.1024,26,-22.98937354,0.28842494430000004,-22.7009484696,-22.58258,0.27178465,-22.310795000000002
2.949,27,-22.946131819999998,0.389209877,-22.556922224,-22.540972,0.37389391,-22.167078
4.1366,28,-22.900467128,0.49289906200000005,-22.407568129,-22.496487,0.47758514,-22.018902
5.8025,29,-22.860691006,0.600014711,-22.260676737700003,-22.457244,0.58689711,-21.870347
8.1392,30,-22.834581752,0.718410121,-22.116171576,-22.43071,0.71358706,-21.717123
11.417,31,-22.83374381,0.8541694930000001,-21.9795739691,-22.428163,0.86528434,-21.562879000000002
16.0147,32,-22.881561067,0.999458126,-21.8821037138,-22.473206,1.0302627,-21.442944
22.464,33,-23.012168471,1.137937704,-21.874230121700002,-22.600927,1.1846082,-21.416318
31.5105,34,-23.261520747,1.2715316550000002,-21.989989119,-22.851426999999997,1.327602,-21.523825
44.2001,35,-23.685476044,1.4078647480000002,-22.2776113627,-23.290714,1.4665806000000001,-21.824133
