,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.038973511,,
0.000312205,,,1.0,-0.030557509
0.00075015,2.0,-0.043360987000000004,2.0,-0.034022517
0.00105225,3.0,-0.051818948,3.0,-0.04077206
0.001476,4.0,-0.05993296,4.0,-0.04727689
0.0020704,5.0,-0.067716468,5.0,-0.053554739000000004
0.00290415,6.0,-0.075180861,6.0,-0.05961891
0.0040737,7.0,-0.082303967,7.0,-0.06544034900000001
0.00571425,8.0,-0.089079966,8.0,-0.071025733
0.00801545,9.0,-0.09551596300000001,9.0,-0.076353466
0.01124335,10.0,-0.10163415,10.0,-0.081446133
0.01577115,11.0,-0.10758057,11.0,-0.086281305
0.02212235,12.0,-0.11337187,12.0,-0.0908955
0.03103125,13.0,-0.11917293,13.0,-0.095299557
0.04352785,14.0,-0.12492695,14.0,-0.09937738
0.061057,15.0,-0.12690583,15.0,-0.10070326
0.0856453,16.0,-0.11783196,16.0,-0.094512167
0.1201355,17.0,-0.06990781,17.0,-0.057832968
0.1685155,18.0,0.032348014,18.0,0.025780321000000002
0.2363785,19.0,0.19911536,19.0,0.16901234
0.3315485,20.0,0.44245694,20.0,0.38720009
0.4651,21.0,0.77543285,21.0,0.69652989
0.6524,22.0,1.2175197,22.0,1.1130444
0.9151,23.0,1.7324973000000001,23.0,1.6086539
1.28365,24.0,1.9938328999999997,24.0,1.9116362
1.8006,25.0,1.790441,25.0,1.7807548
2.5257,26.0,1.4361628,26.0,1.4328629
3.5428,27.0,1.0616594,27.0,1.0532807
4.96955,28.0,0.74436828,28.0,0.75265146
6.97085,29.0,0.52205533,29.0,0.55343111
9.7781,30.0,0.35180378,30.0,0.3970578
13.71585,31.0,0.17896683,31.0,0.22041927
19.23935,32.0,0.010305248000000001,32.0,0.034988539
26.98725,33.0,-0.1080216,33.0,-0.1002499
37.8553,34.0,-0.19134369,34.0,-0.19966319
53.10005,35.0,-0.26104186,35.0,-0.2873495
73.8875,36.0,-0.28258301,36.0,-0.32331627
97.6625,37.0,-0.25003723,37.0,-0.29068186
121.4375,38.0,-0.21648342,38.0,-0.24983405
145.2125,39.0,-0.20125396,39.0,-0.22626564
168.9875,40.0,-0.18001966,40.0,-0.19590695
192.7625,41.0,-0.14414645,41.0,-0.15308745
216.5375,42.0,-0.11426535,42.0,-0.11957998
240.3125,43.0,-0.09380706,43.0,-0.09688295599999999
264.0875,44.0,-0.074862263,44.0,-0.076314933
287.8625,45.0,-0.059860012000000004,45.0,-0.060303475
311.6375,46.0,-0.049903660999999995,46.0,-0.049701010999999996
335.4125,47.0,-0.041454489,47.0,-0.040793741
359.1875,48.0,-0.033649768999999996,48.0,-0.032687442000000004
382.9625,49.0,-0.026998552000000002,49.0,-0.02584727
406.7375,50.0,-0.021379487000000003,50.0,-0.02011329
430.5125,51.0,-0.016308475,51.0,-0.014988218999999999
454.2875,52.0,-0.011774297,52.0,-0.010450175
478.0625,53.0,-0.00776059,53.0,-0.006470454699999999
501.8375,54.0,-0.0042880261999999995,54.0,-0.0030504244
525.6125,55.0,-0.0012138801,55.0,-3.8823571e-05
549.3875,56.0,0.0015739801999999998,56.0,0.0026722352000000003
573.1625,57.0,0.0041249673999999995,57.0,0.005137098499999999
596.9375,58.0,0.006484083199999999,58.0,0.007402129
620.7125,59.0,0.0086547299,59.0,0.0094679357
644.4875,60.0,0.010675128,60.0,0.011377793
668.2625,61.0,0.012562648999999999,61.0,0.013150463999999999
692.0375,62.0,0.014294712,62.0,0.014762208
715.8125,63.0,0.015912155,63.0,0.016255272
739.5875,64.0,0.017443125,64.0,0.017661797
763.3625,65.0,0.018854752,65.0,0.018944795
787.1375,66.0,0.020118816,66.0,0.020084029
810.9125,67.0,0.021328647000000003,67.0,0.02117148
834.6875,68.0,0.022475462999999998,68.0,0.022213973999999997
858.4625,69.0,0.023414272000000003,69.0,0.02307102
882.2375,70.0,0.024134755,70.0,0.023732446
906.0125,71.0,0.024710102,71.0,0.024262827
929.7875,72.0,0.025221871,72.0,0.024733797000000002
953.5625,73.0,0.025682005,73.0,0.02515173
977.3375,74.0,0.026090758999999998,74.0,0.025514295
1001.1125,75.0,0.026462762999999997,75.0,0.025834044
