,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-1.425259,0.0,-1.425259,,,
1e-08,1,,,,-1.4258142,2.3323261000000003e-06,-1.4258118999999998
0.0006244,2,-1.425259,1.2273398e-09,-1.425259,-1.4258142,2.3332202e-06,-1.4258118999999998
0.0008759,3,-1.425259,1.8544043e-09,-1.425259,-1.4258142,2.3347057999999997e-06,-1.4258118999999998
0.0012286,4,-1.425259,3.1977975e-09,-1.425259,-1.4258142,2.3380433e-06,-1.4258118999999998
0.0017234,5,-1.425259,5.9473314e-09,-1.425259,-1.4258142,2.3428386e-06,-1.4258118999999998
0.0024174,6,-1.425259,1.1388247999999999e-08,-1.425259,-1.4258142,2.3500736e-06,-1.4258118999999998
0.0033909,7,-1.425259,2.1895691000000004e-08,-1.425259,-1.4258142,2.3615732999999997e-06,-1.4258118999999998
0.0047565,8,-1.4252591000000001,4.1800169e-08,-1.425259,-1.4258143,2.380576e-06,-1.4258118999999998
0.006672,9,-1.4252591000000001,7.8920689e-08,-1.425259,-1.4258143,2.4129053e-06,-1.4258118999999998
0.0093589,10,-1.4252591000000001,1.4727772e-07,-1.425259,-1.4258143,2.468957e-06,-1.4258118
0.0131278,11,-1.4252592,2.7176023e-07,-1.4252589,-1.4258143,2.567192e-06,-1.4258118
0.0184145,12,-1.4252592,4.9654786e-07,-1.4252586999999999,-1.4258144,2.7402798999999998e-06,-1.4258116000000003
0.0258302,13,-1.4252592,8.989708900000001e-07,-1.4252583,-1.4258143,3.0454343e-06,-1.4258113000000001
0.0362323,14,-1.4252591000000001,1.6134211000000002e-06,-1.4252573999999998,-1.4258143,3.5821196000000003e-06,-1.4258107
0.0508234,15,-1.4252586999999999,2.9588841e-06,-1.4252557,-1.425814,4.584682099999999e-06,-1.4258094
0.0712906,16,-1.4252578000000002,5.6046000000000005e-06,-1.4252521999999999,-1.4258133,6.5462645e-06,-1.4258066999999999
0.1,17,-1.4252558000000002,1.062671e-05,-1.4252452,-1.4258118,1.0264561000000002e-05,-1.4258015
0.140271,18,-1.4252518,1.9799084e-05,-1.425232,-1.4258087,1.7067946999999998e-05,-1.4257916000000002
0.19676,19,-1.4252438,3.6095713e-05,-1.4252078000000001,-1.4258026000000001,2.9197795e-05,-1.4257733999999997
0.275997,20,-1.4252287000000001,6.4436046e-05,-1.4251643,-1.4257911,5.0399569e-05,-1.4257407
0.3871,21,-1.4252007,0.00011284056000000001,-1.4250878999999999,-1.4257699,8.6853697e-05,-1.4256831
0.5431,22,-1.4251504,0.0001936154,-1.4249568000000001,-1.4257322000000001,0.00014823265,-1.425584
0.7617,23,-1.4250738,0.00031647077,-1.4247573,-1.4256753,0.00024283377999999997,-1.4254325
1.0685,24,-1.4249861000000001,0.00047348465999999995,-1.4245126000000001,-1.4256122,0.00036681735000000003,-1.4252453
1.4988,25,-1.4249058000000001,0.0006558233900000001,-1.42425,-1.4255588,0.00051696472,-1.4250418
2.1024,26,-1.424854,0.00085570448,-1.4239983,-1.4255358,0.0006915813199999999,-1.4248442
2.949,27,-1.4248671999999998,0.0010425771,-1.4238246,-1.4255765,0.0008679369999999999,-1.4247085
4.1366,28,-1.4249833,0.0011903885,-1.423793,-1.425716,0.0010217586,-1.4246943
5.8025,29,-1.4252296,0.0013003895,-1.4239292,-1.4259823,0.0011474768,-1.4248348
8.1392,30,-1.4256156,0.0013914763,-1.4242241000000002,-1.42639,0.0012548245,-1.4251352
11.417,31,-1.4261772,0.0014781835,-1.424699,-1.4269795,0.0013552928,-1.4256242000000001
16.0147,32,-1.4270339,0.0015734239,-1.4254605,-1.4278796999999999,0.0014622476999999999,-1.4264173999999998
