,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.028372729834,1,-0.016443208
0.00075015,2,-0.029882494678,2,-0.016906864
0.00105225,3,-0.029821548456,3,-0.015831021
0.001476,4,-0.025146975190000004,4,-0.011381448999999998
0.0020704,5,-0.015298289932,5,-0.0031413699
0.00290415,6,0.00041765178199999916,6,0.0093994027
0.0040737,7,0.022764130520000002,7,0.026788085
0.00571425,8,0.05255410301999999,8,0.049757255
0.00801545,9,0.09059443619000002,9,0.078935773
0.01124335,10,0.1375664998,10,0.11505474
0.01577115,11,0.1945458504,11,0.15908945
0.02212235,12,0.2621917039,12,0.21173658
0.03103125,13,0.3409909814,13,0.27365617
0.04352785,14,0.460107398,14,0.36919551
0.061057,15,0.6375439769999999,15,0.5153067
0.0856453,16,0.8423502591,16,0.69055619
0.1201355,17,1.0594668229999997,17,0.8862689
0.1685155,18,1.28193785,18,1.1005126
0.2363785,19,1.502461379,19,1.3289643
0.3315485,20,1.717483523,20,1.5667125
0.4651,21,1.919230423,21,1.794745
0.6524,22,1.96639799,22,1.8978992
0.9151,23,1.657827234,23,1.6703308999999997
1.28365,24,1.248060973,24,1.2805453000000002
1.8006,25,0.9252493930000001,25,0.93510201
2.5257,26,0.64765482132,26,0.6506853
3.5428,27,0.42519846870000005,27,0.43542517
4.96955,28,0.28423439327000005,28,0.29917521
6.97085,29,0.21042822469999997,29,0.23151514
9.7781,30,0.1576805389,30,0.17876479
13.71585,31,0.11201399479999999,31,0.12866459
19.23935,32,0.065160577759,32,0.076139128
26.98725,33,0.036000981200000004,33,0.042043187999999995
37.8553,34,0.022801897260000002,34,0.024238364
53.10005,35,-0.0010289990219999982,35,-0.0025578594
73.8875,36,-0.031344398395,36,-0.036577505
97.6625,37,-0.05711978741,37,-0.06792087200000001
121.4375,38,-0.0759121536,38,-0.09151273
145.2125,39,-0.09069730070000001,39,-0.10915227
168.9875,40,-0.10325547280000001,40,-0.12220746
192.7625,41,-0.10306014479999999,41,-0.11794401
216.5375,42,-0.0930962582,42,-0.10189813
240.3125,43,-0.0826660444,43,-0.086141502
264.0875,44,-0.06960251390000001,44,-0.069009495
287.8625,45,-0.0558372305,45,-0.052880953
311.6375,46,-0.040852032899999995,46,-0.037381586
335.4125,47,-0.028024927249999998,47,-0.025094352
359.1875,48,-0.020242854499999997,48,-0.017796028000000002
382.9625,49,-0.01467881989,49,-0.012631789
406.7375,50,-0.01009251282,50,-0.0084526095
430.5125,51,-0.006358588307999999,51,-0.0051278122
454.2875,52,-0.0036828088119999994,52,-0.0027773806
478.0625,53,-0.001730881644,53,-0.0010440465
501.8375,54,-2.0449111999999952e-05,54,0.00047164644
525.6125,55,0.0015095330814999999,55,0.0018219237
549.3875,56,0.0028756341240000005,56,0.0030256321999999995
573.1625,57,0.004073980535,57,0.0040782607
596.9375,58,0.005114132243,58,0.0049897745
620.7125,59,0.0060129688899999995,59,0.0057738728000000005
644.4875,60,0.00676521254,60,0.0064328237
668.2625,61,0.00736921878,61,0.006957008000000001
692.0375,62,0.00786637347,62,0.007387821899999999
715.8125,63,0.0082791374,63,0.007745775600000001
739.5875,64,0.00859302476,64,0.0080162003
763.3625,65,0.008821133870000001,65,0.0082101697
787.1375,66,0.00904343552,66,0.008401318199999999
810.9125,67,0.0092757455,67,0.0086036102
834.6875,68,0.0094407494,68,0.0087473112
858.4625,69,0.009485143919999998,69,0.0087849981
882.2375,70,0.00936246311,70,0.0086880871
906.0125,71,0.00905262008,71,0.0084339669
929.7875,72,0.00860249462,72,0.0080616605
953.5625,73,0.0080802032,73,0.0076321604
977.3375,74,0.007542654939999999,74,0.0071842286
1001.1125,75,0.00701972698,75,0.0067510026
