,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-10.995326030000001,0.0,-10.995326030000001,-10.705761,-5.5509195999999994e-08,-10.705761
0.0006244,2,-10.995330295,2.2379465619e-06,-10.995328098000002,-10.705764,1.5268457000000001e-06,-10.705762
0.0008759,3,-10.995332349000002,3.3322641440000002e-06,-10.995329004,-10.705765,2.2995898e-06,-10.705763000000001
0.0012286,4,-10.995335684,5.479791824000001e-06,-10.995330233,-10.705767,3.8213993e-06,-10.705764
0.0017234,5,-10.995341201999999,9.505940436999997e-06,-10.995331731,-10.705771,6.6887405e-06,-10.705764
0.0024174,6,-10.995349734,1.6811593852e-05,-10.995332934,-10.705776,1.1916161e-05,-10.705765
0.0033909,7,-10.995362647,2.97628359e-05,-10.995332934,-10.705785,2.1222903e-05,-10.705763000000001
0.0047565,8,-10.995381526000001,5.230832314000001e-05,-10.995329285,-10.705797,3.7473027e-05,-10.705759
0.006672,9,-10.9954083,9.098688562e-05,-10.995317288999999,-10.705813000000001,6.543220699999999e-05,-10.705748
0.0093589,10,-10.995444943999999,0.00015655272139999997,-10.995288418000001,-10.705836,0.00011297366000000002,-10.705722999999999
0.0131278,11,-10.9954935,0.0002664374893,-10.995227061,-10.705864,0.00019298831,-10.705671
0.0184145,12,-10.995554271,0.0004490358829,-10.995105276,-10.705898,0.00032662909999999997,-10.705572
0.0258302,13,-10.995624629,0.0007497201184999999,-10.994874883999998,-10.705934,0.00054803961,-10.705386
0.0362323,14,-10.995695218,0.0012405089141,-10.994454679,-10.705961,0.000912095,-10.705048
0.0508234,15,-10.995755572,0.002096058683,-10.9936595,-10.705963,0.0015525112,-10.704410000000001
0.0712906,16,-10.995783322999998,0.003669593267,-10.992113767000001,-10.705906,0.0027453026,-10.703161
0.1,17,-10.995710378,0.006461328115,-10.989249034,-10.705712,0.004899781,-10.700811999999999
0.140271,18,-10.995379125,0.011184188388000001,-10.984194962,-10.705217999999999,0.0086339652,-10.696584
0.19676,19,-10.994479525,0.018862621720000004,-10.975616832,-10.704115,0.01489631,-10.689219
0.275997,20,-10.992412585,0.030898127900000003,-10.961514490999999,-10.701829,0.025084884,-10.676744
0.3871,21,-10.988006770000002,0.049095972099999996,-10.93891077,-10.697275,0.041152677,-10.656122
0.5431,22,-10.978971916,0.07552724599999999,-10.903444826000001,-10.688494,0.065541011,-10.622953
0.7617,23,-10.963519479,0.1109940578,-10.852525428,-10.673886,0.10008355,-10.573802
1.0685,24,-10.943218671,0.1509431238,-10.792275545699999,-10.65457,0.14147801,-10.513092
1.4988,25,-10.919479364,0.19082003230000003,-10.7286593249,-10.631617,0.18380342,-10.447813
2.1024,26,-10.89251042,0.23000712669999995,-10.662503243,-10.605107,0.22416092,-10.380946
2.949,27,-10.865237656999998,0.26768491569999997,-10.597552750800002,-10.577983999999999,0.26229927,-10.315684
4.1366,28,-10.842816355,0.305080431,-10.5377358853,-10.555283,0.30086043,-10.254423
5.8025,29,-10.828889942,0.34724419,-10.4816457226,-10.540589,0.34521097,-10.195378
8.1392,30,-10.822695926,0.399296375,-10.423399530600001,-10.533174,0.40188621,-10.131288
11.417,31,-10.825120703,0.46294518199999996,-10.3621754746,-10.534075,0.47220466,-10.061869999999999
16.0147,32,-10.843781539999998,0.542612199,-10.3011692172,-10.551139,0.55935054,-9.9917886
22.464,33,-10.897376216999998,0.6459873729999999,-10.2513888855,-10.603280999999999,0.66966609,-9.9336149
31.5105,34,-11.004191037,0.791381618,-10.2128093994,-10.709736999999999,0.82118119,-9.8885558
44.2001,35,-11.171190786,0.9926566569999999,-10.178534192699999,-10.879458999999999,1.0273416,-9.8521176
