,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.028372729,,
0.000312205,,,1.0,-0.016447246999999998
0.00075015,2.0,-0.029882495,2.0,-0.016911263
0.00105225,3.0,-0.029821549,3.0,-0.015836423
0.001476,4.0,-0.025146975,4.0,-0.011372921999999999
0.0020704,5.0,-0.01529829,5.0,-0.0031495503
0.00290415,6.0,0.00041765127999999997,6.0,0.0093898827
0.0040737,7.0,0.022764131,7.0,0.026823471
0.00571425,8.0,0.052554103,8.0,0.049768795
0.00801545,9.0,0.090594436,9.0,0.078921794
0.01124335,10.0,0.1375665,10.0,0.11503924
0.01577115,11.0,0.19454585,11.0,0.15907236
0.02212235,12.0,0.2621917,12.0,0.21171791
0.03103125,13.0,0.34099098,13.0,0.27363589
0.04352785,14.0,0.4601074,14.0,0.36922776
0.061057,15.0,0.63754398,15.0,0.51536352
0.0856453,16.0,0.84235026,16.0,0.69051854
0.1201355,17.0,1.0594668,17.0,0.88622346
0.1685155,18.0,1.2819378000000001,18.0,1.1004589
0.2363785,19.0,1.5024614,19.0,1.3291925
0.3315485,20.0,1.7174835,20.0,1.5667925
0.4651,21.0,1.9192304,21.0,1.7946613
0.6524,22.0,1.9663979999999999,22.0,1.8977936000000002
0.9151,23.0,1.6578272,23.0,1.670714
1.28365,24.0,1.248061,24.0,1.280581
1.8006,25.0,0.9252494,25.0,0.93496247
2.5257,26.0,0.64765482,26.0,0.6505808
3.5428,27.0,0.42519847,27.0,0.435601
4.96955,28.0,0.28423439,28.0,0.29953885
6.97085,29.0,0.21042823,29.0,0.23147769
9.7781,30.0,0.15768054,30.0,0.17865991
13.71585,31.0,0.11201399,31.0,0.12873807
19.23935,32.0,0.065160578,32.0,0.07628747799999999
26.98725,33.0,0.036000981,33.0,0.041985003
37.8553,34.0,0.022801897,34.0,0.024209637000000003
53.10005,35.0,-0.0010289988,35.0,-0.0026084762
73.8875,36.0,-0.031344399,36.0,-0.036491525
97.6625,37.0,-0.057119787000000005,37.0,-0.067870344
121.4375,38.0,-0.07591215400000001,38.0,-0.091538251
145.2125,39.0,-0.090697301,39.0,-0.1091647
168.9875,40.0,-0.10325547,40.0,-0.1222159
192.7625,41.0,-0.10306014,41.0,-0.11795008
216.5375,42.0,-0.093096259,42.0,-0.10190256
240.3125,43.0,-0.08266604400000001,43.0,-0.086144883
264.0875,44.0,-0.069602514,44.0,-0.069012036
287.8625,45.0,-0.05583723,45.0,-0.052882832000000005
311.6375,46.0,-0.040852032999999996,46.0,-0.037382944
335.4125,47.0,-0.028024927,47.0,-0.025082261
359.1875,48.0,-0.020242853999999998,48.0,-0.017785878
382.9625,49.0,-0.01467882,49.0,-0.012625305
406.7375,50.0,-0.010092513000000001,50.0,-0.008451684899999999
430.5125,51.0,-0.0063585883,51.0,-0.0051282854999999995
454.2875,52.0,-0.0036828088,52.0,-0.0027754535
478.0625,53.0,-0.0017308816,53.0,-0.0010444204
501.8375,54.0,-2.0449105e-05,54.0,0.00047129492999999995
525.6125,55.0,0.0015095331,55.0,0.0018215921
549.3875,56.0,0.0028756340999999998,56.0,0.0030253182
573.1625,57.0,0.0040739805,57.0,0.0040779634000000006
596.9375,58.0,0.0051141322,58.0,0.0049894925
620.7125,59.0,0.0060129689,59.0,0.0057755929
644.4875,60.0,0.0067652126,60.0,0.006432568299999999
668.2625,61.0,0.0073692187,61.0,0.0069571001
692.0375,62.0,0.0078663735,62.0,0.0073901745999999996
715.8125,63.0,0.0082791373,63.0,0.007749235500000001
739.5875,64.0,0.0085930248,64.0,0.0080198214
763.3625,65.0,0.0088211339,65.0,0.0082132408
787.1375,66.0,0.0090434356,66.0,0.0084032561
810.9125,67.0,0.0092757455,67.0,0.0086038513
834.6875,68.0,0.0094407494,68.0,0.0087471289
858.4625,69.0,0.0094851438,69.0,0.008787129599999999
882.2375,70.0,0.009362463,70.0,0.008687916
906.0125,71.0,0.00905262,71.0,0.0084338012
929.7875,72.0,0.0086024946,72.0,0.0080635923
953.5625,73.0,0.0080802031,73.0,0.0076320048
977.3375,74.0,0.0075426549,74.0,0.0071865911
1001.1125,75.0,0.007019727,75.0,0.0067508564000000005
