,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.03716250631799999,1,-0.029604868
0.00075015,2,-0.041618521719999996,2,-0.033200624
0.00105225,3,-0.05018386003999999,3,-0.040191365
0.001476,4,-0.05830899962,4,-0.046881498
0.0020704,5,-0.06599483351,5,-0.053257051
0.00290415,6,-0.07323236423999999,6,-0.059350685
0.0040737,7,-0.08001159617999999,7,-0.06509435599999999
0.00571425,8,-0.08632007250000001,8,-0.07051973
0.00801545,9,-0.09215414184999998,9,-0.075622964
0.01124335,10,-0.09761818801,10,-0.080375693
0.01577115,11,-0.10279418910000002,11,-0.084831329
0.02212235,12,-0.10776711664,12,-0.08890325800000001
0.03103125,13,-0.11269996755999999,13,-0.092757892
0.04352785,14,-0.11667584684,14,-0.095481069
0.061057,15,-0.11355315366,15,-0.093658739
0.0856453,16,-0.08225890784000002,16,-0.071448651
0.1201355,17,-0.0013981317000000002,17,-0.0088901999
0.1685155,18,0.13632985,18,0.10419821
0.2363785,19,0.3407847808000001,19,0.28033388
0.3315485,20,0.6226913478200001,20,0.53384842
0.4651,21,0.9958788525000001,21,0.8796049
0.6524,22,1.4316083805,22,1.2888645
0.9151,23,1.7039920590000002,23,1.5847518999999999
1.28365,24,1.691216781,24,1.6375387
1.8006,25,1.5232339229999998,25,1.4974237
2.5257,26,1.2094181910000001,26,1.1701641999999999
3.5428,27,0.8588707055999999,27,0.81897185
4.96955,28,0.5748556963,28,0.55231571
6.97085,29,0.3679280846,29,0.36945394
9.7781,30,0.16892767759999994,30,0.18790251
13.71585,31,-0.06932349140000002,31,-0.052576791
19.23935,32,-0.2914951793,32,-0.28963905
26.98725,33,-0.47129517079999994,33,-0.49153306
37.8553,34,-0.565124578,34,-0.6185369
53.10005,35,-0.528503272,35,-0.59820077
73.8875,36,-0.35365595299999997,36,-0.38919692
97.6625,37,-0.1766695573,37,-0.18429876
121.4375,38,-0.1114531684,38,-0.11303263
145.2125,39,-0.09189554650000001,39,-0.09220892
168.9875,40,-0.0778185191,40,-0.077302606
192.7625,41,-0.06667510019999999,41,-0.065600239
216.5375,42,-0.056187794900000004,42,-0.054804782999999996
240.3125,43,-0.047134065999999995,43,-0.045649524000000004
264.0875,44,-0.0394997318,44,-0.038032909
287.8625,45,-0.0332130939,45,-0.031822706
311.6375,46,-0.02812648405,46,-0.026829667
335.4125,47,-0.02376085155,47,-0.022581119
359.1875,48,-0.019799143699999997,48,-0.018741139
382.9625,49,-0.01629807364,49,-0.015367624
406.7375,50,-0.013210492669999997,50,-0.01240179
430.5125,51,-0.01031119294,51,-0.0096228302
454.2875,52,-0.00753241726,52,-0.006968063
478.0625,53,-0.004861684829999999,53,-0.0044117741
501.8375,54,-0.00229341208,54,-0.0019670954
525.6125,55,0.000181593111,55,0.00039282303
549.3875,56,0.002569249386742,56,0.0026552634000000003
573.1625,57,0.004876063139999999,57,0.0048422695
596.9375,58,0.007108343542,58,0.0069481218
620.7125,59,0.00925846353,59,0.008971754
644.4875,60,0.01138684973,60,0.010974556000000002
668.2625,61,0.01349736473,61,0.012965925
692.0375,62,0.01544946451,62,0.014821748000000001
715.8125,63,0.01711239191,63,0.016425554
739.5875,64,0.018425034459999996,64,0.017730372
763.3625,65,0.01952194429,65,0.018839471
787.1375,66,0.02058394714,66,0.019907551000000002
810.9125,67,0.02170770698,67,0.021009567000000003
834.6875,68,0.02290590561,68,0.022160999
858.4625,69,0.02417361742,69,0.023352735
882.2375,70,0.02545858343,70,0.024545375
906.0125,71,0.026686883289999998,71,0.025681256
929.7875,72,0.02779906445,72,0.026692153
953.5625,73,0.02882614736,73,0.027614515
977.3375,74,0.02979905992,74,0.028485139
1001.1125,75,0.030725700450000004,75,0.029298624
