,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-27.01162585,0.0,-27.01162585,-26.764729,-5.3738535999999993e-08,-26.764729
0.0006244,2,-27.011630160000003,1.6089894063999997e-06,-27.0116285,-26.764732000000002,1.0823138e-06,-26.764731
0.0008759,3,-27.011632130000002,2.3499287107e-06,-27.01162968,-26.764733000000003,1.6051468e-06,-26.764732000000002
0.0012286,4,-27.01163553,3.6576243109999997e-06,-27.01163183,-26.764736,2.5285871e-06,-26.764733000000003
0.0017234,5,-27.01164103,5.8856838230000005e-06,-27.01163521,-26.764740000000003,4.1036647e-06,-26.764736
0.0024174,6,-27.01165011,9.586059072999997e-06,-27.01164057,-26.764746999999996,6.7227697e-06,-26.764740999999997
0.0033909,7,-27.01166432,1.5617546203999998e-05,-27.01164882,-26.764758,1.0994835000000001e-05,-26.764746999999996
0.0047565,8,-27.01168768,2.530655008e-05,-27.01166153,-26.764776,1.7864777e-05,-26.764758
0.006672,9,-27.01172218,4.069022233e-05,-27.011681770000003,-26.764803000000004,2.8781801999999998e-05,-26.764774
0.0093589,10,-27.01177598,6.488116721e-05,-27.011710530000002,-26.764844,4.5958467e-05,-26.764798
0.0131278,11,-27.01185718,0.00010259891949,-27.01175421,-26.764907,7.2780374e-05,-26.764834000000004
0.0184145,12,-27.011980219999998,0.00016094063574,-27.01181924,-26.765001,0.00011436309,-26.764886999999998
0.0258302,13,-27.01216399,0.00025053801460000005,-27.011913919999998,-26.765144,0.00017846734,-26.764965000000004
0.0362323,14,-27.01243965,0.00038727517070000006,-27.012052830000002,-26.765356,0.00027675146,-26.765078999999997
0.0508234,15,-27.012850229999998,0.0005958603296,-27.012253979999997,-26.765672,0.00042771745000000003,-26.765245
0.0712906,16,-27.01348936,0.0009602176688,-27.01252927,-26.766166,0.0006941484700000001,-26.765471999999995
0.1,17,-27.01452245,0.0017137950213999998,-27.01280918,-26.766968,0.0012532295,-26.765715000000004
0.140271,18,-27.01610437,0.003288045858,-27.01281621,-26.768202000000002,0.0024447505,-26.765757
0.19676,19,-27.018328680000003,0.006425232941,-27.01190327,-26.769938,0.0048787633,-26.76506
0.275997,20,-27.021135729999997,0.01243070879,-27.008704480000002,-26.772105,0.0096770827,-26.762428000000003
0.3871,21,-27.02402426,0.0235150494,-27.00051022,-26.774240999999996,0.018839153,-26.755402
0.5431,22,-27.02541406,0.04330774746,-26.982106123999998,-26.774964,0.035819146,-26.739145
0.7617,23,-27.0217502,0.0767143868,-26.945035592,-26.771364000000002,0.065596965,-26.705766999999998
1.0685,24,-27.01075473,0.1276467175,-26.883108224,-26.761509999999998,0.11334301,-26.648166999999997
1.4988,25,-26.992825030000002,0.19592156649999998,-26.796903268999998,-26.745642,0.18095241,-26.564690000000002
2.1024,26,-26.967436400000004,0.27944620919999996,-26.6879909867,-26.723495,0.26588318,-26.457612
2.949,27,-26.938745068999996,0.372041784,-26.566703644,-26.699265999999998,0.35901727,-26.340249
4.1366,28,-26.914296375999996,0.468418339,-26.445877298,-26.680466,0.45544182,-26.225023999999998
5.8025,29,-26.903156162000002,0.57071905,-26.332436441799995,-26.676291,0.56027135,-26.116020000000002
8.1392,30,-26.92063986,0.690045204,-26.230595199000003,-26.702477000000002,0.68873175,-26.013745
11.417,31,-27.00073024,0.8357260379999998,-26.1650032546,-26.793496,0.85271726,-25.940779
16.0147,32,-27.19264728,0.989887977,-26.2027597371,-26.998108000000002,1.028691,-25.969417
22.464,33,-27.55016727,1.124715159,-26.4254516626,-27.370171000000003,1.1794569,-26.190714
31.5105,34,-28.157166741000005,1.226664511,-26.930502494200002,-28.006224,1.2887174,-26.717506
