,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.037162507000000004,,
0.000312205,,,1.0,-0.029607805
0.00075015,2.0,-0.041618522000000005,2.0,-0.033202854
0.00105225,3.0,-0.05018386,3.0,-0.040194611
0.001476,4.0,-0.05830899900000001,4.0,-0.0468782
0.0020704,5.0,-0.065994834,5.0,-0.053261552000000004
0.00290415,6.0,-0.07323236400000001,6.0,-0.059336235999999994
0.0040737,7.0,-0.08001159599999999,7.0,-0.065100398
0.00571425,8.0,-0.086320072,8.0,-0.070526527
0.00801545,9.0,-0.092154141,9.0,-0.075620882
0.01124335,10.0,-0.097618187,10.0,-0.080383852
0.01577115,11.0,-0.10279419,11.0,-0.084810901
0.02212235,12.0,-0.10776712,12.0,-0.088912806
0.03103125,13.0,-0.11269997,13.0,-0.09271212699999999
0.04352785,14.0,-0.11667585,14.0,-0.095460431
0.061057,15.0,-0.11355315,15.0,-0.09367149599999999
0.0856453,16.0,-0.08225890799999999,16.0,-0.071393953
0.1201355,17.0,-0.0013981317000000002,17.0,-0.0089107787
0.1685155,18.0,0.13632985,18.0,0.10417295
0.2363785,19.0,0.34078479,19.0,0.28047687
0.3315485,20.0,0.62269135,20.0,0.53405974
0.4651,21.0,0.99587886,21.0,0.87956329
0.6524,22.0,1.4316084,22.0,1.2891546999999999
0.9151,23.0,1.7039921000000002,23.0,1.5846982
1.28365,24.0,1.6912168,24.0,1.6374743999999999
1.8006,25.0,1.5232339,25.0,1.4973348999999998
2.5257,26.0,1.2094182,26.0,1.1703729999999999
3.5428,27.0,0.8588707,27.0,0.81886897
4.96955,28.0,0.57485569,28.0,0.55230128
6.97085,29.0,0.36792808,29.0,0.36927852
9.7781,30.0,0.16892768,30.0,0.18823632
13.71585,31.0,-0.069323492,31.0,-0.052497808
19.23935,32.0,-0.29149518,32.0,-0.28960332
26.98725,33.0,-0.47129517,33.0,-0.49144013
37.8553,34.0,-0.56512457,34.0,-0.618425
53.10005,35.0,-0.52850327,35.0,-0.59824068
73.8875,36.0,-0.35365595,36.0,-0.38920875
97.6625,37.0,-0.17666956,37.0,-0.18428208
121.4375,38.0,-0.11145317,38.0,-0.11303501
145.2125,39.0,-0.091895547,39.0,-0.09221082
168.9875,40.0,-0.077818519,40.0,-0.07729921599999999
192.7625,41.0,-0.066675099,41.0,-0.065601605
216.5375,42.0,-0.056187795,42.0,-0.054805957
240.3125,43.0,-0.047134065,43.0,-0.045650542999999995
264.0875,44.0,-0.039499732,44.0,-0.038033804
287.8625,45.0,-0.033213094,45.0,-0.031823508
311.6375,46.0,-0.028126484,46.0,-0.026830401
335.4125,47.0,-0.023760852000000002,47.0,-0.022577909
359.1875,48.0,-0.019799143999999998,48.0,-0.018741774
382.9625,49.0,-0.016298074,49.0,-0.015368224
406.7375,50.0,-0.013210493,50.0,-0.012402365
430.5125,51.0,-0.010311193,51.0,-0.009623384
454.2875,52.0,-0.0075324173,52.0,-0.0069635209
478.0625,53.0,-0.0048616848,53.0,-0.0044122901
501.8375,54.0,-0.0022934121,54.0,-0.0019603715
525.6125,55.0,0.00018159311000000002,55.0,0.00039234031000000004
549.3875,56.0,0.0025692493,56.0,0.0026585321000000004
573.1625,57.0,0.0048760631,57.0,0.0048418166
596.9375,58.0,0.007108343499999999,58.0,0.006947682199999999
620.7125,59.0,0.0092584635,59.0,0.008971327
644.4875,60.0,0.01138685,60.0,0.010974138999999999
668.2625,61.0,0.013497365,61.0,0.012965514
692.0375,62.0,0.015449464,62.0,0.014821343999999998
715.8125,63.0,0.017112392,63.0,0.016427493
739.5875,64.0,0.018425035,64.0,0.017729982
763.3625,65.0,0.019521944,65.0,0.018839091000000002
787.1375,66.0,0.020583947,66.0,0.019907179
810.9125,67.0,0.021707707000000003,67.0,0.021012512
834.6875,68.0,0.022905906,68.0,0.022160644
858.4625,69.0,0.024173617,69.0,0.023352387999999998
882.2375,70.0,0.025458584,70.0,0.024549051000000002
906.0125,71.0,0.026686882999999998,71.0,0.025680925
929.7875,72.0,0.027799064,72.0,0.026691887
953.5625,73.0,0.028826147000000003,73.0,0.027618278
977.3375,74.0,0.02979906,74.0,0.028484834
1001.1125,75.0,0.0307257,75.0,0.029298328
