,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-27.011626,0.0,-27.011626,,,
1e-08,1,,,,-26.764956,1.8651952e-06,-26.764954
0.0006244,2,-27.01163,1.6089893999999998e-06,-27.011628,-26.764959,3.0012101e-06,-26.764956
0.0008759,3,-27.011632000000002,2.3499287e-06,-27.01163,-26.764961,3.5240345000000003e-06,-26.764957
0.0012286,4,-27.011635,3.6576243e-06,-27.011632000000002,-26.764963,4.4474463e-06,-26.764959
0.0017234,5,-27.011640999999997,5.885683799999999e-06,-27.011635,-26.764968,6.0226921e-06,-26.764962
0.0024174,6,-27.01165,9.5860591e-06,-27.011640999999997,-26.764975,8.6417248e-06,-26.764965999999998
0.0033909,7,-27.011665,1.5617546e-05,-27.011649,-26.764985999999997,1.2914809e-05,-26.764972999999998
0.0047565,8,-27.011687,2.5306550000000003e-05,-27.011662,-26.765003000000004,1.9784566e-05,-26.764983
0.006672,9,-27.011722,4.0690222e-05,-27.011682,-26.76503,3.0701276e-05,-26.764999
0.0093589,10,-27.011776,6.4881167e-05,-27.011711,-26.765071000000002,4.7878982e-05,-26.765023
0.0131278,11,-27.011857,0.00010259891999999999,-27.011754999999997,-26.765134000000003,7.4700155e-05,-26.765059
0.0184145,12,-27.011979999999998,0.00016094063999999998,-27.011819,-26.765228999999998,0.00011629091999999998,-26.765112
0.0258302,13,-27.012164000000002,0.00025053801,-27.011914,-26.765371000000002,0.00018039346999999998,-26.765190999999998
0.0362323,14,-27.01244,0.00038727517,-27.012052,-26.765584000000004,0.00027870955,-26.765304999999998
0.0508234,15,-27.01285,0.0005958603299999999,-27.012254,-26.7659,0.00042969898,-26.76547
0.0712906,16,-27.01349,0.0009602176699999999,-27.012528999999997,-26.766393,0.0006961236500000001,-26.765696999999996
0.1,17,-27.014522999999997,0.0017137951000000002,-27.012809000000004,-26.767195,0.0012553139,-26.765940000000004
0.140271,18,-27.016104,0.0032880459,-27.012815999999997,-26.768428999999998,0.0024468145,-26.765982
0.19676,19,-27.018328999999998,0.006425233000000001,-27.011903999999998,-26.770165999999996,0.0048807937,-26.765285
0.275997,20,-27.021136,0.012430709,-27.008705,-26.772332000000002,0.0096798629,-26.762652000000003
0.3871,21,-27.024025,0.023515049,-27.00051,-26.774465999999997,0.018843415,-26.755622999999996
0.5431,22,-27.025414,0.043307747,-26.982107,-26.775190999999996,0.035823144,-26.739366999999998
0.7617,23,-27.02175,0.076714387,-26.945034999999997,-26.771586,0.06560477099999999,-26.705982000000002
1.0685,24,-27.010755,0.12764672,-26.883108,-26.761733000000003,0.11334975,-26.648384000000004
1.4988,25,-26.992825,0.19592157,-26.796903000000004,-26.745866999999997,0.18095774,-26.564909000000004
2.1024,26,-26.967437,0.27944621,-26.687990999999997,-26.723725,0.26588699,-26.457838
2.949,27,-26.938745,0.37204178,-26.566703000000004,-26.699486,0.35903248,-26.340453999999998
4.1366,28,-26.914296000000004,0.46841834,-26.445878000000004,-26.680694,0.4554501,-26.225244
5.8025,29,-26.903156,0.57071905,-26.332437,-26.676525,0.56028282,-26.116243
8.1392,30,-26.920640000000002,0.69004521,-26.230595,-26.702755,0.68873878,-26.014016
11.417,31,-27.000729999999997,0.83572604,-26.165004,-26.79373,0.85280951,-25.940920000000002
16.0147,32,-27.192646999999997,0.98988797,-26.202759,-26.998321,1.0288056,-25.969514999999998
22.464,33,-27.550167,1.1247151000000002,-26.425452000000003,-27.370378000000002,1.1795933,-26.190785
31.5105,34,-28.157166999999998,1.2266645,-26.930502,-28.006386,1.2889078999999999,-26.717478000000003
44.2001,35,-29.060916,1.2809339,-27.779982,-28.990206,1.3430322000000001,-27.647174
