,,CRD,CRD,CRD,WGT igg=10,WGT igg=10,WGT igg=10,WGT igg=10 wgt-adjusted,WGT igg=10 wgt-adjusted,WGT igg=10 wgt-adjusted
,,flug,fldg,fnetg,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,,,,
0.0,1,-17.779313603000002,0.0,-17.779313603000002,-17.459489938,0.0,-17.459489938,-17.399558838,0.0,-17.399558838
0.0006244,2,-17.779655061,0.0060163488546377,-17.773638814,-17.459847592,0.0032613824931267,-17.456586109999996,-17.399916492,0.0032613572923727,-17.39665511
0.0008759,3,-17.779810703,0.0073921732190558,-17.772418561000002,-17.459993597,0.0044263748489888005,-17.455567077999998,-17.400062397,0.004426339386094801,-17.395636078
0.0012286,4,-17.780007887,0.0089699305480102,-17.7710380372,-17.460184505,0.0059525099802761,-17.454231918999998,-17.400253405,0.005952459777432101,-17.394300919
0.0017234,5,-17.780255973,0.010752322391087,-17.7695036084,-17.460433106,0.0078937841577277,-17.4525393704,-17.400501906,0.0078937127458957,-17.3926083704
0.0024174,6,-17.780569441,0.012747321254596001,-17.7678221205,-17.460757369,0.010264970610437,-17.450492503499998,-17.400826269,0.010264868689107,-17.3905614035
0.0033909,7,-17.780968719,0.014978576431265002,-17.7659901858,-17.461182217,0.013019670670721002,-17.4481624732,-17.401251017,0.013019524860341001,-17.388231473199998
0.0047565,8,-17.781481727000003,0.017490199381778,-17.7639915251,-17.461741434000004,0.016044954208591,-17.44569649,-17.401810234000003,0.016044745268291,-17.38576539
0.006672,9,-17.782148123000002,0.020350951340423994,-17.7617973237,-17.462483251000002,0.019210680612915,-17.4432726482,-17.402552051,0.019210380885675,-17.383341648200002
0.0093589,10,-17.78302585,0.023657835745438,-17.759368063500002,-17.463477174,0.022488386745709004,-17.4409887989,-17.403545874000002,0.022487956465529,-17.3810578989
0.0131278,11,-17.784200583,0.027537773634719,-17.756662879,-17.464825337,0.026075821429358,-17.43874944481,-17.404893737000002,0.026075203395327998,-17.37881844481
0.0184145,12,-17.785805033000003,0.03214865233042999,-17.753656336099997,-17.466681829,0.030398190388469998,-17.436283672709997,-17.406750229,0.03039730217157,-17.376352872709997
0.0258302,13,-17.788053624,0.03767670466166,-17.75037699483,-17.469290208,0.03595348642631001,-17.43333670229,-17.409358308,0.035952208736710005,-17.37340600229
0.0362323,14,-17.79133529,0.04433651810723001,-17.74699888304,-17.473065983,0.04316362378607,-17.429902312219998,-17.413133682999998,0.043161782400370004,-17.36997171222
0.0508234,15,-17.796754343,0.05240896886356001,-17.744345537060003,-17.479109679999997,0.05235444559838,-17.42675537953,-17.41917678,0.05235178013198,-17.36682507953
0.0712906,16,-17.806083448,0.06324423622058999,-17.7428393039,-17.489108592,0.0646486270803,-17.4244600523,-17.429174792,0.0646446711623,-17.3645302523
0.1,17,-17.819858573,0.0804510438509,-17.7394075168,-17.503537718,0.08307188218795003,-17.4204658101,-17.443602717999998,0.08306556174395001,-17.3605371101
0.140271,18,-17.837768941,0.1077973551078,-17.7299714707,-17.522100816,0.1106791186381,-17.4114216359,-17.462164016,0.1106679309841,-17.3514960359
0.19676,19,-17.860581150999998,0.1484917936258,-17.7120894629,-17.545488018,0.1496644805001,-17.395823414,-17.485549318,0.1496428841101,-17.335906213999998
0.275997,20,-17.888973063,0.208339121453,-17.680633769399996,-17.574232289,0.2050298758477,-17.369202456799997,-17.514292889,0.2049853079077,-17.3093075568
